CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,ESTADO DOS,PROMEDIO_TRES,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_MULTI,VECES_MULTI,CREDITOS_MULTI,NOTA_ECUA,VECES_ECUA,CREDITOS_ECUA,NOTA_FOTO,VECES_FOTO,CREDITOS_FOTO,NOTA_SUELOS,VECES_SUELOS,CREDITOS_SUELOS
0,17,17,0,6,6,0,1,1,37.5,45,1,1,45,1,3,35,1,3,35,2,3,30,1,3,45,1,2,35,1,3
1,17,17,0,6,6,0,1,1,36.05555556,45,1,1,40,1,3,38,2,3,30,3,3,35,1,3,35,1,2,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,17,17,0,6,6,0,1,1,38.33333333,45,1,1,40,1,3,35,1,3,30,2,3,40,2,3,45,1,2,40,1,3
1,17,17,0,6,6,0,1,1,36.94444444,40,1,1,50,1,3,30,1,3,30,1,3,40,1,3,35,1,2,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,0,17,2,0,6,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,17,0,6,6,0,1,1,34.94444444,45,1,1,40,1,3,30,1,3,33,2,3,30,1,3,40,1,2,35,1,3
0,17,17,0,6,6,0,1,1,36.88888889,45,1,1,45,1,3,35,1,3,33,2,3,35,1,3,35,1,2,35,1,3
