METRICA|VALOR|MODELO|TIPO_DE_DATOS
Precision|77.4|KNeighbors|Prueba
Exhaustividad|81.16|KNeighbors|Prueba
Puntuacion F1|77.65|KNeighbors|Prueba
Exactitud|81.16|KNeighbors|Prueba
Informacion Mutua Normalizada (NMI)|45.37|KNeighbors|Prueba
Indice Kappa de Cohen|65.81|KNeighbors|Prueba
Precision|78.23|KNeighbors|Entrenamiento
Exhaustividad|81.55|KNeighbors|Entrenamiento
Puntuacion F1|78.06|KNeighbors|Entrenamiento
Exactitud|81.55|KNeighbors|Entrenamiento
Informacion Mutua Normalizada (NMI)|45.84|KNeighbors|Entrenamiento
Indice Kappa de Cohen|66.85|KNeighbors|Entrenamiento
Mejores Hiperparametros|algorithm: auto, leaf_size: 30, metric: manhattan, metric_params: None, n_jobs: None, n_neighbors: 12, p: 2, weights: uniform|KNeighbors|Hiperparametros del modelo
Precision|54.08|SVC|Prueba
Exhaustividad|43.32|SVC|Prueba
Puntuacion F1|44.59|SVC|Prueba
Exactitud|43.32|SVC|Prueba
Informacion Mutua Normalizada (NMI)|12.27|SVC|Prueba
Indice Kappa de Cohen|15.77|SVC|Prueba
Precision|55.23|SVC|Entrenamiento
Exhaustividad|46.95|SVC|Entrenamiento
Puntuacion F1|47.72|SVC|Entrenamiento
Exactitud|46.95|SVC|Entrenamiento
Informacion Mutua Normalizada (NMI)|12.35|SVC|Entrenamiento
Indice Kappa de Cohen|20.37|SVC|Entrenamiento
Mejores Hiperparametros|C: 0.0008, break_ties: False, cache_size: 200, class_weight: None, coef0: 0.0, decision_function_shape: ovr, degree: 3, gamma: 0.8, kernel: linear, max_iter: 2, probability: False, random_state: 1, shrinking: True, tol: 0.001, verbose: False|SVC|Hiperparametros del modelo
Precision|75.24|DecisionTree|Prueba
Exhaustividad|80.42|DecisionTree|Prueba
Puntuacion F1|77.52|DecisionTree|Prueba
Exactitud|80.42|DecisionTree|Prueba
Informacion Mutua Normalizada (NMI)|45.14|DecisionTree|Prueba
Indice Kappa de Cohen|64.93|DecisionTree|Prueba
Precision|75.54|DecisionTree|Entrenamiento
Exhaustividad|81.04|DecisionTree|Entrenamiento
Puntuacion F1|77.85|DecisionTree|Entrenamiento
Exactitud|81.04|DecisionTree|Entrenamiento
Informacion Mutua Normalizada (NMI)|45.42|DecisionTree|Entrenamiento
Indice Kappa de Cohen|66.14|DecisionTree|Entrenamiento
Mejores Hiperparametros|ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: 4, max_features: 5, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 6, min_samples_split: 2, min_weight_fraction_leaf: 0.0, monotonic_cst: None, random_state: 2, splitter: random|DecisionTree|Hiperparametros del modelo
Precision|74.77|NaiveBayes|Prueba
Exhaustividad|32.79|NaiveBayes|Prueba
Puntuacion F1|31.56|NaiveBayes|Prueba
Exactitud|32.79|NaiveBayes|Prueba
Informacion Mutua Normalizada (NMI)|42.02|NaiveBayes|Prueba
Indice Kappa de Cohen|23.4|NaiveBayes|Prueba
Precision|73.63|NaiveBayes|Entrenamiento
Exhaustividad|34.86|NaiveBayes|Entrenamiento
Puntuacion F1|33.76|NaiveBayes|Entrenamiento
Exactitud|34.86|NaiveBayes|Entrenamiento
Informacion Mutua Normalizada (NMI)|39.95|NaiveBayes|Entrenamiento
Indice Kappa de Cohen|24.57|NaiveBayes|Entrenamiento
No tiene Hiperparametros|No tiene hiperparametros|NaiveBayes|Hiperparametros del modelo
Precision|79.51|LDA|Prueba
Exhaustividad|81.45|LDA|Prueba
Puntuacion F1|79.94|LDA|Prueba
Exactitud|81.45|LDA|Prueba
Informacion Mutua Normalizada (NMI)|48.56|LDA|Prueba
Indice Kappa de Cohen|67.54|LDA|Prueba
Precision|77.37|LDA|Entrenamiento
Exhaustividad|78.82|LDA|Entrenamiento
Puntuacion F1|77.76|LDA|Entrenamiento
Exactitud|78.82|LDA|Entrenamiento
Informacion Mutua Normalizada (NMI)|43.09|LDA|Entrenamiento
Indice Kappa de Cohen|63.52|LDA|Entrenamiento
Mejores Hiperparametros|covariance_estimator: None, n_components: 1, priors: None, shrinkage: 0.5, solver: lsqr, store_covariance: False, tol: 0.001|LDA|Hiperparametros del modelo
Precision|79.37|Bagging|Prueba
Exhaustividad|82.2|Bagging|Prueba
