METRICA|VALOR|MODELO|TIPO_DE_DATOS
Precision|79.83|KNeighbors|Prueba
Exhaustividad|82.8|KNeighbors|Prueba
Puntuacion F1|80.99|KNeighbors|Prueba
Exactitud|82.8|KNeighbors|Prueba
Informacion Mutua Normalizada (NMI)|44.16|KNeighbors|Prueba
Indice Kappa de Cohen|66.62|KNeighbors|Prueba
Precision|84.24|KNeighbors|Entrenamiento
Exhaustividad|84.87|KNeighbors|Entrenamiento
Puntuacion F1|83.54|KNeighbors|Entrenamiento
Exactitud|84.87|KNeighbors|Entrenamiento
Informacion Mutua Normalizada (NMI)|49.99|KNeighbors|Entrenamiento
Indice Kappa de Cohen|71.63|KNeighbors|Entrenamiento
Mejores Hiperparametros|algorithm: auto, leaf_size: 30, metric: manhattan, metric_params: None, n_jobs: None, n_neighbors: 7, p: 2, weights: uniform|KNeighbors|Hiperparametros del modelo
Precision|60.2|SVC|Prueba
Exhaustividad|70.7|SVC|Prueba
Puntuacion F1|62.08|SVC|Prueba
Exactitud|70.7|SVC|Prueba
Informacion Mutua Normalizada (NMI)|21.06|SVC|Prueba
Indice Kappa de Cohen|29.13|SVC|Prueba
Precision|72.69|SVC|Entrenamiento
Exhaustividad|70.54|SVC|Entrenamiento
Puntuacion F1|62.69|SVC|Entrenamiento
Exactitud|70.54|SVC|Entrenamiento
Informacion Mutua Normalizada (NMI)|22.67|SVC|Entrenamiento
Indice Kappa de Cohen|32.57|SVC|Entrenamiento
Mejores Hiperparametros|C: 0.0008, break_ties: False, cache_size: 200, class_weight: None, coef0: 0.0, decision_function_shape: ovr, degree: 3, gamma: 0.8, kernel: poly, max_iter: 1, probability: False, random_state: 1, shrinking: True, tol: 0.001, verbose: False|SVC|Hiperparametros del modelo
Precision|80.21|DecisionTree|Prueba
Exhaustividad|82.07|DecisionTree|Prueba
Puntuacion F1|80.76|DecisionTree|Prueba
Exactitud|82.07|DecisionTree|Prueba
Informacion Mutua Normalizada (NMI)|42.25|DecisionTree|Prueba
Indice Kappa de Cohen|65.38|DecisionTree|Prueba
Precision|85.83|DecisionTree|Entrenamiento
Exhaustividad|86.49|DecisionTree|Entrenamiento
Puntuacion F1|85.45|DecisionTree|Entrenamiento
Exactitud|86.49|DecisionTree|Entrenamiento
Informacion Mutua Normalizada (NMI)|54.39|DecisionTree|Entrenamiento
Indice Kappa de Cohen|74.77|DecisionTree|Entrenamiento
Mejores Hiperparametros|ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: 6, max_features: 4, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 2, min_samples_split: 5, min_weight_fraction_leaf: 0.0, monotonic_cst: None, random_state: 2, splitter: best|DecisionTree|Hiperparametros del modelo
Precision|81.42|NaiveBayes|Prueba
Exhaustividad|43.15|NaiveBayes|Prueba
Puntuacion F1|51.12|NaiveBayes|Prueba
Exactitud|43.15|NaiveBayes|Prueba
Informacion Mutua Normalizada (NMI)|32.71|NaiveBayes|Prueba
Indice Kappa de Cohen|29.36|NaiveBayes|Prueba
Precision|80.51|NaiveBayes|Entrenamiento
Exhaustividad|41.03|NaiveBayes|Entrenamiento
Puntuacion F1|47.36|NaiveBayes|Entrenamiento
Exactitud|41.03|NaiveBayes|Entrenamiento
Informacion Mutua Normalizada (NMI)|35.91|NaiveBayes|Entrenamiento
Indice Kappa de Cohen|28.71|NaiveBayes|Entrenamiento
No tiene Hiperparametros|No tiene hiperparametros|NaiveBayes|Hiperparametros del modelo
Precision|80.0|LDA|Prueba
Exhaustividad|81.34|LDA|Prueba
Puntuacion F1|80.51|LDA|Prueba
Exactitud|81.34|LDA|Prueba
Informacion Mutua Normalizada (NMI)|40.99|LDA|Prueba
Indice Kappa de Cohen|64.6|LDA|Prueba
Precision|81.47|LDA|Entrenamiento
Exhaustividad|82.3|LDA|Entrenamiento
Puntuacion F1|81.77|LDA|Entrenamiento
Exactitud|82.3|LDA|Entrenamiento
Informacion Mutua Normalizada (NMI)|45.62|LDA|Entrenamiento
Indice Kappa de Cohen|67.78|LDA|Entrenamiento
Mejores Hiperparametros|covariance_estimator: None, n_components: 1, priors: None, shrinkage: 0.01, solver: lsqr, store_covariance: False, tol: 0.001|LDA|Hiperparametros del modelo
Precision|80.62|Bagging|Prueba
Exhaustividad|82.8|Bagging|Prueba
Puntuacion F1|80.94|Bagging|Prueba
Exactitud|82.8|Bagging|Prueba
Informacion Mutua Normalizada (NMI)|44.63|Bagging|Prueba
Indice Kappa de Cohen|66.45|Bagging|Prueba
Precision|100.0|Bagging|Entrenamiento
Exhaustividad|100.0|Bagging|Entrenamiento
Puntuacion F1|100.0|Bagging|Entrenamiento
Exactitud|100.0|Bagging|Entrenamiento
Informacion Mutua Normalizada (NMI)|100.0|Bagging|Entrenamiento
Indice Kappa de Cohen|100.0|Bagging|Entrenamiento
Mejores Hiperparametros|bootstrap: True, bootstrap_features: True, estimator: None, max_features: 0.75, max_samples: 0.75, n_estimators: 750, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|Bagging|Hiperparametros del modelo
Precision|82.29|RandomForest|Prueba
Exhaustividad|83.97|RandomForest|Prueba
Puntuacion F1|82.28|RandomForest|Prueba
Exactitud|83.97|RandomForest|Prueba
Informacion Mutua Normalizada (NMI)|46.52|RandomForest|Prueba
Indice Kappa de Cohen|68.92|RandomForest|Prueba
Precision|88.24|RandomForest|Entrenamiento
Exhaustividad|88.43|RandomForest|Entrenamiento
Puntuacion F1|87.17|RandomForest|Entrenamiento
Exactitud|88.43|RandomForest|Entrenamiento
Informacion Mutua Normalizada (NMI)|59.4|RandomForest|Entrenamiento
Indice Kappa de Cohen|78.22|RandomForest|Entrenamiento
Mejores Hiperparametros|bootstrap: True, ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 3, min_samples_split: 10, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|RandomForest|Hiperparametros del modelo
Precision|79.91|ExtraTrees|Prueba
Exhaustividad|83.09|ExtraTrees|Prueba
Puntuacion F1|81.03|ExtraTrees|Prueba
Exactitud|83.09|ExtraTrees|Prueba
Informacion Mutua Normalizada (NMI)|45.02|ExtraTrees|Prueba
Indice Kappa de Cohen|66.99|ExtraTrees|Prueba
Precision|96.8|ExtraTrees|Entrenamiento
Exhaustividad|96.69|ExtraTrees|Entrenamiento
Puntuacion F1|96.58|ExtraTrees|Entrenamiento
Exactitud|96.69|ExtraTrees|Entrenamiento
Informacion Mutua Normalizada (NMI)|85.49|ExtraTrees|Entrenamiento
Indice Kappa de Cohen|93.96|ExtraTrees|Entrenamiento
