PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO
438;64;69;58;55;5;25.558718
395;76;75;58;60;20;26.853212
429;69;68;67;49;4;22.662634
426;86;55;58;43;11;22.424576
417;64;75;52;43;10;25.452429
446;69;63;55;56;7;24.27831
418;85;56;59;53;7;24.266502
423;86;55;49;50;7;25.74569
458;63;60;56;50;8;24.296452
446;76;59;59;52;11;24.180353
461;68;60;53;61;10;24.201897
453;64;59;74;66;10;26.678453
441;63;60;56;80;19;26.461071
387;86;63;52;66;11;18.329834
431;69;69;55;49;18;24.512966
417;75;65;47;43;7;21.21626
431;69;69;55;47;11;22.730934
430;64;63;55;58;11;17.391066
427;76;59;55;50;4;23.984442
432;76;59;50;43;8;23.615782
401;64;68;67;83;13;25.820227
427;63;70;56;52;10;19.700956
415;76;63;55;49;8;24.696636
434;75;56;63;49;19;24.20261
431;69;59;55;63;10;23.9602
448;68;56;56;45;4;23.987305
419;60;75;55;60;16;23.538113
431;64;63;50;66;9;18.272085
446;75;52;63;60;9;25.115503
437;63;60;50;45;7;24.550615
417;75;60;56;52;5;24.717274
433;68;60;56;58;18;24.339638
428;86;51;52;50;9;24.16858
396;64;59;55;68;8;25.417036
429;51;48;48;45;8;17.615356
350;47;49;52;66;18;16.873333
427;63;45;47;66;17;23.795496
447;75;60;63;61;5;24.243767
431;75;56;56;58;10;24.387165
457;69;47;55;47;18;23.919956
430;59;56;56;58;1;24.090836
461;76;63;62;55;11;23.935535
464;63;65;63;52;1;23.609957
442;69;68;55;56;19;24.405405
436;69;69;55;60;10;24.455053
441;75;60;53;50;4;24.787626
427;69;69;49;60;8;25.139835
445;75;56;56;74;4;24.449678
432;76;59;50;53;10;25.387201
443;64;63;55;63;7;22.890717
440;68;65;68;53;10;24.251719
429;69;69;56;43;4;24.019882
450;68;60;50;55;6;25.349436
443;60;59;62;50;10;23.697193
410;64;69;46;58;4;24.35824
424;69;63;55;39;19;23.522573
421;63;60;59;45;5;19.383038
398;86;55;52;41;19;24.310059
403;86;59;44;43;10;25.198463
442;64;59;55;71;5;23.623396
425;75;60;53;71;13;24.477278
408;68;65;56;53;12;24.846155
431;69;55;49;60;7;24.67815
416;76;59;58;68;11;24.938766
419;69;63;59;52;1;24.467308
413;68;65;63;50;8;24.499628
427;77;53;67;56;10;23.12145
408;85;56;50;41;16;23.464943
407;76;59;52;53;8;25.031828
402;75;60;59;68;10;25.800549
429;64;59;52;43;18;25.435787
415;69;59;59;55;10;23.982948
413;75;60;53;55;11;21.602678
431;75;49;56;49;10;24.02133
405;69;68;47;50;19;25.578875
392;69;69;44;52;8;23.448395
410;69;63;50;52;14;25.495853
413;75;56;56;83;1;24.857153
402;64;69;52;45;20;24.467316
412;75;56;50;45;8;18.610645
454;59;52;56;49;8;23.272993
426;69;55;55;49;9;25.630896
415;63;65;44;58;8;24.640148
418;60;63;50;47;19;25.023344
405;76;55;59;53;8;24.97701
409;75;56;56;52;11;24.99777
428;64;59;52;52;8;22.026337
425;76;51;52;63;10;25.384678
442;63;52;68;71;8;24.675003
432;63;60;59;56;18;23.080824
429;68;52;59;74;16;18.383976
411;69;59;55;47;19;25.182583
424;55;65;63;52;11;22.559744
416;59;65;44;56;3;23.18656
409;68;60;56;53;8;25.116776
386;76;59;52;50;5;24.390858
424;55;65;50;61;19;16.432587
384;52;52;63;70;19;21.414833
387;55;52;48;94;7;16.315
413;55;49;50;47;10;23.108164
422;55;60;59;43;11;24.01536
401;63;52;50;52;5;24.42398
409;55;56;53;58;18;18.891718
388;61;58;57;52;5;16.610834
377;64;47;52;45;11;15.527801
479;108;61;68;70;9;28.726442
464;77;78;73;68;19;30.745287
471;85;67;61;75;10;24.419247
460;77;70;61;65;16;22.627192
459;80;70;55;72;16;24.811197
467;91;52;62;61;19;25.713612
452;80;67;61;65;9;25.1012
441;85;67;61;50;6;23.642597
461;91;53;61;80;10;24.138573
442;90;62;64;70;11;31.037222
446;80;67;61;77;11;24.632967
449;76;67;66;59;1;24.667795
450;81;64;60;75;9;23.86393
421;90;66;53;58;8;26.046251
450;74;67;67;65;10;23.97524
419;90;70;54;55;8;26.345377
452;73;70;55;70;10;24.017939
426;90;59;54;56;7;25.978241
452;73;65;64;75;10;23.876501
451;64;65;67;65;11;24.19676
449;70;65;67;83;12;26.758686
426;90;55;61;61;16;25.19293
435;85;57;60;70;13;18.23126
435;76;65;67;51;7;18.398756
439;80;57;61;68;10;26.759295
435;81;61;58;68;4;24.775127
425;74;67;59;68;12;23.940777
447;70;62;61;70;19;25.14239
423;80;65;61;80;11;25.463757
443;74;60;64;55;11;24.191652
447;70;67;57;50;20;24.26495
432;84;61;62;61;14;24.7591
444;76;57;67;75;11;25.42465
441;77;61;69;51;8;23.300749
436;85;54;62;94;9;27.801447
435;74;67;59;63;11;23.98661
451;67;64;65;83;11;25.709055
437;74;62;57;56;19;24.57579
429;77;62;59;68;8;24.503405
429;90;52;58;50;8;25.562876
439;77;61;56;57;11;24.377655
