METRICA|VALOR|MODELO|TIPO_DE_DATOS
Informacion Mutua Normalizada (NMI)|0.83|ExtraTrees|Prueba
Indice Kappa de Cohen|3.73|ExtraTrees|Prueba
Precision|91.39|ExtraTrees|Entrenamiento
Exhaustividad|91.31|ExtraTrees|Entrenamiento
Puntuacion F1|90.23|ExtraTrees|Entrenamiento
Exactitud|91.31|ExtraTrees|Entrenamiento
Informacion Mutua Normalizada (NMI)|66.23|ExtraTrees|Entrenamiento
Indice Kappa de Cohen|81.29|ExtraTrees|Entrenamiento
Mejores Hiperparametros|bootstrap: False, ccp_alpha: 0.0, class_weight: None, criterion: entropy, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 2, min_samples_split: 2, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|ExtraTrees|Hiperparametros del modelo
Precision|40.68|AdaBoost|Prueba
Exhaustividad|63.78|AdaBoost|Prueba
Puntuacion F1|49.67|AdaBoost|Prueba
Exactitud|63.78|AdaBoost|Prueba
Informacion Mutua Normalizada (NMI)|0.0|AdaBoost|Prueba
Indice Kappa de Cohen|0.0|AdaBoost|Prueba
Precision|41.2|AdaBoost|Entrenamiento
Exhaustividad|64.19|AdaBoost|Entrenamiento
Puntuacion F1|50.19|AdaBoost|Entrenamiento
Exactitud|64.19|AdaBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|0.0|AdaBoost|Entrenamiento
Indice Kappa de Cohen|0.0|AdaBoost|Entrenamiento
Mejores Hiperparametros|algorithm: SAMME.R, estimator: None, learning_rate: 0.0005, n_estimators: 1, random_state: None|AdaBoost|Hiperparametros del modelo
Precision|57.52|GradientBoosting|Prueba
Exhaustividad|63.43|GradientBoosting|Prueba
Puntuacion F1|51.05|GradientBoosting|Prueba
Exactitud|63.43|GradientBoosting|Prueba
Informacion Mutua Normalizada (NMI)|2.94|GradientBoosting|Prueba
Indice Kappa de Cohen|1.7|GradientBoosting|Prueba
Precision|78.02|GradientBoosting|Entrenamiento
Exhaustividad|66.57|GradientBoosting|Entrenamiento
Puntuacion F1|55.36|GradientBoosting|Entrenamiento
Exactitud|66.57|GradientBoosting|Entrenamiento
Informacion Mutua Normalizada (NMI)|8.82|GradientBoosting|Entrenamiento
Indice Kappa de Cohen|9.21|GradientBoosting|Entrenamiento
Mejores Hiperparametros|ccp_alpha: 0.0, criterion: friedman_mse, init: None, learning_rate: 0.01, loss: log_loss, max_depth: 3, max_features: None, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 1, min_samples_split: 2, min_weight_fraction_leaf: 0.0, n_estimators: 200, n_iter_no_change: None, random_state: None, subsample: 1.0, tol: 0.0001, validation_fraction: 0.1, verbose: 0, warm_start: False|GradientBoosting|Hiperparametros del modelo
Precision|48.01|XGB|Prueba
Exhaustividad|61.01|XGB|Prueba
Puntuacion F1|51.15|XGB|Prueba
Exactitud|61.01|XGB|Prueba
Informacion Mutua Normalizada (NMI)|0.23|XGB|Prueba
Indice Kappa de Cohen|-0.55|XGB|Prueba
Precision|80.51|XGB|Entrenamiento
Exhaustividad|75.85|XGB|Entrenamiento
Puntuacion F1|71.41|XGB|Entrenamiento
Exactitud|75.85|XGB|Entrenamiento
Informacion Mutua Normalizada (NMI)|26.28|XGB|Entrenamiento
Indice Kappa de Cohen|40.55|XGB|Entrenamiento
Mejores Hiperparametros|objective: multi:softprob, base_score: None, booster: None, callbacks: None, colsample_bylevel: None, colsample_bynode: None, colsample_bytree: 0.6, device: None, early_stopping_rounds: None, enable_categorical: False, eval_metric: None, feature_types: None, gamma: None, grow_policy: None, importance_type: None, interaction_constraints: None, learning_rate: None, max_bin: None, max_cat_threshold: None, max_cat_to_onehot: None, max_delta_step: None, max_depth: None, max_leaves: None, min_child_weight: None, missing: nan, monotone_constraints: None, multi_strategy: None, n_estimators: 9, n_jobs: None, num_parallel_tree: None, random_state: None, reg_alpha: 0.4, reg_lambda: 0.135, sampling_method: None, scale_pos_weight: None, subsample: None, tree_method: None, validate_parameters: None, verbosity: None, loss: log_loss, max_features: sqrt|XGB|Hiperparametros del modelo
Precision|40.47|CatBoost|Prueba
Exhaustividad|62.91|CatBoost|Prueba
Puntuacion F1|49.26|CatBoost|Prueba
Exactitud|62.91|CatBoost|Prueba
Informacion Mutua Normalizada (NMI)|0.84|CatBoost|Prueba
Indice Kappa de Cohen|-1.52|CatBoost|Prueba
Precision|69.15|CatBoost|Entrenamiento
Exhaustividad|64.93|CatBoost|Entrenamiento
Puntuacion F1|51.87|CatBoost|Entrenamiento
Exactitud|64.93|CatBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|2.09|CatBoost|Entrenamiento
Indice Kappa de Cohen|2.81|CatBoost|Entrenamiento
Mejores Hiperparametros|learning_rate: 0.01, depth: 4, l2_leaf_reg: 42, border_count: 53, thread_count: 4, verbose: 0|CatBoost|Hiperparametros del modelo
Precision|49.69|LGBM|Prueba
Exhaustividad|56.5|LGBM|Prueba
Puntuacion F1|51.9|LGBM|Prueba
Exactitud|56.5|LGBM|Prueba
Informacion Mutua Normalizada (NMI)|0.64|LGBM|Prueba
Indice Kappa de Cohen|0.36|LGBM|Prueba
Precision|90.82|LGBM|Entrenamiento
Exhaustividad|90.12|LGBM|Entrenamiento
