METRICA|VALOR|MODELO|TIPO_DE_DATOS
Precision|80.98|KNeighbors|Prueba
Exhaustividad|87.33|KNeighbors|Prueba
Puntuacion F1|83.55|KNeighbors|Prueba
Exactitud|87.33|KNeighbors|Prueba
Informacion Mutua Normalizada (NMI)|56.94|KNeighbors|Prueba
Indice Kappa de Cohen|76.05|KNeighbors|Prueba
Precision|86.29|KNeighbors|Entrenamiento
Exhaustividad|88.72|KNeighbors|Entrenamiento
Puntuacion F1|85.85|KNeighbors|Entrenamiento
Exactitud|88.72|KNeighbors|Entrenamiento
Informacion Mutua Normalizada (NMI)|60.8|KNeighbors|Entrenamiento
Indice Kappa de Cohen|78.62|KNeighbors|Entrenamiento
Mejores Hiperparametros|algorithm: auto, leaf_size: 30, metric: manhattan, metric_params: None, n_jobs: None, n_neighbors: 8, p: 2, weights: uniform|KNeighbors|Hiperparametros del modelo
Precision|80.08|SVC|Prueba
Exhaustividad|51.66|SVC|Prueba
Puntuacion F1|47.71|SVC|Prueba
Exactitud|51.66|SVC|Prueba
Informacion Mutua Normalizada (NMI)|36.58|SVC|Prueba
Indice Kappa de Cohen|24.7|SVC|Prueba
Precision|77.72|SVC|Entrenamiento
Exhaustividad|52.3|SVC|Entrenamiento
Puntuacion F1|48.53|SVC|Entrenamiento
Exactitud|52.3|SVC|Entrenamiento
Informacion Mutua Normalizada (NMI)|31.75|SVC|Entrenamiento
Indice Kappa de Cohen|22.63|SVC|Entrenamiento
Mejores Hiperparametros|C: 0.0008, break_ties: False, cache_size: 200, class_weight: None, coef0: 0.0, decision_function_shape: ovr, degree: 3, gamma: 0.8, kernel: poly, max_iter: 1, probability: False, random_state: 1, shrinking: True, tol: 0.001, verbose: False|SVC|Hiperparametros del modelo
Precision|82.37|DecisionTree|Prueba
Exhaustividad|86.55|DecisionTree|Prueba
Puntuacion F1|83.6|DecisionTree|Prueba
Exactitud|86.55|DecisionTree|Prueba
Informacion Mutua Normalizada (NMI)|53.64|DecisionTree|Prueba
Indice Kappa de Cohen|74.98|DecisionTree|Prueba
Precision|87.82|DecisionTree|Entrenamiento
Exhaustividad|89.39|DecisionTree|Entrenamiento
Puntuacion F1|86.47|DecisionTree|Entrenamiento
Exactitud|89.39|DecisionTree|Entrenamiento
Informacion Mutua Normalizada (NMI)|64.38|DecisionTree|Entrenamiento
Indice Kappa de Cohen|79.99|DecisionTree|Entrenamiento
Mejores Hiperparametros|ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: 4, max_features: 4, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 4, min_samples_split: 2, min_weight_fraction_leaf: 0.0, monotonic_cst: None, random_state: 3, splitter: best|DecisionTree|Hiperparametros del modelo
Precision|88.82|NaiveBayes|Prueba
Exhaustividad|81.29|NaiveBayes|Prueba
Puntuacion F1|84.32|NaiveBayes|Prueba
Exactitud|81.29|NaiveBayes|Prueba
Informacion Mutua Normalizada (NMI)|54.04|NaiveBayes|Prueba
Indice Kappa de Cohen|68.62|NaiveBayes|Prueba
Precision|86.85|NaiveBayes|Entrenamiento
Exhaustividad|81.12|NaiveBayes|Entrenamiento
Puntuacion F1|83.01|NaiveBayes|Entrenamiento
Exactitud|81.12|NaiveBayes|Entrenamiento
Informacion Mutua Normalizada (NMI)|53.02|NaiveBayes|Entrenamiento
Indice Kappa de Cohen|67.69|NaiveBayes|Entrenamiento
