METRICA|VALOR|MODELO|TIPO_DE_DATOS
Informacion Mutua Normalizada (NMI)|62.38|ExtraTrees|Prueba
Indice Kappa de Cohen|75.04|ExtraTrees|Prueba
Precision|100.0|ExtraTrees|Entrenamiento
Exhaustividad|100.0|ExtraTrees|Entrenamiento
Puntuacion F1|100.0|ExtraTrees|Entrenamiento
Exactitud|100.0|ExtraTrees|Entrenamiento
Informacion Mutua Normalizada (NMI)|100.0|ExtraTrees|Entrenamiento
Indice Kappa de Cohen|100.0|ExtraTrees|Entrenamiento
Mejores Hiperparametros|bootstrap: False, ccp_alpha: 0.0, class_weight: None, criterion: entropy, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 1, min_samples_split: 3, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|ExtraTrees|Hiperparametros del modelo
Precision|69.88|AdaBoost|Prueba
Exhaustividad|80.65|AdaBoost|Prueba
Puntuacion F1|74.31|AdaBoost|Prueba
Exactitud|80.65|AdaBoost|Prueba
Informacion Mutua Normalizada (NMI)|57.45|AdaBoost|Prueba
Indice Kappa de Cohen|66.79|AdaBoost|Prueba
Precision|65.86|AdaBoost|Entrenamiento
Exhaustividad|78.32|AdaBoost|Entrenamiento
Puntuacion F1|70.85|AdaBoost|Entrenamiento
Exactitud|78.32|AdaBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|57.04|AdaBoost|Entrenamiento
Indice Kappa de Cohen|62.95|AdaBoost|Entrenamiento
Mejores Hiperparametros|algorithm: SAMME.R, estimator: None, learning_rate: 0.0005, n_estimators: 1, random_state: None|AdaBoost|Hiperparametros del modelo
Precision|80.71|GradientBoosting|Prueba
Exhaustividad|83.22|GradientBoosting|Prueba
Puntuacion F1|81.44|GradientBoosting|Prueba
Exactitud|83.22|GradientBoosting|Prueba
Informacion Mutua Normalizada (NMI)|56.83|GradientBoosting|Prueba
Indice Kappa de Cohen|72.3|GradientBoosting|Prueba
Precision|98.36|GradientBoosting|Entrenamiento
Exhaustividad|98.3|GradientBoosting|Entrenamiento
Puntuacion F1|98.27|GradientBoosting|Entrenamiento
Exactitud|98.3|GradientBoosting|Entrenamiento
Informacion Mutua Normalizada (NMI)|93.7|GradientBoosting|Entrenamiento
Indice Kappa de Cohen|97.34|GradientBoosting|Entrenamiento
Mejores Hiperparametros|ccp_alpha: 0.0, criterion: friedman_mse, init: None, learning_rate: 0.1, loss: log_loss, max_depth: 3, max_features: None, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 1, min_samples_split: 2, min_weight_fraction_leaf: 0.0, n_estimators: 100, n_iter_no_change: None, random_state: None, subsample: 1.0, tol: 0.0001, validation_fraction: 0.1, verbose: 0, warm_start: False|GradientBoosting|Hiperparametros del modelo
Precision|82.54|XGB|Prueba
Exhaustividad|84.85|XGB|Prueba
Puntuacion F1|82.95|XGB|Prueba
Exactitud|84.85|XGB|Prueba
Informacion Mutua Normalizada (NMI)|60.78|XGB|Prueba
Indice Kappa de Cohen|74.9|XGB|Prueba
Precision|94.96|XGB|Entrenamiento
Exhaustividad|94.61|XGB|Entrenamiento
Puntuacion F1|94.38|XGB|Entrenamiento
Exactitud|94.61|XGB|Entrenamiento
Informacion Mutua Normalizada (NMI)|83.41|XGB|Entrenamiento
Indice Kappa de Cohen|91.41|XGB|Entrenamiento
Mejores Hiperparametros|objective: multi:softprob, base_score: None, booster: None, callbacks: None, colsample_bylevel: None, colsample_bynode: None, colsample_bytree: 0.8, device: None, early_stopping_rounds: None, enable_categorical: False, eval_metric: None, feature_types: None, gamma: None, grow_policy: None, importance_type: None, interaction_constraints: None, learning_rate: None, max_bin: None, max_cat_threshold: None, max_cat_to_onehot: None, max_delta_step: None, max_depth: None, max_leaves: None, min_child_weight: None, missing: nan, monotone_constraints: None, multi_strategy: None, n_estimators: 9, n_jobs: None, num_parallel_tree: None, random_state: None, reg_alpha: 0.4, reg_lambda: 0.145, sampling_method: None, scale_pos_weight: None, subsample: None, tree_method: None, validate_parameters: None, verbosity: None, loss: log_loss, max_features: sqrt|XGB|Hiperparametros del modelo
Precision|82.16|CatBoost|Prueba
Exhaustividad|85.31|CatBoost|Prueba
Puntuacion F1|82.41|CatBoost|Prueba
Exactitud|85.31|CatBoost|Prueba
Informacion Mutua Normalizada (NMI)|62.48|CatBoost|Prueba
Indice Kappa de Cohen|75.36|CatBoost|Prueba
Precision|82.27|CatBoost|Entrenamiento
Exhaustividad|84.42|CatBoost|Entrenamiento
Puntuacion F1|81.82|CatBoost|Entrenamiento
Exactitud|84.42|CatBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|60.69|CatBoost|Entrenamiento
Indice Kappa de Cohen|74.35|CatBoost|Entrenamiento
Mejores Hiperparametros|learning_rate: 0.01, depth: 8, l2_leaf_reg: 42, border_count: 53, thread_count: 4, verbose: 0|CatBoost|Hiperparametros del modelo
Precision|81.72|LGBM|Prueba
Exhaustividad|83.45|LGBM|Prueba
Puntuacion F1|81.52|LGBM|Prueba
Exactitud|83.45|LGBM|Prueba
Informacion Mutua Normalizada (NMI)|58.71|LGBM|Prueba
Indice Kappa de Cohen|72.57|LGBM|Prueba
Precision|100.0|LGBM|Entrenamiento
Exhaustividad|100.0|LGBM|Entrenamiento
Puntuacion F1|100.0|LGBM|Entrenamiento
Exactitud|100.0|LGBM|Entrenamiento
Informacion Mutua Normalizada (NMI)|100.0|LGBM|Entrenamiento
Indice Kappa de Cohen|100.0|LGBM|Entrenamiento
Mejores Hiperparametros|boosting_type: gbdt, class_weight: None, colsample_bytree: 0.6, importance_type: split, learning_rate: 0.1, max_depth: -1, min_child_samples: 50, min_child_weight: 0.001, min_split_gain: 0.0, n_estimators: 100, n_jobs: None, num_leaves: 31, objective: multiclass, random_state: 42, reg_alpha: 0.0, reg_lambda: 0.0, subsample: 1.0, subsample_for_bin: 200000, subsample_freq: 0, verbose: -1|LGBM|Hiperparametros del modelo
Precision|84.11|VotingHard|Prueba
Exhaustividad|86.01|VotingHard|Prueba
Puntuacion F1|83.55|VotingHard|Prueba
Exactitud|86.01|VotingHard|Prueba
Informacion Mutua Normalizada (NMI)|63.81|VotingHard|Prueba
Indice Kappa de Cohen|76.6|VotingHard|Prueba
Precision|95.86|VotingHard|Entrenamiento
Exhaustividad|95.5|VotingHard|Entrenamiento
Puntuacion F1|95.34|VotingHard|Entrenamiento
Exactitud|95.5|VotingHard|Entrenamiento
Informacion Mutua Normalizada (NMI)|85.69|VotingHard|Entrenamiento
Indice Kappa de Cohen|92.86|VotingHard|Entrenamiento
