METRICA|VALOR|MODELO|TIPO_DE_DATOS
Precision|68.14|KNeighbors|Prueba
Exhaustividad|70.93|KNeighbors|Prueba
Puntuacion F1|64.39|KNeighbors|Prueba
Exactitud|70.93|KNeighbors|Prueba
Informacion Mutua Normalizada (NMI)|30.65|KNeighbors|Prueba
Indice Kappa de Cohen|49.31|KNeighbors|Prueba
Precision|73.68|KNeighbors|Entrenamiento
Exhaustividad|76.82|KNeighbors|Entrenamiento
Puntuacion F1|71.76|KNeighbors|Entrenamiento
Exactitud|76.82|KNeighbors|Entrenamiento
Informacion Mutua Normalizada (NMI)|40.09|KNeighbors|Entrenamiento
Indice Kappa de Cohen|57.8|KNeighbors|Entrenamiento
Mejores Hiperparametros|algorithm: auto, leaf_size: 30, metric: euclidean, metric_params: None, n_jobs: None, n_neighbors: 15, p: 2, weights: uniform|KNeighbors|Hiperparametros del modelo
Precision|31.61|SVC|Prueba
Exhaustividad|29.3|SVC|Prueba
Puntuacion F1|28.02|SVC|Prueba
Exactitud|29.3|SVC|Prueba
Informacion Mutua Normalizada (NMI)|11.54|SVC|Prueba
Indice Kappa de Cohen|1.77|SVC|Prueba
Precision|34.64|SVC|Entrenamiento
Exhaustividad|30.77|SVC|Entrenamiento
Puntuacion F1|29.05|SVC|Entrenamiento
Exactitud|30.77|SVC|Entrenamiento
Informacion Mutua Normalizada (NMI)|11.98|SVC|Entrenamiento
Indice Kappa de Cohen|3.78|SVC|Entrenamiento
Mejores Hiperparametros|C: 0.0008, break_ties: False, cache_size: 200, class_weight: None, coef0: 0.0, decision_function_shape: ovr, degree: 3, gamma: 1.0, kernel: sigmoid, max_iter: 2, probability: False, random_state: 1, shrinking: True, tol: 0.001, verbose: False|SVC|Hiperparametros del modelo
Precision|62.11|DecisionTree|Prueba
Exhaustividad|69.77|DecisionTree|Prueba
Puntuacion F1|64.43|DecisionTree|Prueba
Exactitud|69.77|DecisionTree|Prueba
Informacion Mutua Normalizada (NMI)|28.34|DecisionTree|Prueba
Indice Kappa de Cohen|48.87|DecisionTree|Prueba
Precision|72.61|DecisionTree|Entrenamiento
Exhaustividad|77.12|DecisionTree|Entrenamiento
Puntuacion F1|73.01|DecisionTree|Entrenamiento
Exactitud|77.12|DecisionTree|Entrenamiento
