CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,PROMEDIO_TRES,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA,NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_HIST,VECES_HIST,CREDITOS_HIST,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_CIR_UNO,VECES_CIR_UNO,CREDITOS_CIR_UNO
0,17,17,0,6,6,0,1,2.74167E+14,37,1,3,35,1,3,40,1,2,41,1,3,36,1,3,30,1,3
2,17,17,0,6,4,2,1,1.83889E+14,35,1,3,32.5,2,3,36,1,2,42,1,3,29.5,2,3,32,1,3
1,17,17,0,6,5,1,1,1.20833E+14,30.5,2,3,39,1,3,40,1,2,36,1,3,30,1,3,31,1,3
2,17,14,3,6,4,2,1,32.5,35,1,3,29.5,2,3,36,1,2,42,1,3,28,2,3,36,1,3
2,17,17,0,6,4,2,1,1.37778E+14,40,1,3,31.5,2,3,41,1,2,50,1,3,30,1,3,31,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
1,17,17,0,6,5,1,1,1.52778E+14,43,1,3,32,1,3,47,1,2,30.5,2,3,30,1,3,31,1,3
1,17,14,3,6,5,1,1,2.51389E+14,38,1,3,30,1,3,34,1,2,40,1,3,26.66666667,3,3,39,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,17,0,6,4,2,1,3.28333E+14,36,1,3,46,1,3,34,1,2,36,1,3,32,2,3,35.5,2,3
0,17,14,3,6,6,0,2,5.72222E+14,32,1,3,33,1,3,32,1,2,34,1,3,20,1,3,32,1,3
2,17,14,3,6,4,2,1,1.87778E+14,30.5,2,3,36,1,3,40,1,2,36,1,3,30,1,3,29,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,5,12,3,3,0,2,0,39,1,3,0,0,3,37,1,2,0,0,3,0,0,3,24,1,3
3,17,11,6,6,3,3,2,9.38889E+14,30,2,3,19,3,3,35,1,2,39,1,3,25.5,2,3,30,1,3
4,17,2,15,5,1,4,2,2.5,13,2,3,14.5,2,3,38,1,2,0,0,3,15,2,3,8.5,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,0,17,4,4,0,2,0,22,1,3,0,0,3,24,1,2,6,1,3,0,0,3,13,1,3
5,17,0,17,2,-3,5,2,0,0.5,2,3,0,2,3,0,0,2,0,2,3,1,2,3,0,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,17,0,6,6,0,1,3.07778E+14,41,1,3,38,1,3,39,1,2,38,1,3,43,1,3,34,1,3
0,17,3,14,3,3,0,2,0,14,1,3,0,0,3,0,0,2,30,1,3,0,0,3,23,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,2,15,4,4,0,2,0,23,1,3,0,0,3,30,1,2,11,1,3,0,0,3,11,1,3
2,17,11,6,6,4,2,2,2.73611E+14,32,1,3,23,2,3,35,1,2,35,1,3,29,2,3,30,1,3
1,17,14,3,6,5,1,1,3.03333E+14,35,1,3,27,2,3,41,1,2,44,1,3,35,1,3,40,1,3
2,17,14,3,6,4,2,1,1.06667E+14,24.66666667,3,3,30,1,3,42,1,2,43,1,3,30.5,2,3,30,1,3
2,17,11,6,6,4,2,2,4.83333E+14,33,1,3,22,2,3,34,1,2,42,1,3,26.5,2,3,33,1,3
1,17,14,3,6,5,1,1,3.39444E+14,24,2,3,30,1,3,39,1,2,36,1,3,40,1,3,33,1,3
0,17,0,17,4,4,0,2,0,24,1,3,0,0,3,10,1,2,8,1,3,0,0,3,7,1,3
3,17,8,9,6,3,3,2,1.71389E+14,39,1,3,25.33333333,3,3,36,1,2,28.5,2,3,23.33333333,3,3,34,1,3
0,17,9,8,6,6,0,2,0,36,1,3,33,1,3,11,1,2,34,1,3,4,1,3,22,1,3
0,17,17,0,6,6,0,1,3.68333E+14,43,1,3,40,1,3,49,1,2,44,1,3,37,1,3,38,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,0,17,4,4,0,2,0,18,1,3,0,0,3,29,1,2,3,1,3,0,0,3,10,1,3
0,17,17,0,6,6,0,1,1.87778E+14,45,1,3,44,1,3,42,1,2,44,1,3,32,1,3,37,1,3
0,17,17,0,6,6,0,1,7.66667E+14,40,1,3,45,1,3,39,1,2,42,1,3,35,1,3,34,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,2,15,1,1,0,2,2.72222E+14,0,0,3,0,0,3,45,1,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,11,6,5,5,0,2,1.15556E+14,30,1,3,0,0,3,39,1,2,37,1,3,26,1,3,30,1,3
0,17,17,0,6,6,0,1,3.09444E+14,40,1,3,40,1,3,43,1,2,40,1,3,30,1,3,31,1,3
