CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,PROMEDIO_DOS,NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA
0,17,17,0,7,7,0,1,32.63157895,30,1,4,35,1,3,40,1,1,40,1,2,50,1,1,35,1,3,40,1,3
1,21,17,4,8,7,1,2,31.31578947,30,2,4,35,1,3,45,1,1,40,1,2,50,1,1,35,1,3,30,1,3
2,36,17,19,12,7,5,2,13.63157895,35,5,4,40,1,3,45,1,1,40,1,2,50,1,1,30,1,3,30,2,3
0,17,17,0,7,7,0,1,38.75,30,1,4,40,1,3,45,1,1,45,1,2,50,1,1,45,1,3,35,1,3
0,17,17,0,7,7,0,1,30.78947368,35,1,4,40,1,3,45,1,1,40,1,2,50,1,1,30,1,3,45,1,3
0,15,5,10,6,3,3,2,0,15,1,4,15,1,3,30,1,1,0,0,2,50,1,1,15,1,3,30,1,3
0,17,17,0,7,7,0,1,38.125,30,1,4,40,1,3,45,1,1,45,1,2,50,1,1,40,1,3,45,1,3
0,17,17,0,7,7,0,1,22.8,40,1,4,30,1,3,40,1,1,35,1,2,50,1,1,30,1,3,40,1,3
1,20,17,3,8,7,1,1,30.26315789,30,1,4,35,1,3,40,1,1,45,1,2,50,1,1,45,2,3,45,1,3
2,24,17,7,9,7,2,2,23.2,30,2,4,30,1,3,30,1,1,35,1,2,50,1,1,35,2,3,40,1,3
0,17,17,0,7,7,0,1,39.0625,40,1,4,30,1,3,40,1,1,40,1,2,50,1,1,35,1,3,40,1,3
0,17,17,0,7,7,0,1,26.4,30,1,4,45,1,3,45,1,1,40,1,2,50,1,1,30,1,3,40,1,3
1,20,17,3,8,7,1,1,19.81481481,40,1,4,35,2,3,35,1,1,40,1,2,50,1,1,35,1,3,40,1,3
1,21,17,4,8,7,1,1,30.05263158,30,2,4,40,1,3,45,1,1,45,1,2,50,1,1,35,1,3,35,1,3
0,17,17,0,7,7,0,1,40.3125,45,1,4,45,1,3,30,1,1,30,1,2,50,1,1,35,1,3,50,1,3
2,28,17,11,10,7,3,2,15.73529412,35,3,4,30,1,3,40,1,1,40,1,2,50,1,1,35,2,3,45,1,3
1,23,11,12,8,5,3,2,7.894736842,20,3,4,40,1,3,45,1,1,0,0,2,50,1,1,30,1,3,30,1,3
