NUMERO;ID;GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;CORTE_INGRESO;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;RENDIMIENTO_1;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;RENDIMIENTO_2;PROMEDIO_TRES;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;RENDIMIENTO_3;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;RENDIMIENTO_4;PROMEDIO_CINCO;CAR_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;RENDIMIENTO_5;PROMEDIO_SIES;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;RENDIMIENTO_6;PROMEDIO_SIETE;CAR_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;RENDIMIENTO_7;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;RENDIMIENTO_8;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;RENDIMIENTO_9;PROMEDIO_DIEZ;CAR_DIEZ;NCC_DIEZ;NCA_DIEZ;NCP_DIEZ;NAC_DIEZ;NAA_DIEZ;NAP_DIEZ;EPA_DIEZ;RENDIMIENTO_10;NOTA_DIFERENCIAL;VECES_DIFERENCIAL;CREDITOS_DIFERENCIAL;NOTA_PROG_BASICA;VECES_PROG_BASICA;CREDITOS_PROG_BASICA;NOTA_CATEDRA_FJC;VECES_CATEDRA_FJC;CREDITOS_CATEDRA_FJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEMINARIO;VECES_SEMINARIO;CREDITOS_SEMINARIO;NOTA_CATEDRA_DEM;VECES_CATEDRA_DEM;CREDITOS_CATEDRA_DEM;NOTA_CATEDRA_CON;VECES_CATEDRA_CON;CREDITOS_CATEDRA_CON;NOTA_LOGICA;VECES_LOGICA;CREDITOS_LOGICA;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;NOTA_SEGUNDA_LENGUA_UNO;VECES_SEGUNDA_LENGUA_UNO;CREDITOS_SEGUNDA_LENGUA_UNO;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_PROG_ORIENTADA;VECES_PROG_ORIENTADA;CREDITOS_PROG_ORIENTADA;NOTA_ETICA;VECES_ETICA;CREDITOS_ETICA;NOTA_GT_UNO;VECES_GT_UNO;CREDITOS_GT_UNO;NOTA_SEGUNDA_LENGUA_DOS;VECES_SEGUNDA_LENGUA_DOS;CREDITOS_SEGUNDA_LENGUA_DOS;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;NOTA_FISICA_DOS;VECES_FISICA_DOS;CREDITOS_FISICA_DOS;NOTA_MULTIVARIADO;VECES_MULTIVARIADO;CREDITOS_MULTIVARIADO;NOTA_ECUACIONES;VECES_ECUACIONES;CREDITOS_ECUACIONES;NOTA_TGS;VECES_TGS;CREDITOS_TGS;NOTA_PROG_AVANZADA;VECES_PROG_AVANZADA;CREDITOS_PROG_AVANZADA;NOTA_SEGUNDA_LENGUA_TRES;VECES_SEGUNDA_LENGUA_TRES;CREDITOS_SEGUNDA_LENGUA_TRES;NOTA_HOMBRE;VECES_HOMBRE;CREDITOS_HOMBRE;NOTA_GT_DOS;VECES_GT_DOS;CREDITOS_GT_DOS;NOTA_MAT_ESP;VECES_MAT_ESP;CREDITOS_MAT_ESP;NOTA_MOD_PROG_UNO;VECES_MOD_PROG_UNO;CREDITOS_MOD_PROG_UNO;NOTA_A_SISTEMAS;VECES_A_SISTEMAS;CREDITOS_A_SISTEMAS;NOTA_METODOS_NUM;VECES_METODOS_NUM;CREDITOS_METODOS_NUM;NOTA_FUND_BASES;VECES_FUND_BASES;CREDITOS_FUND_BASES;NOTA_MAT_DIS;VECES_MAT_DIS;CREDITOS_MAT_DIS;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;NOTA_FISICA_TRES;VECES_FISICA_TRES;CREDITOS_FISICA_TRES;NOTA_ARQ_COMP;VECES_ARQ_COMP;CREDITOS_ARQ_COMP;NOTA_MOD_PROG_DOS;VECES_MOD_PROG_DOS;CREDITOS_MOD_PROG_DOS;NOTA_CIENCIAS_COMP_UNO;VECES_CIENCIAS_COMP_UNO;CREDITOS_CIENCIAS_COMP_UNO;NOTA_INV_OP_UNO;VECES_INV_OP_UNO;CREDITOS_INV_OP_UNO;NOTA_PROB;VECES_PROB;CREDITOS_PROB;NOTA_HISTORIA_COL;VECES_HISTORIA_COL;CREDITOS_HISTORIA_COL;NOTA_GI_UNO;VECES_GI_UNO;CREDITOS_GI_UNO;NOTA_CIBERNETICA_UNO;VECES_CIBERNETICA_UNO;CREDITOS_CIBERNETICA_UNO;NOTA_REDES_COM_UNO;VECES_REDES_COM_UNO;CREDITOS_REDES_COM_UNO;NOTA_CIENCIAS_COMP_DOS;VECES_CIENCIAS_COMP_DOS;CREDITOS_CIENCIAS_COMP_DOS;NOTA_INV_OP_DOS;VECES_INV_OP_DOS;CREDITOS_INV_OP_DOS;NOTA_ESTADISTICA;VECES_ESTADISTICA;CREDITOS_ESTADISTICA;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;NOTA_ECONOMIA;VECES_ECONOMIA;CREDITOS_ECONOMIA;NOTA_GT_TRES;VECES_GT_TRES;CREDITOS_GT_TRES;NOTA_CIBERNETICA_UDOS;VECES_CIBERNETICA_DOS;CREDITOS_CIBERNETICA_DOS;NOTA_REDES_COM_DOS;VECES_REDES_COM_DOS;CREDITOS_REDES_COM_DOS;NOTA_INV_OP_TRES;VECES_INV_OP_TRES;CREDITOS_INV_OP_TRES;NOTA_F_ING_SOF;VECES_F_ING_SOF;CREDITOS_F_ING_SOF;NOTA_GI_DOS;VECES_GI_DOS;CREDITOS_GI_DOS;NOTA_FUND_IA;VECES_FUND_IA;CREDITOS_FUND_IA;NOTA_EI_OP_AI;VECES_EI_OP_AI;CREDITOS_EI_OP_AI;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;NOTA_EI_OP_BI;VECES_EI_OP_BI;CREDITOS_EI_OP_BI;NOTA_ING_ECONOMICA;VECES_ING_ECONOMICA;CREDITOS_ING_ECONOMICA;NOTA_CIBERNETICA_TRES;VECES_CIBERNETICA_TRES;CREDITOS_CIBERNETICA_TRES;NOTA_REDES_COM_TRES;VECES_REDES_COM_TRES;CREDITOS_REDES_COM_TRES;NOTA_DIS_ARQ_SOFT;VECES_DIS_ARQ_SOFT;CRADITOS_DIS_ARQ_SOFT;NOTA_EI_OP_AII;VECES_EI_OP_AII;CREDITOS_EI_OP_AII;NOTA_EI_OP_BII;VECES_EI_OP_BII;CREDITOS_EI_OP_BII;NOTA_EI_OP_CI;VECES_EI_OP_CI;CREDITOS_EI_OP_CI;NOTA_GES_CAL_VAL_SOFT;VECES_GES_CAL_VAL_SOFT;CREDITOS_GES_CAL_VAL_SOFT;NOTA_SIS_OP;VECES_SIS_OP;CREDITOS_SIS_OP;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_EI_OP_AIII;VECES_EI_OP_AIII;CREDITOS_EI_OP_AIII;NOTA_EI_OP_BIII;VECES_EI_OP_BIII;CREDITOS_EI_OP_BIII;NOTA_EI_OP_CII;VECES_EI_OP_CII;CREDITOS_EI_OP_CII;NOTA_EI_OP_DI;VECES_EI_OP_DI;CREDITOS_EI_OP_DI;NOTA_FOGEP;VECES_FOGEP;CREDITOS_FOGEP;NOTA_GRADO_DOS;VECES_GRADO_DOS;CREDITOS_GRADO DOS;NAR_TOTAL;NAC_TOTAL;NAA_TOTAL;NAP_TOTAL;NSC_TOTAL;PROMEDIO_TOTAL;ESTADO_FINAL;PG_ICFES_APROX;PROMEDIO_APROX;PROMEDIO_CATEGORIAS;RENDIMIENTO_CREDITOS;RENDIMIENTO_FINAL
329;31827022165747900000;0;2;10;1;19;5;445;63,02;63,02;76,27;63,93;56,41;56,41;68,87;0;53,93;64,24;10;3;10;2;2011;1;14,2;4;29;8;21;11;5;6;2;1;12;0;11;2;9;4;1;3;2;1;13;0;2;0;2;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;3;4;35;1;3;45;1;1;45;1;2;40;1;1;35;1;1;0;0;0;14;3;3;0;0;0;0;0;0;0;0;0;4;1;3;0;0;0;4;1;3;9;1;3;39;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;16;6;10;3;13,48412698;9;450;13;10;0;1
330;31827022167330500000;1;0;10;0;0;0;455,29;63,02;63,02;66,93;54,1;70,74;70,74;65,98;0;59,66;44,93;10;3;10;3;2011;1;34,7;0;15;15;0;7;7;0;1;2;15;5;31;10;21;11;4;7;2;1;14,64285714;2;14;5;9;5;2;3;2;1;30;0;1;1;0;1;1;0;2;2;0;0;0;0;0;0;0;0;0;0;38;0;2;2;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;1;4;35;1;3;45;1;1;35;1;2;35;1;1;35;1;1;0;0;0;30;1;3;0;0;0;31;1;2;0;0;0;30;1;3;21;3;3;21;4;3;35;1;3;42;1;2;0;0;0;0;0;0;0;0;0;30;1;3;0;0;0;0;0;0;43;1;2;10;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;25;15;10;4;20,61904762;10;450;21;20;0;1
331;31827022170495600000;0;2;10;1;19;5;439,44;78,22;78,22;64;59,25;55,25;55,25;67,71;0;46,04;69,48;16;2;10;3;2011;1;12,3;3;24;6;18;10;4;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;4;10;2;3;45;1;1;10;2;2;30;1;1;30;1;1;0;0;0;30;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10;4;6;2;12,29166667;10;450;12;10;0;1
332;31827022172078200000;0;1;8;1;19;5;448,79;74,62;74,62;63,65;69,64;62,11;62,11;75,95;0;53,93;43,11;8;3;10;3;2011;1;19,9;5;22;12;10;12;5;7;2;1;19;2;21;7;14;8;3;5;2;1;31,27272727;0;11;8;3;4;3;1;2;2;9;0;1;0;1;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;4;30;1;3;45;1;1;23;3;2;12;4;1;35;1;1;0;0;0;30;1;3;0;0;0;0;0;0;0;0;0;36;1;3;31;1;3;27;2;3;24;2;3;0;1;2;46;1;1;0;0;0;0;0;0;34;1;3;0;0;0;19;1;3;31;1;2;41;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;25;11;14;4;21,61818182;9;450;22;20;0;1
333;31827022173660800000;0;1;20;1;243;21;441,35;69,01;69,01;69,72;59,52;59,4;59,4;69,65;0;51,89;55,62;20;6;10;2;2011;1;30,2;1;22;18;4;10;9;1;2;2;26;2;25;16;9;10;7;3;2;1;37,5;0;18;18;0;7;7;0;1;2;37,27777778;0;18;18;0;9;9;0;1;2;33,04545455;1;22;16;6;8;6;2;1;2;42,22222222;0;18;18;0;7;7;0;1;3;37,04761905;1;21;17;4;10;8;2;1;2;42,4375;0;16;16;0;6;6;0;1;3;34,96875;1;16;13;3;6;5;1;1;2;43,25;1;14;14;0;5;4;1;1;3;33;2;4;40;1;3;40;1;1;45;1;2;35;1;1;35;1;1;37;1;1;30;1;3;44;1;2;41;1;2;44;1;2;33;2;3;24;2;3;30;1;3;30;1;3;39;1;2;50;1;1;37;1;2;45;1;2;39;1;3;31;1;3;33;1;3;38;1;2;42;1;3;38;1;2;44;1;1;50;1;1;30;1;3;38;1;3;32;1;2;44;1;1;33;1;2;41;1;3;46;1;2;30;1;3;37;1;2;43;1;3;41;1;3;27;2;3;46;1;3;47;1;2;45;1;3;42;1;2;42;1;2;44;1;3;41;1;3;36;1;3;39;1;2;30;2;2;50;1;1;43;1;2;45;1;3;44;1;2;35;1;3;45;1;3;42;1;1;42;1;3;0;0;0;35;1;3;38;1;2;45;1;2;47;1;2;47;1;4;0;0;0;45,5;2;3;40;1;3;40;1;3;45;1;3;48;1;1;0;0;0;45,5;2;3;40;1;3;45;1;3;35;1;2;48;1;3;7;78;68;10;12;35,61842105;5;450;36;40;4;2
334;31827022175243300000;0;2;22;1;237;15;442,23;72,05;72,05;66,93;59;70,87;70,87;75,16;0;45,2;54,92;22;6;10;2;2011;1;12,8;6;39;9;30;15;6;9;2;1;13;4;28;7;21;10;3;7;2;1;12,72222222;2;18;4;14;7;2;5;2;1;18,08333333;2;12;4;8;6;2;4;2;1;42;0;2;2;0;1;1;0;1;3;9,25;1;4;0;4;2;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;4;4;30;1;3;45;1;1;45;1;2;35;1;1;35;1;1;37;1;1;27;4;3;0;1;2;38;1;2;0;0;0;31;1;3;6;1;3;12;3;3;22;3;3;40;1;2;0;0;0;38;1;2;12;1;2;6;1;3;0;0;0;0;0;0;33;1;2;15;3;3;30;1;2;0;0;0;0;0;0;0;0;0;11;2;3;50;1;2;24;2;1;0;0;0;0;0;0;42;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;41;14;27;6;13,94660194;9;450;14;10;0;1
336;31827022178408500000;0;2;11;1;19;5;449,71;74,62;74,62;66,68;72,45;53,5;53,5;72,69;0;53,93;68,41;11;5;10;3;2011;1;28,6;1;21;15;6;10;8;2;2;1;30;1;22;16;6;9;7;2;2;2;26,875;2;24;15;9;9;6;3;2;1;30,35714286;1;21;15;6;10;8;2;2;2;31,52272727;1;22;19;3;8;7;1;2;2;37,88888889;0;18;18;0;7;7;0;1;2;42,89473684;0;19;19;0;9;9;0;1;3;44,25;0;16;16;0;6;6;0;1;3;38,28125;1;16;13;3;6;5;1;1;2;43,64285714;1;14;14;0;5;4;1;1;3;30;1;4;35;1;3;40;1;1;35;1;2;35;1;1;40;1;1;38;1;1;28;2;3;35;1;2;42;1;2;46;1;2;32;1;3;29;2;3;30;1;3;33;1;3;40;1;2;40;1;1;43;1;2;45;1;2;36;1;3;30;2;3;29;2;3;38;1;2;36;1;3;36;1;2;42;1;1;50;1;1;29;2;3;30;1;3;41;1;2;41;1;1;32;1;2;37;1;3;47;1;2;35;1;3;38;1;2;36;2;3;35;1;3;31;1;3;38;1;3;35;1;2;47;1;3;40;1;2;35;1;2;31;1;3;40;1;3;36;1;3;44;1;2;37;1;2;50;1;1;43;1;2;45;1;3;43;1;2;38;1;3;47;1;3;41;1;1;43;1;3;0;0;0;37;1;3;42;1;2;45;1;2;47;1;2;50;1;4;0;0;0;45,5;2;3;45;1;3;49;1;3;48;1;3;50;1;1;0;0;0;42;2;3;45;1;3;42;1;3;37;1;2;50;1;3;8;79;67;12;12;34,57512953;5;450;35;40;4;2
337;31827022179991000000;0;2;8;1;19;5;457,79;79,26;79,26;57,4;64,44;56,55;56,55;61,28;0;69,52;56,82;8;3;10;3;2011;1;35,4;0;18;18;0;9;9;0;1;2;29;2;25;16;9;10;7;3;2;1;26,79166667;2;24;15;9;9;6;3;2;1;27,125;2;24;12;12;11;7;4;2;1;34,86363636;1;22;19;3;8;7;1;1;2;41,11111111;0;18;18;0;7;7;0;1;3;42,47368421;0;19;19;0;9;9;0;1;3;42,6875;0;16;16;0;6;6;0;1;3;35,65625;1;16;13;3;6;5;1;1;2;44,60714286;1;14;14;0;5;4;1;1;3;30;1;4;30;1;3;45;1;1;40;1;2;45;1;1;40;1;1;42;1;1;30;1;3;43;1;2;47;1;2;44;1;2;42;1;3;27;3;3;35;1;3;30;1;3;41;1;2;50;1;1;42;1;2;44;1;2;33;1;3;27;2;3;33;2;3;42;1;2;36;1;3;47;1;2;45;1;1;50;1;1;28;2;3;38;1;3;42;1;2;42;1;1;30;1;2;27;2;3;47;1;2;31;1;3;47;1;2;48;1;3;33;2;3;37;1;3;44;1;3;48;1;2;47;1;3;47;1;2;35;1;2;33;1;3;47;1;3;33;1;3;44;1;2;35;1;2;50;1;1;47;1;2;45;1;3;41;1;2;36;1;3;47;1;3;39;1;1;38;1;3;0;0;0;37;1;3;35;1;2;45;1;2;49;1;2;50;1;4;0;0;0;47,5;2;3;45;1;3;47;1;3;34;1;3;50;1;1;0;0;0;43,5;2;3;45;1;3;45;1;3;37;1;2;50;1;3;9;80;67;13;12;34,90306122;5;450;35;40;4;2
338;31827022181573600000;0;1;22;1;237;15;464,19;58,05;58,05;69,72;64,44;67,8;67,8;66,77;0;65,24;50,87;22;6;10;2;2011;1;17,5;3;29;11;18;12;7;5;2;1;15;4;28;8;20;10;3;7;2;1;15,03571429;1;14;5;9;5;2;3;2;1;33;0;1;1;0;1;1;0;1;2;34;0;3;3;0;1;1;0;1;2;32,2;0;5;5;0;2;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;3;4;30;1;3;40;1;1;30;1;2;35;1;1;30;1;1;42;1;1;24;2;3;34;1;2;26;1;2;0;0;0;31;1;3;6;3;3;22;3;3;36;1;3;41;1;2;0;0;0;0;0;0;0;0;0;30;1;3;0;0;0;5;1;3;40;1;2;9;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;1;3;34;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;31;16;15;5;17,95416667;9;450;18;20;1;1
339;31827022183156200000;0;1;20;1;225;15;444,74;75,41;75,41;63,65;59,52;59,4;59,4;58,6;0;63,68;54,92;20;6;10;4;2011;1;18,0;0;15;1;14;7;1;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;4;15;1;3;40;1;1;15;1;2;15;1;1;15;1;1;0;0;0;15;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;6;1;18;10;450;18;20;0;1
340;31827022184738700000;0;1;7;1;19;5;453,92;75,41;75,41;57,57;69,14;70,87;70,87;55,09;0;63,68;53,73;7;5;10;2;2011;1;17,2;4;33;11;22;13;7;6;2;1;31;1;22;16;6;9;7;2;2;2;23,09259259;3;27;12;15;10;5;5;2;1;32,04761905;1;21;18;3;10;9;1;1;2;27,78;2;25;13;12;9;5;4;2;1;31,25757576;2;22;18;4;9;7;2;2;2;41,78947368;0;19;19;0;9;9;0;1;3;45,3125;0;16;16;0;6;6;0;1;4;34,34375;1;16;13;3;6;5;1;1;2;44,32142857;1;14;14;0;5;4;1;1;3;26;4;4;30;1;3;45;1;1;30;1;2;40;1;1;35;1;1;45;1;1;27;2;3;36;1;2;44;1;2;49;1;2;31;1;3;30;1;3;29;2;3;37;1;3;41;1;2;40;1;1;43;1;2;42;1;2;23;2;3;26;3;3;35;1;3;39;1;2;42;1;3;45;1;2;41;1;1;50;1;1;31;2;3;35;1;3;37;1;2;44;1;1;31;1;2;38;1;3;42;1;2;33;1;3;45;1;2;48;1;3;38;1;3;27;2;3;28;2;3;45;1;2;47;1;3;32;3;2;40;1;2;31;1;3;39;1;3;34;1;3;34;1;2;35;1;2;50;1;1;42;1;2;45;1;3;42;1;2;40;1;3;47;1;3;42;1;1;43;1;3;0;0;0;40;1;3;45;1;2;43;1;2;50;1;2;50;1;4;0;0;0;42,5;2;3;45;1;3;49;1;3;30;1;3;50;1;1;0;0;0;43,5;2;3;45;1;3;47;1;3;32;1;2;50;1;3;15;86;64;22;13;30,80775194;5;450;31;30;4;2
341;31827022186321300000;0;1;20;1;244;34;460,09;63,02;63,02;63,86;71,97;70,74;70,74;65,98;0;59,66;71,53;20;6;10;2;2011;1;18,9;3;24;8;16;10;5;5;2;1;7;7;35;3;32;13;1;12;2;1;0,592592593;2;9;0;9;4;0;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;2;4;30;1;3;45;1;1;31;2;2;30;1;1;30;1;1;0;0;0;28;2;3;0;0;0;27;1;2;0;0;0;1;2;3;7;3;3;9;3;3;32;1;3;21;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;27;6;21;4;10,30637255;9;450;10;10;0;1
