CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,PROMEDIO_SIETE,NOTA_L_DOS,VECES_L_DOS,CREDITOS_L_DOS,NOTA_EE_TRES,VECES_EE_TRES,CREDITOS_EE_TRES,NOTA_COMANA,VECES_COMANA,CREDITOS_COMANA,NOTA_MOYGE,VECES_COYGE,CREDITOS_COYGE,NOTA_DDM,VECES_DDM,CREDITOS_DDM,NOTAS_SYS,VECES_SYS,CREDITOS_SYS,NOTA_CCON,VECES_CCON,CREDITOS_CCON
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
1,16,11,5,6,5,1,1,31.9,0,0,2,50,1,2,24.66666667,3,3,45,1,3,48,1,3,35,1,2,45,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
1,16,14,2,6,5,1,1,3.09667E+14,0,0,2,50,1,2,32,2,3,30,1,3,40,1,3,35,1,2,30,1,1
2,16,6,10,5,3,2,2,28.5,0,0,2,0,1,2,36,1,3,27,2,3,14.75,4,3,34,1,2,50,1,1
1,16,1,15,1,0,1,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,30,2,1
0,16,12,4,5,5,0,1,39.2,0,0,2,0,1,2,35,1,3,35,1,3,40,1,3,35,1,2,35,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,12,4,5,5,0,1,32.3,0,0,2,0,1,2,37,1,3,32,1,3,40,1,3,37,1,2,40,1,1
0,16,14,2,6,6,0,1,35.2,0,0,2,45,1,2,30,1,3,43,1,3,50,1,3,40,1,2,45,1,1
3,16,9,7,5,2,3,2,36.6,0,0,2,0,1,2,30.5,2,3,33.5,2,3,26.33333333,3,3,40,1,2,40,1,1
0,16,12,4,5,5,0,1,36,0,0,2,0,1,2,30,1,3,35,1,3,50,1,3,30,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
1,16,14,2,6,5,1,1,41.4,0,0,2,47,1,2,35,1,3,35,1,3,33,1,3,30,2,2,35,1,1
