NOTA_MPI,VECES_MPI,CREDITOS_MPI,NOTA_PYE,VECES_PYE,CREDITOS_PYE,NOTA_ELD,VECES_ELD,CREDITOS_ELD,NOTA_EL_DOS,VECES_EL_DOS,CREDITOS_EL_DOS,NOTA_CIR_TRES,VECES_CIR_TRES,CREDITOS_CIR_TRES,NOTA_GEE,VECES_GEE,CREDITOS_GEE,NOTA_ME,VECES_ME,CREDITOS_ME,CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO
35,1,2,34,1,2,44,1,3,31,2,3,42,1,2,31,1,2,35,1,3,1,20,17,3,8,7,1,1,36.11764706
35,2,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,1,4,2,2,2,1,1,2,0
40,1,2,40,1,2,45,1,3,30,1,3,44,1,2,50,1,2,40,1,3,0,17,17,0,7,7,0,1,43.88235294
35,1,2,40,1,2,40,1,3,35,1,3,41,1,2,50,1,2,50,1,3,0,17,17,0,7,7,0,1,39.88235294
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
40,1,2,30,1,2,45,1,3,30,1,3,35,1,2,50,1,2,45,1,3,0,17,17,0,7,7,0,1,43.23529412
35,1,2,35,1,2,39,2,3,30,1,3,34,1,2,50,1,2,34,1,3,1,20,17,3,8,7,1,1,36.4
40,1,2,40,1,2,40,1,3,30,1,3,41,1,2,30,1,2,35,1,3,0,17,17,0,7,7,0,1,39.23529412
30,1,2,40,1,2,39,2,3,36,2,3,47,1,2,37,1,2,35,1,3,2,23,17,6,9,7,2,2,37.58823529
40,1,2,30,1,2,45,1,3,30,1,3,35,1,2,35,1,2,35,1,3,0,17,17,0,7,7,0,1,39.76470588
35,1,2,45,2,2,42,1,3,34,1,3,45,1,2,32,1,2,42,1,3,1,19,17,2,8,7,1,1,34.15
40,1,2,38,1,2,30,1,3,38,1,3,34,2,2,30,1,2,31,1,3,1,19,17,2,8,7,1,1,25.88
40,1,2,40,1,2,45,1,3,35,1,3,44,1,2,32,2,2,30,1,3,1,19,17,2,8,7,1,1,31.65
40,1,2,35,1,2,45,1,3,30,1,3,35,1,2,35,1,2,40,1,3,0,17,17,0,7,7,0,1,41.78571429
35,1,2,36,2,2,43,1,3,31,1,3,0,0,2,30,2,2,0,0,3,2,16,12,4,7,5,2,2,25.05882353
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
