NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;NOTA_ECONOMIA_UNO;VECES_ECONOMIA_UNO;CREDITOS_ECONOMIA_UNO;NOTA_ECUACIONES;VECES_ECUACIONES;CREDITOS_ECUACIONES;NOTA_ESTADISTICA_DOS;VECES_ESTADISTICA_DOS;CREDITOS_ESTADISTICA DOS;NOTA_FISICA_DOS;VECES_FISICA_DOS;CREDITOS_FISICA_DOS;NOTA_MECANICA;VECES_MECANICA;CREDITOS_MECANICA;NOTA_PROCESOSQ;VECES_PROCESOSQ;CREDITOS_PROCESOS Q;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
801;29.9;40.0;34.294117647058826;38.0;31.0;28.0;42.0;32.666666666666664;6;32.0;22.0;31.0;33.0;45.0;31.944444444444443;1;21;18;3;7;6;1;1;32.0;1;2;35.0;1;3;31.0;1;3;23.0;2;3;30.0;1;2;34.0;1;3;41;1;2;2;36.88235294117647
803;37.8;45.0;35.588235294117645;38.0;28.0;33.0;42.0;37.888888888888886;7;41.0;37.0;32.0;35.0;39.0;40.611111111111114;0;18;18;0;7;7;0;1;42.0;1;2;43.0;1;3;45.0;1;3;36.0;1;3;32.0;1;2;43.0;1;3;41;1;2;2;38.88235294117647
804;32.15384615384615;0.0;26.4;0.0;44.0;14.0;0.0;32.0;2;0.0;0.0;0.0;39.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;19.6
806;33.53333333333333;37.0;32.4;28.0;22.0;35.0;0.0;31.125;2;0.0;0.0;0.0;22.5;0.0;22.166666666666668;0;5;5;0;2;1;1;2;14.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;35.0;1;3;0;0;2;1;14.625
807;35.6;31.0;35.794117647058826;31.5;33.0;32.0;42.0;36.52777777777778;6;28.5;36.0;35.0;31.0;46.0;37.22222222222222;0;18;18;0;7;7;0;1;36.0;1;2;30.0;1;3;45.0;1;3;37.0;1;3;30.0;1;2;34.0;1;3;50;1;2;2;38.23529411764706
808;43.07692307692308;0.0;38.266666666666666;37.0;35.0;41.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;0.0
809;38.0;44.0;36.411764705882355;30.0;30.0;41.0;46.0;38.0;7;39.0;37.0;31.0;34.0;46.0;43.05555555555556;0;18;18;0;7;7;0;1;46.0;1;2;40.0;1;3;40.0;1;3;45.0;1;3;41.0;1;2;42.0;1;3;50;1;2;3;40.64705882352941
810;39.46666666666667;43.0;38.705882352941174;30.0;41.0;36.0;41.0;37.111111111111114;7;36.0;30.0;39.0;46.0;38.0;34.55555555555556;1;20;18;2;7;7;0;1;33.0;1;2;33.0;1;3;37.0;1;3;35.0;1;3;30.0;2;2;35.0;1;3;38;1;2;2;36.088235294117645
811;38.93333333333333;42.0;37.88235294117647;29.5;38.5;41.0;38.0;41.166666666666664;7;33.0;39.0;46.0;43.0;48.0;41.72222222222222;0;18;18;0;7;7;0;1;45.0;1;2;38.0;1;3;42.0;1;3;44.0;1;3;30.0;1;2;45.0;1;3;47;1;2;3;42.11764705882353
812;38.6;38.0;32.06666666666667;34.0;34.0;26.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;0.0
813;39.93333333333333;43.0;37.588235294117645;34.0;34.0;40.0;41.0;37.388888888888886;7;30.0;35.0;33.0;33.0;46.0;40.0;0;18;18;0;7;7;0;1;41.0;1;2;37.0;1;3;39.0;1;3;44.0;1;3;36.0;1;2;38.0;1;3;46;1;2;3;41.05882352941177
816;34.733333333333334;41.0;28.2;30.0;36.0;13.5;0.0;22.735294117647058;3;15.5;32.0;12.0;38.0;0.0;22.666666666666668;0;2;2;0;1;1;0;2;34.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;22.5
817;33.08888888888889;46.0;32.13333333333333;23.0;30.0;31.0;0.0;35.75;3;0.0;0.0;0.0;38.0;0.0;24.0;0;2;2;0;1;1;0;2;36.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;26.0
