NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;CREDITOS_DIFERENCIAL;ESTADO_FINAL;NOTA_DIFERENCIAL;VECES_DIFERENCIAL;NOTA_DIBUJO;VECES_DIBUJO;CREDITOS_DIBUJO;NOTA_QUIMICA;VECES_QUIMICA;CREDITOS_QUIMICA;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEMINARIO;VECES_SEMINARIO;CREDITOS_SEMINARIO;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
683;11;449.48;74.12;50.22;50.99;51.23;12;35.13333333333333;0;15;15;0;7;7;0;1;4;1;38.0;1;37.0;1;2;30.0;1;3;45.0;1;1;35.0;1;2;30.0;1;1;33.0;1;2;2;36.88235294117647
684;20;506.66;78.22;61.41;65.0;88.67;1;37.6;0;15;15;0;7;7;0;1;4;5;30.0;1;39.0;1;2;40.0;1;3;43.0;1;1;44.0;1;2;49.0;1;1;33.0;1;2;2;39.875
685;20;474.21;65.63;73.09;57.8;79.4;20;35.666666666666664;1;19;15;4;7;6;1;1;4;5;22.5;2;40.0;1;2;35.0;1;3;45.0;1;1;43.0;1;2;35.0;1;1;47.0;1;2;2;35.8235294117647
686;2;523.19;99.48;69.72;61.28;60.44;1;37.46666666666667;1;17;15;2;7;7;0;1;4;5;40.0;1;30.0;2;2;30.0;1;3;40.0;1;1;42.0;1;2;30.0;1;1;49.0;1;2;2;35.588235294117645
687;20;483.26;63.5;76.27;63.2;77.13;20;28.923076923076923;3;25;13;12;6;4;2;1;4;9;20.0;3;30.0;1;2;26.0;2;3;35.0;1;1;0.0;0;2;35.0;2;1;44.0;1;2;2;36.03333333333333
688;19;528.52;88.79;69.98;82.9;75.1;19;24.717948717948715;3;35;13;22;6;3;3;1;4;9;26.0;4;35.0;1;2;24.666666666666668;3;3;40.0;1;1;1.6666666666666667;3;2;30.0;1;1;0.0;0;2;1;21.285714285714285
689;8;478.41;78.36;69.98;65.98;69.93;8;36.8;0;15;15;0;7;7;0;1;4;5;40.0;1;35.0;1;2;30.0;1;3;40.0;1;1;38.0;1;2;30.0;1;1;43.0;1;2;2;36.11764705882353
690;14;385.43;62.48;55.56;53.65;61.22;5;23.897435897435894;4;27;13;14;6;2;4;1;4;9;15.666666666666666;3;30.0;1;2;29.5;2;3;40.0;1;1;18.5;2;2;22.5;2;1;0.0;0;2;1;22.125
691;11;505.2;74.62;75.93;79.57;75.1;11;33.2;1;19;15;4;7;6;1;1;4;5;28.5;2;30.0;1;2;30.0;1;3;40.0;1;1;40.0;1;2;30.0;1;1;42.0;1;2;3;40.1764705882353
692;9;491.89;74.62;66.93;75.16;73.24;9;28.942307692307693;2;26;13;13;6;4;2;2;4;9;22.5;2;35.0;1;2;18.75;4;3;40.0;1;1;45.0;1;2;30.0;1;1;0.0;0;2;2;32.84615384615385
