CAR_CINCO,NCC_CINCO,NCA_CINCO,NCP_CINCO,NAC_CINCO,NAA_CINCO,NAP_CINCO,EPA_CINCO,PROMEDIO_SEIS,NOTA_EE_UNO,VECES_EE_UNO,CREDITOS_EE_UNO,NOTA_IYM,VECES_IYM,CREDITO_IYM,NOTA_ASD,VECE_ASD,CREDITOS_ASD,NOTA_CEM,VECES_CEM,CREDITOS_CEM,NOTA_INSE,VECES_INSE,CREDITOS_INSE,NOTA_GENH,VECES_GENH,CREDITOS_GENH,NOTA_IO_UNO,VECES_IO_UNO,CREDITOS_IO_UNO
0,17,17,0,7,7,0,1,33.15,40,1,3,34,1,3,34,1,2,32,1,3,40,1,2,35,1,2,39,1,2
0,0,0,0,0,0,0,0,27,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,43.64705882,50,1,3,48,1,3,35,1,2,40,1,3,44,1,2,50,1,2,37,1,2
0,17,17,0,7,7,0,1,40.17647059,40,1,3,46,1,3,40,1,2,30,1,3,43,1,2,50,1,2,32,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,41.11764706,50,1,3,45,1,3,43,1,2,30,1,3,45,1,2,50,1,2,42,1,2
1,20,17,3,8,7,1,1,33.15,50,1,3,50,1,3,39,1,2,32,2,3,36,1,2,50,1,2,41,1,2
0,17,17,0,7,7,0,1,34.25,50,1,3,43,1,3,45,1,2,30,1,3,39,1,2,30,1,2,35,1,2
0,17,17,0,7,7,0,1,38.76470588,39,1,3,41,1,3,43,1,2,31,1,3,38,1,2,31,1,2,41,1,2
0,17,17,0,7,7,0,1,39.05882353,37,1,3,40,1,3,45,1,2,35,1,3,40,1,2,50,1,2,35,1,2
1,20,17,3,8,7,1,1,34.55,44,1,3,43,1,3,39,1,2,30,2,3,43,1,2,41,1,2,43,1,2
2,25,17,8,10,7,3,2,31.14285714,43,1,3,38,1,3,37,2,2,42,3,3,34,1,2,34,1,2,34,1,2
1,20,17,3,8,7,1,1,39.58823529,40,1,3,45,1,3,43,1,2,30,2,3,37,1,2,31,1,2,33,1,2
0,14,14,0,6,6,0,1,38.94117647,0,0,3,40,1,3,45,1,2,35,1,3,40,1,2,50,1,2,45,1,2
2,17,11,6,6,4,2,2,31,40,1,3,41,2,3,0,0,2,41,2,3,0,0,2,30,1,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,29.9047619,41,1,3,30,1,3,36,1,2,30,1,3,36,1,2,50,1,2,32,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,3,0,3,1,0,1,2,0,0,0,3,0,0,3,0,0,2,15,1,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,19.14285714,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,40.94117647,40,1,3,46,1,3,40,1,2,35,1,3,43,1,2,50,1,2,40,1,2
1,26,17,9,10,7,3,2,30.55,39,1,3,39,1,3,37,1,2,36,4,3,40,1,2,33,1,2,35,1,2
3,21,9,12,9,4,5,2,18.56666667,0,0,3,0,0,3,32,2,2,30,3,3,33,1,2,38,3,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
2,24,17,7,10,7,3,2,32.95,43,1,3,44,2,3,34,1,2,30,1,3,33,3,2,50,1,2,35,1,2
0,3,3,0,1,1,0,1,25,35,1,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,3,3,0,1,1,0,1,27,40,1,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
2,29,17,12,11,7,4,2,28.59090909,46,1,3,36,3,3,39,1,2,33,3,3,35,1,2,30,1,2,32,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,36.26315789,50,1,3,43,1,3,32,1,2,30,1,3,38,1,2,50,1,2,32,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,9,3,6,3,1,2,2,33,30,1,3,0,0,3,0,0,2,13,2,3,0,0,2,0,0,2,0,0,2
0,3,0,3,1,0,1,2,34,0,0,3,0,0,3,0,0,2,2,1,3,0,0,2,0,0,2,0,0,2
0,11,3,8,4,1,3,2,0,44,1,3,26,1,3,10,1,2,4,1,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,42.23529412,41,1,3,40,1,3,40,1,2,36,1,3,40,1,2,33,1,2,39,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,2,2,0,1,1,0,1,0,0,0,3,0,0,3,0,0,2,0,0,3,45,1,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,20,17,3,8,7,1,2,34.36842105,37,1,3,40,1,3,33,1,2,34,2,3,36,1,2,33,1,2,30,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,40.76470588,43,1,3,47,1,3,44,1,2,32,1,3,35,1,2,37,1,2,43,1,2
1,20,17,3,8,7,1,1,37.23529412,49,1,3,44,1,3,30,1,2,30,2,3,41,1,2,39,1,2,31,1,2
0,17,17,0,7,7,0,1,28.09090909,39,1,3,44,1,3,42,1,2,32,1,3,37,1,2,31,1,2,35,1,2
2,10,2,8,5,1,4,2,0,0,0,3,0,0,3,0,0,2,0,0,3,0,2,2,0,0,2,32,3,2
0,17,17,0,7,7,0,1,42.17647059,43,1,3,47,1,3,43,1,2,32,1,3,35,1,2,36,1,2,44,1,2
1,20,17,3,8,7,1,1,39.05882353,41,1,3,37,1,3,38,1,2,35,2,3,39,1,2,38,1,2,39,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,19,17,2,8,7,1,2,22.14814815,35,1,3,30,1,3,35,1,2,30,1,3,35,1,2,30,1,2,40,2,2
1,26,17,9,10,7,3,2,32.05,50,1,3,46,1,3,43,1,2,35,4,3,35,1,2,32,1,2,36,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,40.70588235,47,1,3,47,1,3,46,1,2,33,1,3,38,1,2,38,1,2,39,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,23,17,6,9,7,2,1,30.57142857,50,1,3,50,1,3,40,1,2,30,3,3,38,1,2,37,1,2,47,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,3,3,0,1,1,0,1,0,34,1,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,20,14,6,8,6,2,2,35.55,0,0,3,40,1,3,37,1,2,33,3,3,39,1,2,35,1,2,31,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,20,17,3,8,7,1,1,38.29411765,50,1,3,50,1,3,41,1,2,30,2,3,36,1,2,34,1,2,36,1,2
0,17,17,0,7,7,0,1,40.64705882,50,1,3,46,1,3,42,1,2,31,1,3,42,1,2,34,1,2,41,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,5,3,2,2,1,1,2,0,30,1,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,25,1,2
1,20,17,3,8,7,1,1,39.64705882,42,1,3,46,1,3,30,1,2,32,2,3,40,1,2,33,1,2,37,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,20,17,3,8,7,1,1,32,39,1,3,50,1,3,37,1,2,32,2,3,43,1,2,31,1,2,40,1,2
2,25,17,8,10,7,3,2,30.35,46,1,3,30,1,3,42,1,2,32,3,3,39,1,2,32,2,2,33,1,2
1,15,9,6,6,4,2,2,29.66666667,0,0,3,39,1,3,40,1,2,11,2,3,39,1,2,50,1,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,42.17647059,41,1,3,48,1,3,41,1,2,33,1,3,41,1,2,33,1,2,39,1,2
0,0,0,0,0,0,0,0,13,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,20,17,3,8,7,1,1,39.58823529,47,1,3,50,1,3,42,1,2,30,2,3,41,1,2,34,1,2,41,1,2
2,22,14,8,9,6,3,2,23.65,0,0,3,33,1,3,30,1,2,31,3,3,35,2,2,36,1,2,33,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,20,17,3,8,7,1,1,25.13043478,50,1,3,38,1,3,33,1,2,30,2,3,41,1,2,34,1,2,32,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,20,17,3,8,7,1,1,25.72222222,45,1,3,34,1,3,36,1,2,39,2,3,45,1,2,39,1,2,38,1,2
1,20,17,3,8,7,1,1,27.27272727,35,1,3,42,1,3,30,1,2,30,2,3,40,1,2,37,1,2,34,1,2
2,14,6,8,6,3,3,2,32,0,0,3,0,0,3,35,1,2,22,2,3,42,2,2,32,1,2,0,0,2
1,20,17,3,8,7,1,1,34.05882353,40,1,3,33,1,3,40,1,2,30,2,3,38,1,2,37,1,2,32,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,20,17,3,8,7,1,1,25.2,46,1,3,34,1,3,43,1,2,30,2,3,32,1,2,31,1,2,34,1,2
2,22,17,5,9,7,2,1,40.05882353,50,1,3,43,1,3,40,2,2,35,2,3,38,1,2,35,1,2,47,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,26,17,9,10,7,3,2,31.5,46,1,3,45,1,3,39,1,2,34,4,3,41,1,2,30,1,2,30,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
2,22,11,11,9,5,4,2,15.71428571,35,1,3,0,0,3,33,1,2,10,3,3,32,1,2,34,2,2,36,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,32.95,50,1,3,49,1,3,30,1,2,34,1,3,36,1,2,31,1,2,39,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
2,26,17,9,10,7,3,2,19.28125,50,1,3,31,2,3,32,1,2,30,3,3,43,1,2,32,1,2,30,1,2
2,13,8,5,5,3,2,2,34,0,0,3,35,1,3,0,0,2,31,2,3,0,0,2,0,0,2,38,2,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
3,26,6,20,10,3,7,2,0,0,0,3,23,2,3,31,1,2,20,4,3,34,1,2,0,0,2,34,2,2
1,13,2,11,5,1,4,2,0,0,0,3,0,0,3,0,1,2,19,3,3,31,1,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,33.8,40,1,3,39,1,3,40,1,2,32,1,3,32,1,2,31,1,2,32,1,2
0,17,17,0,7,7,0,1,37.52941176,49,1,3,39,1,3,33,1,2,32,1,3,30,1,2,30,1,2,41,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,23,17,6,9,7,2,2,39.94117647,40,1,3,39,1,3,34,1,2,44,3,3,39,1,2,38,1,2,45,1,2
0,17,17,0,7,7,0,1,30.22727273,43,1,3,49,1,3,31,1,2,32,1,3,34,1,2,34,1,2,37,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
