NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES;PROMEDIO_TRES
108;10;452.98;60.49;66.74;60.25;64.23;10;31.333333333333332;1;19;4;6;1;5;22.5;30.0;30.0;40.0;35.0;40.0;40.0;33.1875;1;19;16;3;6;6;0;1;30.0;2;3;35.0;1;3;30.0;1;3;32.0;1;2;0.0;0;1;40.0;1;3;31.0;1;2;2;36.666666666666664
109;20;453.98;58.13;64.0;60.25;50.87;20;24.545454545454547;1;15;4;3;2;10;15.0;0.0;35.0;35.0;15.0;40.0;0.0;18.333333333333332;1;12;9;3;3;0;3;2;15.0;1;3;0.0;0;3;20.0;1;3;0.0;0;2;0.0;0;1;20.0;2;3;0.0;0;2;1;0.0
110;18;464.46;65.16;58.93;58.09;50.87;18;35.0;0;15;0;7;0;5;35.0;35.0;35.0;40.0;30.0;40.0;35.0;31.71875;3;25;16;9;6;3;3;1;27.5;2;3;27.5;2;3;27.5;2;3;30.0;1;2;0.0;0;1;40.0;1;3;40.0;1;2;2;34.6
111;9;453.44;69.99;56.51;49.87;62.69;9;17.272727272727273;3;30;19;1;4;10;15.0;0.0;16.666666666666668;35.0;0.0;15.0;15.0;15.0;2;21;6;15;2;0;2;2;15.0;4;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;3;3;0.0;0;2;1;12.857142857142858
112;10;413.16;60.49;41.52;49.87;45.98;10;31.833333333333332;2;22;7;5;2;5;22.5;30.0;27.5;45.0;45.0;40.0;35.0;34.15625;2;25;16;9;6;5;1;1;32.5;2;3;20.0;3;3;35.0;1;3;38.0;1;2;0.0;0;1;40.0;1;3;44.0;1;2;2;35.333333333333336
113;6;457.61;58.13;66.74;58.09;67.6;6;34.0;1;19;4;6;1;5;25.0;40.0;30.0;40.0;40.0;40.0;40.0;32.875;0;16;16;0;6;6;0;1;30.0;1;3;30.0;1;3;30.0;1;3;30.0;1;2;0.0;0;1;40.0;1;3;38.0;1;2;2;34.4
114;10;471.3;58.13;61.41;51.92;53.32;9;23.58974358974359;1;21;8;3;3;1;16.666666666666668;15.0;25.0;35.0;30.0;40.0;0.0;24.166666666666668;2;15;9;6;3;1;2;2;17.5;2;3;0.0;0;3;20.0;2;3;0.0;0;2;0.0;0;1;35.0;1;3;0.0;0;2;1;15.0
115;20;456.33;85.28;58.93;53.95;57.13;20;32.333333333333336;2;21;6;5;2;1;27.5;27.5;35.0;40.0;30.0;35.0;40.0;26.875;4;24;12;12;4;1;3;1;22.5;2;3;22.5;2;3;27.5;2;3;0.0;0;2;0.0;0;1;35.0;2;3;0.0;0;2;1;27.75
116;20;451.49;58.13;61.41;55.99;40.88;2;19.09090909090909;3;48;37;2;3;1;15.0;0.0;15.0;40.0;15.0;35.0;0.0;23.4375;2;37;7;30;3;2;1;2;0.0;0;3;0.0;0;3;12.5;6;3;0.0;0;2;45.0;1;1;35.0;6;3;0.0;0;2;1;9.375
117;15;464.61;60.49;54.12;51.92;48.43;4;15.0;0;9;0;0;4;1;15.0;0.0;15.0;15.0;0.0;15.0;0.0;15.0;0;3;3;0;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;20.0;1;3;0.0;0;2;1;0.0
