CAR_OCHO,NCC_OCHO,NCA_OCHO,NCP_OCHO,NAC_OCHO,NAA_OCHO,NAP_OCHO,EPA_OCHO,ESTADO OCHO,PROMEDIO_NUEVE,NOTA_L_TRES,VECES_L_TRES,CREDITOS_L_TRES,NOTA_EI_TRES,VECES_EI_TRES,CREDITOS_EI_TRES,NOTA_EI_CUATRO,VECES_EI_CUATRO,CREDITOS_EI_CUATRO,NOTA_FGEP,VECES_FGEP,CREDITOS_FGEP,NOTA_FOTOD,VECES_FOTOD,CREDITOS_FOTOD,NOTA_AVAM,VECES_AVAM,CREDITOS_AVAM
0,0,0,0,0,0,0,0,2,50,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
2,14,14,0,6,6,0,2,3,32.1,42,1,2,38,1,3,34,1,3,40,2,2,32,3,2,40,1,2
0,14,14,0,6,6,0,1,1,38.25,38,1,2,40,1,3,35,1,3,33,1,2,35,1,2,40,1,2
0,14,14,0,6,6,0,1,1,41.30769231,46,1,2,37,1,3,50,1,3,43,1,2,38,1,2,37,1,2
0,14,14,0,6,6,0,1,1,39,38,1,2,37,1,3,35,1,3,32,1,2,30,1,2,35,1,2
0,14,14,0,6,6,0,1,1,44.1,47,1,2,39,1,3,43,1,3,34,1,2,38,1,2,40,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,38,40,1,2,33,1,3,37,1,3,37,1,2,36,1,2,32,1,2
1,14,14,0,6,6,0,1,1,40.84615385,39,1,2,40,1,3,37,1,3,40,1,2,41,2,2,38,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,37.5,44,1,2,30,1,3,35,1,3,35,1,2,30,1,2,33,1,2
1,14,14,0,6,6,0,1,1,38.1,39,1,2,36,1,3,36,1,3,31,1,2,36,2,2,40,1,2
0,14,14,0,6,6,0,1,1,43.3,46,1,2,40,1,3,36,1,3,44,1,2,36,1,2,43,1,2
