CAR_OCHO,NCC_OCHO,NCA_OCHO,NCP_OCHO,NAC_OCHO,NAA_OCHO,NAP_OCHO,EPA_OCHO,ESTADO OCHO,PROMEDIO_NUEVE,NOTA_L_TRES,VECES_L_TRES,CREDITOS_L_TRES,NOTA_EI_TRES,VECES_EI_TRES,CREDITOS_EI_TRES,NOTA_EI_CUATRO,VECES_EI_CUATRO,CREDITOS_EI_CUATRO,NOTA_FGEP,VECES_FGEP,CREDITOS_FGEP,NOTA_FOTOD,VECES_FOTOD,CREDITOS_FOTOD,NOTA_AVAM,VECES_AVAM,CREDITOS_AVAM
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,42,35,1,2,31,1,3,39,1,3,39,1,2,33,1,2,38,1,2
1,14,11,3,6,5,1,2,3,34.63636364,39,1,2,12,1,3,30,3,3,32,1,2,30,1,2,37,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,40.1,37,1,2,42,1,3,38,1,3,38,1,2,36,1,2,35,1,2
1,14,14,0,6,6,0,1,1,36.76923077,35,1,2,31,2,3,37,1,3,41,1,2,31,1,2,34,1,2
0,14,14,0,6,6,0,1,1,39.2,42,1,2,37,1,3,33,1,3,37,1,2,31,1,2,38,1,2
1,14,14,0,6,6,0,1,1,36.84615385,34,1,2,30,1,3,37,1,3,31,1,2,31,2,2,36,1,2
0,14,14,0,6,6,0,1,1,39,42,1,2,37,1,3,37,1,3,41,1,2,31,1,2,38,1,2
0,14,14,0,6,6,0,1,1,43.1,34,1,2,37,1,3,41,1,3,39,1,2,40,1,2,39,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,41.5,43,1,2,35,1,3,34,1,3,43,1,2,33,1,2,41,1,2
1,14,14,0,6,6,0,1,1,40.4,33,1,2,32,1,3,42,1,3,35,1,2,35,2,2,39,1,2
0,14,14,0,6,6,0,1,1,42.92307692,42,1,2,36,1,3,39,1,3,44,1,2,39,1,2,43,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,40.90909091,39,1,2,31,1,3,36,1,3,33,1,2,31,1,2,42,1,2
0,14,14,0,6,6,0,1,1,40.69230769,30,1,2,30,1,3,41,1,3,36,1,2,30,1,2,36,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,40.30769231,42,1,2,37,1,3,37,1,3,33,1,2,37,1,2,40,1,2
0,14,14,0,6,6,0,1,1,41,38,1,2,40,1,3,41,1,3,41,1,2,40,1,2,43,1,2
0,14,14,0,6,6,0,1,1,39.27272727,37,1,2,37,1,3,38,1,3,32,1,2,34,1,2,42,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,38.46153846,37,1,2,40,1,3,41,1,3,35,1,2,30,1,2,39,1,2
0,14,14,0,6,6,0,1,1,40.8,43,1,2,36,1,3,41,1,3,46,1,2,35,1,2,33,1,2
0,14,14,0,6,6,0,1,1,44,40,1,2,40,1,3,41,1,3,43,1,2,42,1,2,44,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
1,14,14,0,6,6,0,1,1,38.07692308,35,1,2,34,1,3,40,1,3,35,1,2,37,2,2,44,1,2
0,14,14,0,6,6,0,1,1,44,42,1,2,38,1,3,41,1,3,39,1,2,35,1,2,41,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,40.76923077,40,1,2,42,1,3,37,1,3,38,1,2,30,1,2,40,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,42.5,42,1,2,50,1,3,41,1,3,45,1,2,32,1,2,38,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,37.30769231,43,1,2,38,1,3,36,1,3,37,1,2,34,1,2,35,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,41.7,33,1,2,47,1,3,36,1,3,33,1,2,34,1,2,35,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,38.6,48,1,2,43,1,3,44,1,3,43,1,2,33,1,2,37,1,2
0,14,14,0,6,6,0,1,1,35.5,39,1,2,41,1,3,36,1,3,36,1,2,33,1,2,34,1,2
1,14,14,0,6,6,0,1,1,37.75,37,1,2,34,1,3,35,2,3,40,1,2,34,1,2,47,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,39,39,1,2,30,1,3,37,1,3,41,1,2,38,1,2,41,1,2
0,14,14,0,6,6,0,1,1,39.5,43,1,2,37,1,3,41,1,3,42,1,2,36,1,2,42,1,2
0,14,14,0,6,6,0,1,1,42.30769231,46,1,2,33,1,3,37,1,3,47,1,2,30,1,2,40,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,39.8,39,1,2,43,1,3,38,1,3,45,1,2,47,1,2,38,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,38.92307692,42,1,2,37,1,3,37,1,3,37,1,2,31,1,2,40,1,2
1,14,14,0,6,6,0,1,1,39.90909091,39,1,2,31,1,3,38,1,3,36,2,2,34,1,2,35,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
