NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_DEM,VECES_DEM,CREDITOS_DEM,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_CIR_UNO,VECES_CIR_UNO,CREDITOS_CIR_UNO,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_HCI,VECES_HCI,CREDITOS_HCI,CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,PROMEDIO_TRES
35,1,3,40,1,1,45,1,3,40,1,3,30,1,3,41,1,2,45,1,1,0,16,16,0,7,7,0,1,30.71428571
30,2,3,39,1,1,40,1,3,30,1,3,30,1,3,45,1,2,50,1,1,1,19,16,3,8,7,1,2,13.57142857
35,2,3,45,1,1,40,1,3,40,1,3,35,2,3,45,1,2,45,1,1,2,22,16,6,9,7,2,2,36.5
30,1,3,0,0,1,40,1,3,31,3,3,23,4,3,40,1,2,45,1,1,2,30,12,18,11,5,6,2,9
32,1,3,35,1,1,40,2,3,35,2,3,37,4,3,45,1,2,45,1,1,3,31,16,15,12,7,5,2,18.36363636
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,2,3,45,1,1,30,1,3,30,1,3,30,1,3,40,1,2,40,1,1,1,19,16,3,8,7,1,2,19.375
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,2,3,45,1,1,40,1,3,40,2,3,35,1,3,45,1,2,45,1,1,2,22,16,6,9,7,2,2,20.9
40,1,3,0,0,1,40,1,3,35,1,3,26,4,3,45,1,2,45,1,1,1,24,12,12,9,5,4,2,21.2
42,2,3,35,1,1,40,1,3,35,1,3,21,2,3,45,1,2,45,1,1,2,22,13,9,9,6,3,2,32.5
40,2,3,40,1,1,35,1,3,30,2,3,30,1,3,40,1,2,45,1,1,2,22,16,6,9,7,2,2,24.875
35,1,3,35,1,1,35,1,3,30,1,3,40,2,3,40,1,2,40,1,1,1,19,16,3,8,7,1,1,36.16666667
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,1,3,40,1,1,40,1,3,30,1,3,35,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,25.25
30,1,3,40,1,1,45,1,3,30,1,3,35,1,3,45,1,2,50,1,1,0,16,16,0,7,7,0,1,30.57142857
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,1,3,50,1,1,50,1,3,30,1,3,40,1,3,50,1,2,50,1,1,0,16,16,0,7,7,0,1,35
35,2,3,40,1,1,40,1,3,30,1,3,30,1,3,45,1,2,45,1,1,1,19,16,3,8,7,1,1,23.75
35,1,3,50,1,1,40,1,3,30,1,3,30,1,3,50,1,2,40,1,1,0,16,16,0,7,7,0,1,26.625
35,2,3,40,1,1,45,1,3,45,1,3,30,1,3,40,1,2,50,1,1,1,19,16,3,8,7,1,1,38
30,1,3,40,1,1,30,1,3,30,2,3,30,1,3,40,1,2,45,1,1,1,19,16,3,8,7,1,2,9.461538462
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,2,3,40,1,1,40,1,3,30,2,3,34,4,3,35,1,2,45,1,1,3,31,16,15,12,7,5,2,18.7
35,1,3,40,1,1,40,1,3,30,1,3,30,1,3,35,1,2,40,1,1,0,16,16,0,7,7,0,1,30.42857143
30,2,3,45,1,1,45,1,3,40,1,3,30,1,3,40,1,2,45,1,1,1,19,16,3,8,7,1,1,37.33333333
37,2,3,45,1,1,40,1,3,35,1,3,30,1,3,40,1,2,50,1,1,1,19,16,3,8,7,1,1,25.88888889
30,2,3,40,1,1,45,1,3,35,1,3,30,1,3,45,1,2,40,1,1,1,19,16,3,8,7,1,1,30.85714286
36,1,3,47,1,1,38,1,3,39,1,3,30,2,3,43,1,2,30,1,1,1,19,16,3,8,7,1,1,28.125
30,1,3,36,1,1,35,1,3,30,1,3,30,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,26.375
25,3,3,30,1,1,35,1,3,35,2,3,15,3,3,35,1,2,35,1,1,3,31,10,21,12,5,7,2,17.5
40,1,3,35,1,1,40,1,3,30,1,3,30,1,3,0,0,2,45,1,1,0,14,14,0,6,6,0,1,12
45,2,3,35,1,1,35,1,3,30,1,3,40,2,3,30,1,2,45,1,1,2,22,16,6,9,7,2,2,32.33333333
40,1,3,45,1,1,40,1,3,30,1,3,30,2,3,35,1,2,35,1,1,1,19,16,3,8,7,1,1,35.83333333
30,1,3,50,1,1,40,1,3,35,1,3,30,1,3,45,1,2,40,1,1,0,16,16,0,7,7,0,1,35
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,1,3,35,1,1,45,1,3,40,1,3,30,1,3,45,1,2,50,1,1,0,16,16,0,7,7,0,1,25.44444444
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,1,3,33,2,1,40,1,3,40,1,3,37,3,3,32,1,2,45,1,1,2,23,16,7,10,7,3,2,26.75
35,1,3,45,1,1,35,1,3,35,1,3,32,2,3,40,1,2,45,1,1,1,19,16,3,8,7,1,1,24.375
33,1,3,40,1,1,30,1,3,30,1,3,30,1,3,40,1,2,40,1,1,0,16,16,0,7,7,0,1,24
0,0,3,40,1,1,40,1,3,0,0,3,15,1,3,40,1,2,50,1,1,0,10,7,3,5,4,1,1,0
35,1,3,0,0,1,30,1,3,40,1,3,27,3,3,45,1,2,45,1,1,1,21,12,9,8,5,3,2,24.2
12,1,3,0,0,1,0,0,3,0,0,3,7,1,3,40,1,2,17,2,1,1,10,2,8,5,1,4,2,0
40,1,3,40,1,1,45,1,3,30,1,3,40,1,3,45,1,2,50,1,1,0,16,16,0,7,7,0,1,41.83333333
25,1,3,45,1,1,30,1,3,15,1,3,15,1,3,30,1,2,45,1,1,0,16,7,9,7,4,3,2,15
30,1,3,40,1,1,35,1,3,31,1,3,33,2,3,40,1,2,45,1,1,1,19,16,3,8,7,1,2,27.85714286
30,2,3,0,0,1,40,1,3,35,1,3,35,1,3,35,1,2,45,1,1,1,18,15,3,7,6,1,2,17.25
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,1,3,40,1,1,40,1,3,39,3,3,30,4,3,40,1,2,41,1,1,2,31,16,15,12,7,5,2,14.75
30,1,3,33,1,1,31,1,3,37,3,3,22,3,3,21,2,2,39,1,1,3,30,11,19,12,5,7,2,10.42857143
30,2,3,40,1,1,30,1,3,35,1,3,30,1,3,40,1,2,45,1,1,1,19,16,3,8,7,1,2,21.77777778
47,3,3,41,1,1,0,0,3,32,3,3,30,1,3,39,1,2,45,1,1,2,25,13,12,10,6,4,2,4.9
30,1,3,40,1,1,35,1,3,30,1,3,30,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,28.14285714
35,1,3,35,1,1,35,1,3,30,1,3,33,2,3,35,1,2,50,1,1,1,19,16,3,8,7,1,2,33.66666667
30,1,3,40,1,1,35,1,3,35,1,3,30,1,3,45,1,2,45,1,1,0,16,16,0,7,7,0,1,28.42857143
40,1,3,0,0,1,33,1,3,39,1,3,42,1,3,45,1,2,45,1,1,0,15,15,0,6,6,0,1,34.28571429
35,1,3,45,1,1,35,1,3,40,1,3,30,1,3,40,1,2,50,1,1,0,16,16,0,7,7,0,1,24.375
31,1,3,44,1,1,36,2,3,43,3,3,39,2,3,39,2,2,40,1,1,4,30,16,14,12,7,5,2,29.625
30,1,3,44,1,1,40,1,3,43,2,3,30,1,3,40,1,2,45,1,1,1,19,16,3,8,7,1,1,25.25
0,0,3,20,1,1,20,1,3,0,0,3,0,0,3,20,1,2,40,1,1,0,7,1,6,4,1,3,2,0
40,1,3,35,1,1,35,1,3,35,1,3,40,1,3,35,1,2,45,1,1,0,16,16,0,7,7,0,1,40.5
35,1,3,35,1,1,35,1,3,40,1,3,31,2,3,40,1,2,40,1,1,1,19,16,3,8,7,1,1,20
30,1,3,39,1,1,40,1,3,35,1,3,35,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,37.83333333
30,1,3,47,1,1,36,1,3,41,1,3,33,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,28.14285714
40,1,3,35,1,1,30,1,3,35,1,3,30,1,3,35,1,2,40,1,1,0,16,16,0,7,7,0,1,37.5
30,1,3,35,1,1,40,1,3,30,1,3,30,1,3,35,1,2,40,1,1,0,16,16,0,7,7,0,1,15.5
30,1,3,40,1,1,35,1,3,30,1,3,30,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,29.85714286
32,1,3,0,0,1,30,1,3,31,1,3,32,1,3,40,1,2,46,1,1,0,15,15,0,6,6,0,1,24.375
30,1,3,42,1,1,40,1,3,30,1,3,35,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,32.5
15,4,3,15,3,1,15,4,3,0,0,3,0,0,3,35,1,2,35,1,1,3,30,3,27,13,2,11,2,0
30,1,3,40,1,1,35,1,3,35,1,3,35,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,36.33333333
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
33,1,3,35,1,1,30,1,3,40,1,3,35,1,3,40,1,2,50,1,1,0,16,16,0,7,7,0,1,30.28571429
34,1,3,35,1,1,35,2,3,39,2,3,42,3,3,35,1,2,43,1,1,3,28,16,12,11,7,4,2,20.3
30,1,3,35,1,1,39,2,3,43,2,3,31,2,3,40,1,2,45,1,1,3,25,16,9,10,7,3,2,27.875
30,1,3,35,1,1,38,1,3,30,1,3,30,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,30.71428571
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
26,4,3,30,1,1,0,0,3,30,1,3,30,2,3,40,1,2,45,1,1,2,25,10,15,10,5,5,2,13.8
32,2,3,33,1,1,42,1,3,35,1,3,30,4,3,45,1,2,40,1,1,2,28,16,12,11,7,4,2,22
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
40,1,3,35,1,1,40,1,3,40,1,3,40,1,3,45,1,2,45,1,1,0,16,16,0,7,7,0,1,37.83333333
35,2,3,35,1,1,40,1,3,35,1,3,31,2,3,35,1,2,35,1,1,2,22,16,6,9,7,2,2,27.71428571
35,3,3,33,1,1,42,1,3,43,1,3,30,2,3,30,1,2,35,1,1,2,25,16,9,10,7,3,2,35
40,1,3,35,1,1,45,1,3,35,1,3,40,1,3,45,1,2,45,1,1,0,16,16,0,7,7,0,1,33.66666667
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,1,3,30,1,1,32,1,3,40,1,3,40,2,3,40,1,2,45,1,1,1,19,16,3,8,7,1,1,34.33333333
40,1,3,40,1,1,40,1,3,40,1,3,40,1,3,45,1,2,45,1,1,0,16,16,0,7,7,0,1,38.16666667
0,1,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,1,1,0,4,0,4,2,0,2,0,0
30,1,3,44,2,1,45,1,3,30,1,3,35,1,3,40,1,2,45,1,1,1,17,16,1,8,7,1,1,31.42857143
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
40,3,3,35,1,1,30,1,3,33,1,3,32,3,3,40,1,2,50,1,1,2,28,16,12,11,7,4,2,25.6
0,0,3,0,0,1,0,0,3,33,1,3,0,0,3,18,2,2,4,2,1,2,9,3,6,5,1,4,2,33
30,1,3,33,1,1,38,1,3,35,1,3,30,2,3,33,1,2,38,1,1,1,19,16,3,8,7,1,2,18.9
30,1,3,35,1,1,34,1,3,30,1,3,25,3,3,45,1,2,35,1,1,1,22,13,9,9,6,3,2,23
30,1,3,35,1,1,35,1,3,33,2,3,30,1,3,40,1,2,40,1,1,1,19,16,3,8,7,1,2,24.75
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,1,3,39,1,1,35,1,3,40,1,3,35,1,3,35,1,2,40,1,1,0,16,16,0,7,7,0,1,35.5
0,0,3,35,1,1,0,0,3,0,1,3,0,0,3,34,1,2,40,1,1,0,7,4,3,4,3,1,2,0
36,2,3,41,1,1,38,1,3,35,1,3,43,3,3,37,1,2,30,1,1,2,25,16,9,10,7,3,2,28.71428571
33,2,3,42,1,1,30,1,3,30,1,3,30,1,3,30,1,2,40,1,1,1,19,16,3,8,7,1,2,25.75
32,1,3,0,0,1,41,1,3,31,1,3,32,2,3,32,1,2,36,1,1,1,18,15,3,7,6,1,2,25
30,1,3,35,1,1,35,1,3,0,0,3,15,1,3,40,1,2,35,1,1,0,13,10,3,6,5,1,1,0
30,1,3,35,1,1,40,1,3,32,2,3,37,3,3,35,1,2,45,1,1,2,25,16,9,10,7,3,2,17.72727273
36,3,3,41,1,1,40,1,3,33,1,3,35,2,3,35,1,2,44,2,1,3,26,16,10,11,7,4,2,32.57142857
35,2,3,35,1,1,35,1,3,35,1,3,35,1,3,35,1,2,40,1,1,1,19,16,3,8,7,1,2,17.16666667
35,2,3,38,1,1,46,1,3,45,1,3,31,2,3,37,1,2,41,1,1,2,22,16,6,9,7,2,2,36.83333333
30,1,3,42,1,1,41,1,3,30,1,3,32,1,3,44,1,2,43,1,1,0,16,16,0,7,7,0,1,38.83333333
31,2,3,42,1,1,37,1,3,45,1,3,35,2,3,41,1,2,41,1,1,2,22,16,6,9,7,2,2,22.66666667
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
33,1,3,0,0,1,39,1,3,40,1,3,33,3,3,30,1,2,41,1,1,1,21,15,6,8,6,2,2,27.71428571
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
46,1,3,40,1,1,50,1,3,36,1,3,42,1,3,43,1,2,44,1,1,0,16,16,0,7,7,0,1,41.83333333
30,1,3,3,2,1,38,1,3,31,1,3,29,2,3,38,1,2,50,1,1,2,20,12,8,9,5,4,2,18.33333333
31,2,3,45,1,1,43,1,3,45,1,3,31,2,3,45,1,2,43,1,1,2,22,16,6,9,7,2,2,24.375
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
34,1,3,39,1,1,45,1,3,47,1,3,36,1,3,44,1,2,41,1,1,0,16,16,0,7,7,0,1,38.16666667
0,0,3,39,1,1,38,2,3,34,1,3,27,3,3,36,1,2,42,1,1,2,22,10,12,9,5,4,2,34
39,1,3,38,1,1,40,1,3,34,1,3,39,2,3,41,1,2,47,1,1,1,19,16,3,8,7,1,1,21.77777778
26,3,3,42,1,1,31,1,3,31,2,3,18,2,3,7,1,2,38,1,1,3,28,8,20,11,4,7,2,15.5
30,2,3,38,1,1,0,0,3,36,1,3,30,1,3,42,1,2,40,1,1,1,16,13,3,7,6,1,2,36
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
39,2,3,38,1,1,40,1,3,45,1,3,37,1,3,41,1,2,41,1,1,1,19,16,3,8,7,1,1,38.33333333
32,3,3,43,1,1,42,1,3,41,1,3,32,2,3,42,1,2,50,1,1,2,25,16,9,10,7,3,2,39.33333333
31,2,3,37,2,1,37,1,3,30,1,3,24,3,3,39,1,2,44,1,1,3,26,13,13,11,6,5,2,14.4
32,1,3,41,1,1,0,0,3,17,2,3,9,2,3,35,1,2,45,1,1,2,19,7,12,8,4,4,2,9.25
43,1,3,42,1,1,44,1,3,43,1,3,30,1,3,44,1,2,44,1,1,0,16,16,0,7,7,0,1,39.5
50,1,3,43,1,1,45,1,3,47,1,3,39,1,3,48,1,2,46,1,1,0,16,16,0,7,7,0,1,44.66666667
33,2,3,32,1,1,43,1,3,35,1,3,36,2,3,43,1,2,34,1,1,2,22,16,6,9,7,2,2,30.85714286
31,1,3,38,1,1,33,1,3,45,1,3,40,1,3,40,1,2,39,1,1,0,16,16,0,7,7,0,1,32.57142857
35,2,3,39,1,1,34,1,3,30,1,3,34,2,3,30,1,2,39,1,1,2,22,16,6,9,7,2,2,29.42857143
30,1,3,49,1,1,45,1,3,34,1,3,36,1,3,47,1,2,37,1,1,0,16,16,0,7,7,0,1,40.16666667
45,1,3,37,1,1,47,1,3,39,1,3,41,1,3,40,1,2,40,1,1,0,16,16,0,7,7,0,1,38.66666667
36,1,3,42,1,1,45,1,3,44,1,3,32,1,3,43,1,2,50,1,1,0,16,16,0,7,7,0,1,37.16666667
43,1,3,43,1,1,45,1,3,37,1,3,30,1,3,41,1,2,46,1,1,0,16,16,0,7,7,0,1,41.66666667
30,1,3,43,1,1,36,1,3,32,1,3,35,1,3,38,1,2,39,1,1,0,16,16,0,7,7,0,1,36.5
33,1,3,43,1,1,42,1,3,33,1,3,30,1,3,42,1,2,40,1,1,0,16,16,0,7,7,0,1,37.66666667
38,1,3,40,1,1,47,1,3,34,1,3,31,1,3,42,1,2,37,1,1,0,16,16,0,7,7,0,1,38.5
36,1,3,31,1,1,39,1,3,34,1,3,36,2,3,46,1,2,50,1,1,1,19,16,3,8,7,1,1,36.33333333
29,3,3,32,1,1,32,1,3,30,1,3,20,2,3,40,1,2,41,1,1,2,25,10,15,10,5,5,2,30
30,1,3,35,1,1,40,2,3,43,2,3,34,3,3,34,1,2,38,1,1,3,28,16,12,11,7,4,2,20.77777778
31,2,3,41,1,1,38,1,3,34,1,3,31,3,3,39,1,2,50,1,1,2,25,16,9,10,7,3,2,25.375
30,3,3,31,1,1,34,1,3,30,1,3,33,2,3,35,1,2,37,1,1,2,25,16,9,10,7,3,2,15.125
30,3,3,39,1,1,32,1,3,34,1,3,26,3,3,38,1,2,44,1,1,2,28,13,15,11,6,5,2,29
30,2,3,36,1,1,39,1,3,35,1,3,37,2,3,36,1,2,37,1,1,2,22,16,6,9,7,2,2,18.6
14,3,3,34,2,1,41,1,3,31,1,3,34,3,3,42,1,2,50,1,1,3,29,13,16,12,6,6,2,12.16666667
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
38,2,3,36,1,1,39,1,3,32,1,3,27,2,3,42,1,2,39,1,1,2,22,13,9,9,6,3,2,32
16,1,3,35,3,1,25,2,3,30,2,3,15,1,3,29,3,2,50,1,1,4,28,5,23,13,3,10,2,15
33,2,3,43,1,1,41,1,3,36,1,3,33,1,3,40,1,2,42,1,1,1,19,16,3,8,7,1,1,33.28571429
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,41,1,1,39,2,3,40,2,3,0,0,3,38,1,2,36,1,1,2,16,10,6,7,5,2,2,20
24,4,3,38,1,1,28,4,3,32,1,3,19,3,3,39,1,2,34,1,1,3,40,7,33,15,4,11,2,19
38,1,3,41,1,1,42,1,3,35,1,3,35,1,3,47,1,2,41,1,1,0,16,16,0,7,7,0,1,22.66666667
31,2,3,44,1,1,31,1,3,40,1,3,33,2,3,44,1,2,34,1,1,2,22,16,6,9,7,2,2,25
23,1,3,0,0,1,46,1,3,33,1,3,34,1,3,24,1,2,40,1,1,0,15,10,5,6,4,2,1,33
30,1,3,40,1,1,47,1,3,45,2,3,40,3,3,43,1,2,47,1,1,2,25,16,9,10,7,3,2,28
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
31,1,3,40,1,1,46,1,3,33,1,3,36,2,3,44,1,2,42,1,1,1,19,16,3,8,7,1,1,37.5
31,2,3,0,0,1,44,1,3,41,3,3,31,1,3,0,0,2,30,1,1,2,22,13,9,8,5,3,2,12.45454545
30,2,3,42,1,1,31,1,3,39,2,3,37,3,3,35,1,2,36,1,1,3,28,16,12,11,7,4,2,17
33,3,3,43,1,1,34,1,3,42,2,3,33,2,3,42,1,2,41,1,1,3,28,16,12,11,7,4,2,17.58333333
0,0,3,39,1,1,30,1,3,0,0,3,30,1,3,45,1,2,50,1,1,0,10,10,0,5,5,0,1,0
34,2,3,42,1,1,39,1,3,43,3,3,38,3,3,46,1,2,35,1,1,3,31,16,15,12,7,5,2,21.22222222
30,1,3,38,1,1,30,1,3,36,1,3,33,1,3,44,1,2,36,1,1,0,16,16,0,7,7,0,1,32.28571429
31,3,3,0,0,1,26,2,3,31,2,3,0,0,3,37,1,2,40,1,1,3,24,9,15,9,4,5,2,18.6
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
32,1,3,36,1,1,34,1,3,42,1,3,39,2,3,37,1,2,41,1,1,1,19,16,3,8,7,1,1,30.14285714
37,2,3,0,0,1,34,1,3,44,2,3,4,1,3,43,1,2,41,1,1,2,21,12,9,8,5,3,2,20
27,3,3,36,1,1,37,2,3,36,2,3,18,2,3,40,1,2,39,1,1,4,31,10,21,12,5,7,2,18
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
41,2,3,39,1,1,43,1,3,45,1,3,39,2,3,48,1,2,44,1,1,2,22,16,6,9,7,2,1,33
39,3,3,35,1,1,0,0,3,37,2,3,26,3,3,33,1,2,44,1,1,3,28,10,18,11,5,6,2,12.33333333
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
33,2,3,35,1,1,43,1,3,31,1,3,34,2,3,33,1,2,46,1,1,2,22,16,6,9,7,2,2,22.88888889
30,2,3,43,1,1,38,1,3,44,1,3,36,1,3,45,1,2,41,1,1,1,19,16,3,8,7,1,1,27
30,1,3,47,1,1,44,1,3,47,1,3,35,1,3,47,1,2,39,1,1,0,16,16,0,7,7,0,1,39.83333333
38,1,3,43,1,1,40,1,3,35,1,3,33,1,3,42,1,2,45,1,1,0,16,16,0,7,7,0,1,20.9
35,2,3,30,2,1,38,1,3,31,1,3,32,1,3,36,2,2,34,1,1,3,22,16,6,10,7,3,2,17.5
33,1,3,43,1,1,44,1,3,47,1,3,34,1,3,46,1,2,50,1,1,0,16,16,0,7,7,0,1,38.5
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,1,3,39,1,1,46,1,3,44,2,3,36,1,3,43,1,2,49,1,1,1,19,16,3,8,7,1,1,29.375
30,2,3,0,0,1,41,1,3,43,2,3,33,3,3,37,1,2,36,1,1,3,27,15,12,10,6,4,2,19.66666667
11,1,3,0,0,1,0,0,3,35,1,3,25,1,3,0,1,2,50,1,1,0,12,4,8,5,2,3,2,35
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,3,0,1,3,0,0,3,0,0,2,16,1,1,0,4,0,4,2,0,2,2,0
40,2,3,43,1,1,42,1,3,45,2,3,30,2,3,41,1,2,42,1,1,3,25,16,9,10,7,3,2,26
8,1,3,11,1,1,3,1,3,10,1,3,3,1,3,15,1,2,7,1,1,0,16,0,16,7,0,7,2,10
30,1,3,38,1,1,48,1,3,44,2,3,36,1,3,40,1,2,38,1,1,1,19,16,3,8,7,1,1,24.33333333
21,3,3,0,0,1,0,0,3,0,0,3,1,1,3,0,1,2,30,2,1,2,16,1,15,7,1,6,2,0
41,1,3,43,1,1,34,1,3,33,1,3,30,1,3,44,1,2,50,1,1,0,16,16,0,7,7,0,1,37.5
30,1,3,43,1,1,37,1,3,38,1,3,32,1,3,40,1,2,45,2,1,1,17,16,1,8,7,1,1,19.63636364
36,2,3,43,1,1,41,1,3,32,1,3,30,2,3,33,1,2,40,1,1,2,22,16,6,9,7,2,2,29
14,1,3,39,1,1,0,0,3,21,1,3,16,1,3,27,1,2,16,1,1,0,13,1,12,6,1,5,2,21
31,1,3,50,1,1,46,1,3,43,1,3,32,1,3,45,1,2,37,1,1,0,16,16,0,7,7,0,1,35.85714286
30,2,3,50,1,1,40,1,3,30,2,3,32,3,3,35,1,2,38,1,1,3,28,16,12,11,7,4,2,22.11111111
32,1,3,43,2,1,33,1,3,42,2,3,33,1,3,35,1,2,40,1,1,2,20,16,4,9,7,2,2,19.5
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
34,2,3,43,1,1,37,2,3,31,1,3,30,1,3,48,1,2,45,1,1,2,22,16,6,9,7,2,2,25.625
0,0,3,37,1,1,21,1,3,8,1,3,0,0,3,43,1,2,47,1,1,0,10,4,6,5,3,2,2,8
37,1,3,42,1,1,42,1,3,30,1,3,30,1,3,47,1,2,41,1,1,0,16,16,0,7,7,0,1,25.375
33,1,3,37,1,1,42,2,3,30,1,3,27,2,3,42,1,2,44,1,1,2,22,13,9,9,6,3,2,19.33333333
32,2,3,39,1,1,36,2,3,30,1,3,31,3,3,36,1,2,41,1,1,3,28,16,12,11,7,4,2,33.33333333
39,1,3,40,1,1,48,1,3,45,2,3,40,1,3,45,1,2,36,1,1,1,19,16,3,8,7,1,1,33.85714286
0,0,3,39,1,1,26,1,3,0,0,3,0,0,3,35,1,2,35,1,1,0,7,4,3,4,3,1,1,0
0,0,3,37,1,1,18,1,3,3,1,3,0,0,3,35,2,2,43,1,1,1,12,4,8,6,3,3,2,3
31,1,3,42,1,1,48,1,3,31,1,3,35,1,3,41,1,2,41,1,1,0,16,16,0,7,7,0,1,30
41,1,3,43,1,1,43,1,3,47,2,3,30,1,3,47,1,2,41,1,1,1,19,16,3,8,7,1,1,30.875
42,2,3,39,1,1,47,1,3,35,1,3,30,1,3,41,1,2,50,1,1,1,19,16,3,8,7,1,1,39.16666667
44,2,3,37,1,1,38,1,3,45,2,3,43,2,3,42,1,2,31,1,1,3,25,16,9,10,7,3,2,34.42857143
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,19,1,1,0,1,0,1,1,0,1,2,0
31,2,3,38,1,1,30,1,3,45,2,3,31,2,3,32,1,2,36,1,1,3,25,16,9,10,7,3,2,22.125
23,3,3,40,1,1,11,3,3,30,2,3,0,0,3,32,3,2,41,1,1,4,32,7,25,13,4,9,2,15
0,0,3,26,2,1,30,2,3,11,2,3,0,0,3,24,2,2,31,1,1,4,19,4,15,9,2,7,2,5.5
32,1,3,45,1,1,36,2,3,43,1,3,23,1,3,44,1,2,44,1,1,1,19,13,6,8,6,2,1,28.75
0,0,3,43,1,1,31,2,3,20,2,3,0,0,3,44,1,2,36,1,1,2,16,7,9,7,4,3,2,10
30,1,3,42,1,1,30,1,3,45,1,3,40,2,3,39,1,2,47,1,1,1,19,16,3,8,7,1,1,26.125
