NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_DEM,VECES_DEM,CREDITOS_DEM,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_CIR_UNO,VECES_CIR_UNO,CREDITOS_CIR_UNO,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_HCI,VECES_HCI,CREDITOS_HCI,CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,PROMEDIO_TRES
30,1,3,50,1,1,40,1,3,30,1,3,40,2,3,45,1,2,35,1,1,1,19,16,3,8,7,1,1,27.5
30,1,3,40,1,1,30,1,3,35,1,3,40,2,3,40,1,2,35,1,1,1,19,16,3,8,7,1,2,36.66666667
15,1,3,40,1,1,0,0,3,25,2,3,15,1,3,20,2,2,35,1,1,2,18,2,16,8,2,6,2,12.5
30,2,3,45,1,1,45,1,3,40,3,3,40,3,3,40,2,2,45,2,1,5,34,16,18,14,7,7,2,17.5
30,1,3,50,1,1,30,1,3,20,2,3,30,1,3,30,1,2,30,1,1,1,19,13,6,8,6,2,2,10
30,1,3,50,1,1,40,2,3,35,1,3,40,1,3,45,1,2,45,1,1,1,19,16,3,8,7,1,1,27.5
30,1,3,45,1,1,35,1,3,40,2,3,35,1,3,45,1,2,40,1,1,1,19,16,3,8,7,1,1,21.66666667
34,3,3,50,1,1,30,1,3,30,3,3,24,3,3,42,3,2,30,1,1,4,38,13,25,15,6,9,2,12.16666667
30,1,3,50,1,1,50,1,3,30,1,3,30,1,3,50,1,2,50,1,1,0,16,16,0,7,7,0,1,32.85714286
35,1,3,45,1,1,45,1,3,30,1,3,30,2,3,45,1,2,30,1,1,1,19,16,3,8,7,1,1,35.83333333
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,1,3,50,1,1,45,1,3,35,1,3,30,1,3,45,1,2,50,1,1,0,16,16,0,7,7,0,1,35.83333333
35,2,3,45,1,1,40,2,3,35,1,3,30,2,3,35,1,2,35,1,1,3,25,16,9,10,7,3,2,25.625
