NUMERO;PROMEDIO_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_LENGUA_UNO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;NOTA_LOG_UNO;VECES_LOG_UNO;CREDITOS_LOG_UNO;NOTA_GOPERACIONES;VECES_GOPERACIONES;CREDITOS_GOPERACIONES;NOTA_CALIDAD_DOS;VECES_CALIDAD_DOS;CREDITOS_CALIDAD_DOS;NOTA_GAMBIENTAL;VECES_GAMBIENTAL;CREDITOS_GAMBIENTAL;NOTA_LENGUA_DOS;VECES_LENGUA_DOS;CREDITOS_LENGUA_DOS;NOTA_CONTEXTO;VECES_CONTEXTO;CREDITOS_CONTEXTO;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_EI_SIETE;VECES_EI_SIETE;CREDITOS_EI_SIETE;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
999;32.05882352941177;50;38.76470588235294;42.0;37.23529411764706;29.5;39.53333333333333;8;40.0;39.0;42.0;37.0;37.11904761904761;1;18;14;4;7;6;1;1;29.333333333333332;3;2;31.0;1;3;39.0;1;2;0;0;2;40.0;1;2;38.0;1;1;44.0;1;2;42.0;1;2;2;33.5
1001;37.50980392156863;42;35.64705882352941;43.0;40.88235294117647;39.0;42.13333333333333;8;39.0;43.0;42.0;41.0;41.92857142857143;0;14;14;0;7;7;0;1;35.0;1;2;39.0;1;3;44.0;1;2;0;0;2;46.0;1;2;46.0;1;1;43.0;1;2;44.0;1;2;2;37.3125
1002;36.029411764705884;45;37.6764705882353;50.0;40.64705882352941;33.0;43.4;8;46.0;45.0;43.0;38.0;42.714285714285715;0;14;14;0;7;7;0;1;38.0;1;2;45.0;1;3;43.0;1;2;0;0;2;47.0;1;2;41.0;1;1;37.0;1;2;46.0;1;2;2;36.125
1004;32.0;9;31.5;40.0;35.8235294117647;41.0;34.333333333333336;6;42.0;39.0;26.5;31.0;35.642857142857146;0;14;14;0;7;7;0;1;31.0;1;2;32.0;1;3;37.0;1;2;0;0;2;44.0;1;2;41.0;1;1;32.0;1;2;37.0;1;2;2;37.875
1005;33.26470588235294;37;37.411764705882355;44.0;36.44117647058823;40.0;40.53333333333333;8;41.0;36.0;41.0;37.0;38.785714285714285;1;16;14;2;7;6;1;1;28.5;2;2;33.0;1;3;43.0;1;2;0;0;2;42.0;1;2;47.0;1;1;41.0;1;2;44.0;1;2;2;35.5
1007;37.411764705882355;0;37.88235294117647;46.5;40.23529411764706;37.0;42.2;8;44.0;40.0;40.0;45.0;41.714285714285715;0;14;14;0;7;7;0;1;33.0;1;2;39.0;1;3;46.0;1;2;0;0;2;48.0;1;2;39.0;1;1;43.0;1;2;44.0;1;2;2;39.6875
1008;36.05882352941177;50;39.529411764705884;38.0;36.94117647058823;45.0;42.6;8;47.0;40.0;44.0;43.0;39.07142857142857;0;14;14;0;7;7;0;1;34.0;1;2;40.0;1;3;35.0;1;2;0;0;2;38.0;1;2;39.0;1;1;43.0;1;2;44.0;1;2;2;38.625
1010;35.88235294117647;45;37.470588235294116;46.0;38.88235294117647;32.0;39.86666666666667;7;43.0;44.0;43.0;36.0;38.17857142857143;1;17;14;3;7;6;1;1;39.0;1;2;27.5;2;3;42.0;1;2;0;0;2;43.0;1;2;34.0;1;1;46.0;1;2;39.0;1;2;2;36.875
1011;32.23529411764706;46;32.029411764705884;42.0;35.470588235294116;30.0;35.86666666666667;7;29.0;33.0;34.0;39.0;35.92857142857143;1;16;14;2;7;7;0;1;30.0;2;2;30.0;1;3;43.0;1;2;0;0;2;41.0;1;2;33.0;1;1;32.0;1;2;44.0;1;2;2;31.25
1013;33.26470588235294;0;32.68181818181818;0.0;34.45454545454545;30.0;39.857142857142854;4;39.0;0.0;0.0;41.0;27.22222222222222;0;8;8;0;4;3;1;2;30.0;1;2;42.0;1;3;0.0;0;2;0;0;2;0.0;0;2;39.0;1;1;10.0;1;2;0.0;0;2;1;23.833333333333332
1016;38.470588235294116;48;37.94117647058823;46.0;39.94117647058823;39.0;43.46666666666667;8;46.0;47.0;43.0;39.0;41.214285714285715;0;14;14;0;7;7;0;1;42.0;1;2;34.0;1;3;44.0;1;2;0;0;2;46.0;1;2;41.0;1;1;42.0;1;2;43.0;1;2;2;37.875
1017;37.85294117647059;46;36.23529411764706;42.0;39.88235294117647;43.0;37.86666666666667;8;40.0;38.0;39.0;39.0;36.285714285714285;0;14;14;0;7;7;0;1;32.0;1;2;30.0;1;3;40.0;1;2;0;0;2;35.0;1;2;42.0;1;1;44.0;1;2;37.0;1;2;2;36.4375
1021;35.588235294117645;50;38.35294117647059;40.0;36.529411764705884;32.0;39.266666666666666;8;43.0;39.0;41.0;35.0;42.07142857142857;0;14;14;0;7;7;0;1;39.0;1;2;45.0;1;3;42.0;1;2;0;0;2;37.0;1;2;44.0;1;1;37.0;1;2;50.0;1;2;2;37.125
1023;34.5;45;36.1764705882353;45.0;40.294117647058826;47.0;39.46666666666667;8;41.0;36.0;37.0;40.0;39.92857142857143;0;14;14;0;7;7;0;1;36.0;1;2;33.0;1;3;45.0;1;2;0;0;2;42.0;1;2;38.0;1;1;43.0;1;2;45.0;1;2;2;35.09375
1025;36.705882352941174;42;37.294117647058826;41.0;38.294117647058826;44.0;43.06666666666667;8;43.0;43.0;48.0;39.0;38.714285714285715;1;16;14;2;7;6;1;1;23.0;2;2;36.0;1;3;42.0;1;2;0;0;2;46.0;1;2;46.0;1;1;44.0;1;2;39.0;1;2;1;28.733333333333334
1026;34.529411764705884;44;37.705882352941174;48.0;39.88235294117647;43.0;42.93333333333333;8;41.0;47.0;45.0;37.0;44.857142857142854;0;14;14;0;7;7;0;1;40.0;1;2;48.0;1;3;44.0;1;2;0;0;2;45.0;1;2;50.0;1;1;47.0;1;2;41.0;1;2;2;37.875
