NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES
514;20;486.26;66.83;65.0;55.27;58.59;20;24.09090909090909;0;11;0;3;2;1;15.0;35.0;20.0;35.0;0.0;40.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;2
515;20;446.94;70.26;55.56;47.0;54.9;20;37.13333333333333;1;19;4;6;1;5;25.0;35.0;35.0;50.0;50.0;40.0;46.0;39.35294117647059;0;17;17;0;7;7;0;1;40.0;1;3;30.0;1;3;35.0;1;3;45.0;1;2;45.0;1;1;45.0;1;3;42.0;1;2;2
516;20;492.1;70.11;42.59;56.82;58.06;20;37.13333333333333;0;15;0;7;0;5;30.0;40.0;30.0;45.0;45.0;40.0;46.0;38.23529411764706;0;17;17;0;7;7;0;1;40.0;1;3;30.0;1;3;35.0;1;3;35.0;1;2;45.0;1;1;40.0;1;3;50.0;1;2;2
517;10;473.18;67.01;53.43;50.78;61.22;10;27.272727272727273;0;11;0;3;2;1;20.0;35.0;25.0;40.0;0.0;35.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;1
518;20;459.83;73.76;53.11;51.06;50.86;20;37.2;1;19;4;6;1;5;27.5;40.0;35.0;45.0;40.0;40.0;49.0;37.705882352941174;0;17;17;0;7;7;0;1;35.0;1;3;30.0;1;3;35.0;1;3;40.0;1;2;40.0;1;1;45.0;1;3;43.0;1;2;2
519;6;487.46;82.45;50.94;52.77;79.55;15;25.897435897435898;3;29;16;3;3;1;21.666666666666668;25.0;21.666666666666668;45.0;30.0;30.0;0.0;28.466666666666665;2;19;15;4;6;4;2;2;15.5;2;3;30.0;1;3;30.0;1;3;30.0;1;2;23.5;2;1;39.0;1;3;0.0;0;2;1
520;2;467.21;73.76;50.58;53.07;65.1;10;29.318181818181817;1;14;3;4;1;1;30.0;30.0;22.5;45.0;0.0;30.0;0.0;9.681818181818182;4;22;11;11;4;0;4;1;10.0;2;3;9.5;2;3;11.0;2;3;7.5;2;2;0.0;0;1;0.0;0;3;0.0;0;2;1
521;10;441.15;73.76;53.11;44.9;59.64;5;26.12;4;47;32;3;4;1;18.0;27.5;23.6;40.0;15.5;35.0;44.0;22.333333333333332;3;23;11;12;4;1;3;1;0.0;0;3;27.0;2;3;17.0;3;3;14.0;1;2;0.0;0;1;36.0;2;3;0.0;0;2;1
522;9;478.96;77.8;53.11;53.07;94.47;9;41.2;0;15;0;7;0;5;35.0;40.0;40.0;50.0;50.0;40.0;44.0;39.35294117647059;0;17;17;0;7;7;0;1;40.0;1;3;30.0;1;3;40.0;1;3;35.0;1;2;40.0;1;1;45.0;1;3;47.0;1;2;2
523;10;501.5;111.15;60.81;59.08;54.64;10;17.727272727272727;0;11;0;1;4;1;15.0;15.0;15.0;35.0;0.0;25.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;1
