NUMERO;ID;GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;CORTE_INGRESO;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;ESTADO_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;ESTADO DOS;PROMEDIO_TRES;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;ESTADO TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;ESTADO CUATRO;PROMEDIO_CINCO;CAR_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;ESTADO CINCO;PROMEDIO_SEIS;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;ESTADO SEIS;PROMEDIO_SIETE;CAR_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;ESTADO SIETE;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;ESTADO OCHO;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;ESTADO NUEVE;PROMEDIO_DIEZ;CAR_DIEZ;NCC_DIEZ;NCA_DIEZ;NCP_DIEZ;NAC_DIEZ;NAA_DIEZ;NAP_DIEZ;EPA_DIEZ;SEMESTRES_CURSADOS;ESTADO_FINAL;NOTA_DIF;VECES_DIF;CREDITOS_DIF;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEM;VECES_SEM;CREDITOS_SEM;NOTA_HIST;VECES_HIST;CREDITOS_HIST;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_CD&C;VECES_CD&C;CREDITOS_CD&C;NOTA_DITO;VECES_DITO;CREDITOS_DITO;NOTA_PROGB;VECES_PROGB;CREDITOS_PROGB;NOTA_FIS_UNO;VECES_FIS_UNO;CREDITOS_FIS_UNO;NOTA_INT;VECES_INT;CREDITOS_INT;NOTA_EYB;VECES_EYB;CREDITOS_EYB;NOTA_ASES;VECES_ASES;CREDITOS_ASES;NOTA_TOP;VECES_TOP;CREDITOS_TOP;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_POO;VECES_POO;CREDITOS_POO;NOTA_FIS_DOS;VECES_FIS_DOS;CREDITOS_FIS_DOS;NOTA_MULTI;VECES_MULTI;CREDITOS_MULTI;NOTA_ECUA;VECES_ECUA;CREDITOS_ECUA;NOTA_FOTO;VECES_FOTO;CREDITOS_FOTO;NOTA_SUELOS;VECES_SUELOS;CREDITOS_SUELOS;NOTA_L_UNO;VECES_L_UNO;CREDITOS_L_UNO;NOTA_FIS_TRES;VECES_FIS_TRES;CREDITOS_FIS_TRES;NOTA_CCON;VECES_CCON;CREDITOS_CCON;NOTA_PROB;VECES_PROB;CREDITOS_PROB;NOTA_GEOGEO;VECES_GEOGEO;CREDITOS_GEOGEO;NOTA_PRII;VECES_PRII;CREDITOS_PRII;NOTA_GH&F;VECES_GH&F;CREDITOS_GH&F;NOTA_ECO_UNO;VECES_ECO_UNO;CREDITOS_ECO_UNO;NOTA_ME;VECES_ME;CREDITOS_ME;NOTA_EST;VECES_EST;CREDITOS_EST;NOTA_AGEO;VECES_AGEO;CREDITOS_AGEO;NOTA_BD;VECES_BD;CREDITOS_BD;NOTA_CARTO;VECES_CARTO;CREDITOS_CARTO;NOTAS_SISC;VECES_SISC;CREDITOS_SISC;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;NOTA_L_DOS;VECES_L_DOS;CREDITOS_L_DOS;NOTA_HSE;VECES_HSE;CREDITOS_HSE;NOTA_INGECO;VECES_INGECO;CREDITOS_INGECO;NOTA_GEO_FIS;VECES GEO_FIS;CREDITOS_GEO_FIS;NOTA_SIG;VECES_SIG;CREDITOS_SIG;NOTA_LEGIC;VECES_LEGIC;CREDITOS_LEGIC;NOTA_ECO_DOS;VECES_ECO_DOS;CREDITO_ECO_DOS;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;NOTA_GEO_SAL;VECES_GEO_SAL;CREDITOS_GEO_SAL;NOTA_PDI;VECES_PDI;CREDITOS_PDI;NOTA_PROCC;VECES_PROCC;CREDITOS_PROCC;NOTA_AVAP;VECES_AVAP;CREDITOS_AVAP;NOTA_ECONOMET;VECES_ECONOMET;CREDITOS_ECONOMET;NOTA_L_TRES;VECES_L_TRES;CREDITOS_L_TRES;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;NOTA_EI_CUATRO;VECES_EI_CUATRO;CREDITOS_EI_CUATRO;NOTA_FGEP;VECES_FGEP;CREDITOS_FGEP;NOTA_FOTOD;VECES_FOTOD;CREDITOS_FOTOD;NOTA_AVAM;VECES_AVAM;CREDITOS_AVAM;NOTAS_MINV;VECES_MINV;CREDITOS_MINV;NOTA_EI_CINCO;VECES_EI_CINCO;CREDITOS_EI_CINCO;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_ORD_TER;VECES_ORD_TER;CREDITOS_ORD_TER;NOTA_TG_UNO;VECES_TG_UNO;CREDITOS_TG_UNO;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;NOTA_VAL;VECES_VAL;CREDITOS_VAL;NOTA_PLADES;VECES_PLADES;CREDITOS_PLADES;NOTA_TG_DOS;VECES_TG_DOS;CREDITOS_TG_DOS;NAR_TOTAL;NAC_TOTAL;NAA_TOTAL;NAP_TOTAL;NSC_TOTAL;PROMEDIO_TOTAL
419;3,1827E+19;0;1;20;1;42;15;447,34;63,5;63,5;66,93;66,48;59,4;59,4;60,48;0;63,68;44,51;20;6;10;1;2011;1;32,33333333;1;15;15;0;7;7;0;1;1;34,58823529;0;17;17;0;6;6;0;1;1;33,72222222;0;18;18;0;7;7;0;1;1;37,58823529;0;17;17;0;7;7;0;1;1;34,22222222;1;18;18;0;7;7;0;1;1;35,58823529;0;17;17;0;8;8;0;1;1;37,625;0;16;16;0;7;7;0;1;1;32,57142857;0;14;14;0;6;6;0;1;1;36,07692308;0;13;13;0;5;5;0;1;1;43,875;0;11;8;3;4;3;1;1;10;8;30;2;4;40;1;2;30;1;1;35;1;2;30;1;3;35;1;1;30;1;2;38;1;3;30;1;3;32;1;3;33;1;2;36;1;3;38;1;3;31;1;1;37;1;3;31;1;3;30;1;3;30;1;3;36;1;2;40;1;3;41;1;2;35;1;3;44;1;1;30;1;2;38;1;3;40;1;3;38;1;3;32;1;2;36;1;2;45;1;2;34;2;3;30;1;3;36;1;3;30;1;3;44;1;2;33;1;2;45;1;1;32;1;2;30;1;3;34;1;3;41;1;2;34;1;2;46;1;2;46;1;2;34;1;3;30;1;3;45;1;2;31;1;2;37;1;2;42;1;2;30;1;3;30;1;3;33;1;2;32;1;2;31;1;2;;;;34;1;3;33;1;2;34;1;3;43;1;3;35;1;2;0;0;3;33;1;2;45;1;3;50;1;3;2;64;63;1;10;35,81908353
420;3,1827E+19;0;2;11;1;20;5;439,28;69,01;69,01;54,26;63,93;62,21;62,21;60,48;0;69,52;79,4;11;4;10;2;2011;1;34,86666667;2;15;15;0;7;7;0;2;3;32,17647059;0;17;17;0;6;6;0;1;1;30,53333333;3;18;9;9;7;4;3;2;3;35;0;17;2;15;7;1;6;2;3;0;0;0;0;0;0;0;0;0;2;26;0;17;0;17;8;0;8;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;5;34;3;4;35;1;2;35;1;1;40;1;2;34;4;3;40;1;1;30;1;2;30;1;3;31;1;3;34;1;3;32;1;2;33;1;3;33;1;3;36;1;1;0;0;3;26;2;3;18;2;3;34;2;3;37;1;2;38;1;3;35;1;2;0;0;3;0;0;1;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;26;1;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;5;35;18;17;5;15,85764706
421;3,1827E+19;1;2;10;1;20;5;455,19;63,5;63,5;66,68;66,99;56,55;56,55;66,77;0;72,54;58,47;11;4;10;2;2011;1;35;0;15;15;0;7;7;0;1;1;35,52941176;0;17;17;0;6;6;0;1;1;38,44444444;0;18;18;0;7;7;0;1;1;41,41176471;0;17;17;0;7;7;0;1;1;39,83333333;0;18;18;0;7;7;0;1;1;37,82352941;0;17;17;0;8;8;0;1;1;41,4375;0;16;16;0;7;7;0;1;1;40,71428571;0;14;14;0;6;6;0;1;1;42,4;0;13;10;3;5;4;1;1;1;44,63636364;0;11;11;0;4;4;0;1;10;8;30;1;4;40;1;2;35;1;1;40;1;2;30;1;3;40;1;1;40;1;2;39;1;3;43;1;3;30;1;3;35;1;2;35;1;3;31;1;3;35;1;1;40;1;3;40;1;3;34;1;3;37;1;3;36;1;2;44;1;3;43;1;2;37;1;3;45;1;1;42;1;2;39;1;3;45;1;3;42;1;3;42;1;2;45;1;2;42;1;2;41;1;3;37;1;3;37;1;3;38;1;3;42;1;2;41;1;2;44;1;1;30;1;2;32;1;3;39;1;3;37;1;2;43;1;2;42;1;2;42;1;2;48;1;3;33;1;3;49;1;2;35;1;2;42;1;2;43;1;2;38;1;3;44;1;3;40;1;2;42;1;2;37;1;2;;;;42;1;3;43;1;2;0;0;3;46;1;3;37;1;2;46;1;3;40;1;2;46;1;3;45;1;3;0;64;63;1;10;39,7230633
422;3,1827E+19;1;2;1;1;20;5;435,33;60,51;60,51;60,76;61,43;62,11;62,11;63,2;0;62,46;61,66;11;4;10;3;2011;1;33,53333333;2;15;15;0;7;7;0;2;3;34,29411765;2;17;17;0;6;6;0;2;3;33,38888889;2;18;18;0;7;7;0;1;1;37,70588235;2;17;17;0;7;7;0;1;1;34,05555556;1;18;18;0;7;7;0;1;1;40,52941176;1;17;17;0;8;8;0;2;3;37,0625;0;16;16;0;7;7;0;1;1;35,85714286;0;14;14;0;6;6;0;1;1;40,25;0;13;8;5;5;3;2;1;1;44;1;11;8;3;4;3;1;1;10;2;30;4;4;35;1;2;30;1;1;40;1;2;36;4;3;35;1;1;30;1;2;37;2;3;38;1;3;33;3;3;35;1;2;33;1;3;30;1;3;39;2;1;37;1;3;34;1;3;30;2;3;34;1;3;32;1;2;31;1;3;41;1;2;34;1;3;43;1;1;33;2;2;36;1;3;37;2;3;43;1;3;30;2;2;34;1;2;46;1;2;31;1;3;32;1;3;38;1;3;30;1;3;48;1;2;39;1;2;44;1;1;46;1;2;42;3;3;33;1;3;39;1;2;38;1;2;45;1;2;30;1;2;32;1;3;33;1;3;50;1;2;38;1;2;36;1;2;33;1;2;39;1;3;37;1;3;32;1;2;35;1;2;37;1;2;;;;39;1;3;0;0;2;0;0;3;35;1;3;50;1;2;0;0;3;38;2;2;42;1;3;50;1;3;11;64;61;3;10;37,06768324
423;3,1827E+19;1;1;10;1;20;5;475,05;71,35;71,35;75,93;72,45;77,1;77,1;53,19;0;62,46;61,66;10;3;10;3;2011;1;39;0;15;15;0;7;7;0;1;1;38,88235294;0;17;17;0;6;6;0;1;1;40,88888889;0;18;18;0;7;7;0;1;1;40,17647059;0;17;17;0;7;7;0;1;1;42,16666667;0;18;18;0;7;7;0;1;1;42,94117647;0;17;17;0;8;8;0;1;1;42,875;0;16;16;0;7;7;0;1;1;41,28571429;0;14;14;0;6;6;0;1;1;41,9;0;13;10;3;5;4;1;1;1;41,63636364;0;11;11;0;4;4;0;1;10;8;40;1;4;45;1;2;35;1;1;40;1;2;35;1;3;45;1;1;35;1;2;49;1;3;46;1;3;34;1;3;38;1;2;35;1;3;31;1;3;41;1;1;43;1;3;39;1;3;38;1;3;41;1;3;37;1;2;46;1;3;46;1;2;40;1;3;47;1;1;44;1;2;41;1;3;37;1;3;34;1;3;49;1;2;42;1;2;41;1;2;41;1;3;41;1;3;44;1;3;39;1;3;47;1;2;45;1;2;46;1;1;48;1;2;42;1;3;40;1;3;36;1;2;43;1;2;47;1;2;45;1;2;48;1;3;40;1;3;40;1;2;43;1;2;36;1;2;42;1;2;49;1;3;37;1;3;36;1;2;38;1;2;44;1;2;;;;34;1;3;37;1;2;0;0;3;49;1;3;48;1;2;44;1;3;34;1;2;42;1;3;44;1;3;0;64;63;1;10;41,17526335
424;3,1827E+19;0;0;20;0;0;0;422,18;66,17;66,17;63,86;54,1;65,03;65,03;52,34;0;60,81;69,93;20;6;10;3;2011;1;33,46666667;1;15;15;0;7;7;0;1;1;33,70588235;2;17;17;0;6;6;0;2;3;32,27777778;1;18;18;0;7;7;0;1;1;34,76470588;0;17;17;0;7;7;0;1;1;32,05555556;2;18;18;0;7;7;0;2;3;34,35294118;2;17;17;0;8;8;0;2;3;34,5;2;16;16;0;7;7;0;2;3;31,64285714;2;14;11;3;6;5;1;2;3;37,23076923;0;13;13;0;5;5;0;1;1;42,27272727;1;11;11;0;4;4;0;2;10;6;38;2;4;30;1;2;40;1;1;30;1;2;30;1;3;40;1;1;30;1;2;30;1;3;31;3;3;32;3;3;45;1;2;30;1;3;38;1;3;37;1;1;31;1;3;30;1;3;33;2;3;30;1;3;35;1;2;34;1;3;40;1;2;30;1;3;35;1;1;37;1;2;34;1;3;40;1;3;30;1;3;35;1;2;30;3;2;30;1;2;30;1;3;30;3;3;31;1;3;38;1;3;41;1;2;34;1;2;44;1;1;33;1;2;30;2;3;30;3;3;39;1;2;33;1;2;42;1;2;37;1;2;38;1;3;30;3;3;33;1;2;32;1;2;30;2;2;32;1;2;7;1;3;46;2;3;39;1;2;37;4;2;34;1;2;;;;30;1;3;30;1;2;38;1;3;40;1;3;50;1;2;47;1;3;30;3;2;38;1;3;50;1;3;13;64;63;1;10;34,62698831
425;3,1827E+19;0;1;8;1;20;5;456,16;60,91;60,91;60,76;63,93;65,03;65,03;60,48;0;75,71;57,29;8;3;10;3;2011;1;30;3;15;11;4;7;6;1;2;3;32,36363636;1;17;8;9;6;3;3;2;3;19;1;18;0;18;7;0;7;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;5;25;4;4;30;1;2;30;1;1;30;2;2;30;3;3;40;1;1;35;1;2;26;2;3;0;0;3;0;0;3;43;1;2;32;1;3;32;1;3;19;2;1;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;1;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;3;0;0;3;0;0;3;0;1;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;5;20;9;11;3;8,136363636
426;3,1827E+19;0;2;20;1;72;15;434,44;58,05;58,05;75,93;66,99;56,41;56,41;55,92;0;53,93;59,21;20;6;10;2;2011;1;28;3;15;6;9;7;4;3;2;3;1;0;17;0;17;6;0;6;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;5;15;2;4;40;1;2;40;1;1;40;1;2;25;2;3;45;1;1;20;2;2;0;0;3;0;0;3;0;0;3;0;0;2;1;1;3;0;0;3;0;0;1;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;3;13;4;9;2;2,9
427;3,1827E+19;0;1;14;1;20;5;441,74;75,41;75,41;57,57;66,48;62,21;62,21;75,16;0;51,89;68,41;10;3;10;3;2011;1;35,4;1;15;15;0;7;7;0;1;1;35,76470588;0;17;17;0;6;6;0;1;1;32,94444444;1;18;18;0;7;7;0;1;1;39,70588235;0;17;17;0;7;7;0;1;1;37;1;18;18;0;7;7;0;1;1;37,52941176;0;17;17;0;8;8;0;1;1;37,8125;0;16;16;0;7;7;0;1;1;42,14285714;0;14;14;0;6;6;0;1;1;38,4;0;13;10;3;5;4;1;1;1;39,81818182;0;11;11;0;4;4;0;1;10;8;30;1;4;40;1;2;35;1;1;45;1;2;32;2;3;40;1;1;35;1;2;42;1;3;37;1;3;32;1;3;40;1;2;33;1;3;32;1;3;35;1;1;37;1;3;32;1;3;31;1;3;33;1;3;33;2;2;31;1;3;47;1;2;37;1;3;45;1;1;49;1;2;39;1;3;35;1;3;35;1;3;38;1;2;43;1;2;48;1;2;30;1;3;37;2;3;39;1;3;30;1;3;49;1;2;41;1;2;40;1;1;38;1;2;30;1;3;36;1;3;36;1;2;36;1;2;46;1;2;30;1;2;31;1;3;34;1;3;47;1;2;39;1;2;43;1;2;42;1;2;38;1;3;44;1;3;44;1;2;38;1;2;48;1;2;;;;30;1;3;38;1;2;0;0;3;44;1;3;43;1;2;45;1;3;33;1;2;34;1;3;45;1;3;3;64;63;1;10;37,65179834
428;3,1827E+19;1;2;15;1;20;5;448,01;58,38;58,38;57,4;64,44;70,87;70,87;66,77;0;60,81;82,38;6;3;10;2;2011;1;33,53333333;2;15;15;0;7;7;0;1;1;32,88235294;3;17;14;3;6;5;1;2;3;36,11111111;0;18;9;9;7;4;3;2;3;32,5;1;17;3;14;7;1;6;2;3;27,2;1;18;2;16;7;1;6;2;3;13;1;17;0;17;8;0;8;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;5;30;2;4;35;1;2;30;1;1;40;1;2;30;1;3;35;1;1;39;2;2;37;1;3;20;4;3;30;2;3;35;1;2;44;2;3;32;1;3;40;1;1;41;1;3;0;0;3;0;0;3;0;0;3;30;1;2;34;1;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;3;17;2;3;48;1;3;32;1;2;0;0;2;0;0;2;0;0;3;24;3;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;13;2;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;8;42;18;24;6;17,52267974
429;3,1827E+19;0;2;9;1;20;5;442,63;72,05;72,05;69,72;52,07;67,92;67,92;53,19;0;60,81;75,52;9;3;10;3;2011;1;31,13333333;5;15;13;2;7;6;1;2;3;23,5;0;17;5;12;6;2;4;2;3;19;0;18;0;18;7;0;7;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;5;30;3;4;28;4;2;30;1;1;36;4;2;30;2;3;35;1;1;32;2;2;0;0;3;0;0;3;1;1;3;34;1;2;0;0;3;39;1;3;19;1;1;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;5;20;8;12;3;7,363333333
430;3,1827E+19;0;1;11;1;20;5;442,07;60,91;60,91;63,65;59,52;65,03;65,03;61,28;0;69,52;55,62;11;4;10;2;2011;1;33,86666667;2;15;11;4;7;6;1;2;3;32,09090909;1;17;8;9;6;3;3;2;3;30,16666667;1;18;3;15;7;2;5;2;3;39;0;17;3;14;7;1;6;2;3;18;0;18;0;18;7;0;7;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;5;27;5;4;40;1;2;40;1;1;40;1;2;30;5;3;40;1;1;35;1;2;26;1;3;0;0;3;0;0;3;37;1;2;35;2;3;32;1;3;34;2;1;0;0;3;0;0;3;0;0;3;0;0;3;30;1;2;29;1;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;3;39;1;3;0;0;3;18;1;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;4;34;12;22;5;15,31242424
431;3,1827E+19;1;1;11;1;20;5;417,38;69,01;69,01;60,76;54,1;62,21;62,21;60,48;0;48,66;47,15;11;4;10;2;2011;1;34;2;15;15;0;7;7;0;1;1;19,58823529;0;17;5;12;6;2;4;2;3;30;0;18;3;15;7;1;6;2;3;35;0;17;2;15;7;1;6;2;3;0;0;0;0;0;0;0;0;0;2;33;0;17;2;15;8;1;7;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;39;0;13;2;11;5;1;4;2;3;0;0;0;0;0;0;0;0;0;6;7;30;2;4;40;1;2;35;1;1;45;1;2;30;1;3;35;1;1;30;2;2;15;1;3;5;1;3;14;1;3;36;1;2;35;1;3;18;1;3;0;0;1;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;30;1;3;35;1;2;0;0;3;0;0;1;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;33;1;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;39;1;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;2;40;13;27;6;19,05882353
432;3,1827E+19;0;1;10;1;20;5;425,16;75,41;75,41;57,4;72,45;50,6;50,6;47,48;0;54,95;69,93;11;4;10;2;2011;1;35,86666667;3;15;15;0;7;7;0;2;3;25,05882353;2;17;11;6;6;4;2;2;3;30;2;18;5;13;7;2;5;2;3;0;0;0;0;0;0;0;0;0;2;14;0;18;0;18;7;0;7;2;3;48;0;17;2;15;8;1;7;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;5;34;3;4;40;1;2;35;1;1;40;1;2;33;3;3;30;1;1;39;2;2;30;2;3;5;1;3;23;1;3;30;1;2;32;3;3;32;1;3;20;2;1;0;0;3;0;0;3;0;0;3;0;0;3;35;2;2;30;1;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;3;0;0;3;0;0;3;14;1;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;48;1;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;7;35;14;21;5;15,29254902
433;3,1827E+19;0;1;10;1;20;5;434,85;60,51;60,51;60,57;57,08;73,83;73,83;53,19;0;62,46;58,47;10;3;10;2;2011;1;34;2;15;15;0;7;7;0;1;1;35,17647059;4;17;17;0;6;6;0;2;3;33,27777778;3;18;18;0;7;7;0;2;3;36,94117647;1;17;17;0;7;7;0;1;1;32,83333333;2;18;18;0;7;7;0;2;3;35,05882353;0;17;17;0;8;8;0;1;1;39,9375;0;16;16;0;7;7;0;1;1;34,42857143;0;14;14;0;6;6;0;1;1;35,1;0;13;10;3;5;4;1;1;1;38,72727273;2;11;11;0;4;4;0;2;10;6;30;2;4;40;1;2;30;1;1;45;1;2;30;2;3;30;1;1;35;1;2;36;3;3;41;2;3;30;2;3;35;1;2;36;2;3;33;1;3;35;1;1;33;1;3;34;1;3;33;3;3;34;2;3;30;2;2;34;1;3;41;1;2;31;1;3;48;1;1;33;2;2;33;1;3;38;1;3;42;1;3;30;1;2;30;3;2;30;1;2;30;1;3;31;2;3;39;1;3;37;1;3;35;1;2;40;1;2;36;1;1;30;1;2;31;1;3;39;1;3;36;1;2;34;1;2;47;1;2;42;1;2;43;1;3;34;1;3;40;1;2;35;1;2;40;1;2;32;1;2;30;1;3;34;1;3;38;1;2;34;1;2;41;1;2;;;;30;1;3;30;1;2;0;0;3;39;1;3;42;1;2;40;1;3;30;3;2;40;2;3;42;1;3;14;64;63;1;10;35,54809259
