NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_TERMODINAMICA;NOTA_ECONOMIA_UNO;NOTA_ECUACIONES;NOTA_ESTADISTICA_DOS;NOTA_FISICA_DOS;NOTA_MECANICA;NOTA_PROCESOSQ;NOTA_EE_CUATRO;PROMEDIO_CINCO;CAR_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;NOTA_METODOLOGIA;VECES_METODOLOGIA;CREDITOS_METODOLOGIAS;NOTA_FISICA_TRES;VECES_FISICA_TRES;CREDITOS_FISICA_TRES;NOTA_CONTABILIDAD;VECES_CONTABILIDAD;CREDITOS_CONTABILIDAD;NOTA_PROCESOSM;VECES_PROCESOSM;CREDITOS_PROCESOSM;NOTA_ADMINISTRACION;VECES_ADMINISTRACION;CREDITOS_ADMINISTRACION;NOTA_LENGUA_UNO;VECES_LENGUA_UNO;CREDITOS_LENGUA_UNO;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;RENDIMIENTO_SEIS
568;34.733333333333334;43.0;35.64705882352941;30.0;30.0;30.0;34.0;27.925925925925927;4;29.0;30.0;30.0;32.0;31.0;30.0;30.0;37.0;1;32.46666666666667;0;15;15;0;7;7;0;1;31.0;1;1;30.0;1;3;40.0;1;2;32.0;1;3;32.0;1;2;0.0;0;2;30.0;1;2;33.0;1;2;2
569;35.266666666666666;45.0;37.3235294117647;45.0;27.5;30.0;37.0;36.05555555555556;6;32.0;32.0;32.0;31.0;48.0;37.0;30.0;40.0;0;37.0;0;17;17;0;8;8;0;1;41.0;1;1;30.0;1;3;35.0;1;2;30.0;1;3;42.0;1;2;45.0;1;2;40.0;1;2;42.0;1;2;2
570;38.2;49.0;38.294117647058826;30.0;35.0;31.5;46.0;39.0;7;38.0;36.0;42.0;35.0;47.0;39.0;36.0;31.0;43;40.11764705882353;0;17;17;0;8;8;0;1;35.0;1;1;42.0;1;3;38.0;1;2;33.0;1;3;42.0;1;2;46.0;1;2;41.0;1;2;44.0;1;2;3
571;32.53846153846154;0.0;31.666666666666668;35.0;25.0;30.0;0.0;31.964285714285715;4;33.0;26.5;30.0;26.5;0.0;30.0;31.0;42.0;0;24.928571428571427;2;18;15;3;6;4;2;2;33.0;2;1;43.0;1;3;10.0;2;2;1.0;1;3;0.0;1;2;41.0;1;2;41.0;1;2;0.0;0;2;1
572;33.93333333333333;30.0;36.8235294117647;35.0;38.0;30.0;42.0;36.611111111111114;7;35.0;34.0;43.0;29.0;45.0;31.0;38.0;40.0;42;38.470588235294116;2;20;17;3;8;6;2;1;29.0;2;1;39.0;1;3;28.0;2;2;30.0;1;3;42.0;1;2;50.0;1;2;46.0;1;2;43.0;1;2;2
573;27.25;30.0;24.466666666666665;14.666666666666666;30.0;26.5;0.0;32.0;2;0.0;0.0;41.0;0.0;0.0;0.0;0.0;0.0;0;24.25;1;12;9;3;4;1;3;2;0.0;0;1;25.5;2;3;24.0;1;2;0.0;0;3;30.0;1;2;29.0;1;2;0.0;0;2;0.0;0;2;1
574;36.4;43.0;34.411764705882355;30.0;32.0;34.0;33.0;35.861111111111114;6;34.0;40.0;41.0;39.0;40.0;34.0;32.0;30.0;44;36.94117647058823;1;20;17;3;8;8;0;1;39.0;1;1;35.0;1;3;34.0;1;2;30.0;2;3;38.0;1;2;40.0;1;2;43.0;1;2;42.0;1;2;2
575;38.266666666666666;47.0;33.705882352941174;30.0;35.0;27.5;44.0;30.77777777777778;6;30.0;28.0;32.0;39.0;20.0;35.0;30.0;36.0;50;36.588235294117645;0;17;17;0;8;8;0;1;35.0;1;1;31.0;1;3;30.0;1;2;42.0;1;3;41.0;1;2;36.0;1;2;30.0;1;2;47.0;1;2;2
578;37.0;41.0;39.05882352941177;40.0;40.0;30.0;42.0;39.166666666666664;7;45.0;39.0;39.0;41.0;33.0;34.0;31.0;33.0;49;39.11764705882353;0;17;17;0;8;8;0;1;30.0;1;1;43.0;1;3;44.0;1;2;30.0;1;3;44.0;1;2;45.0;1;2;38.0;1;2;37.0;1;2;2
580;36.53333333333333;44.0;38.705882352941174;45.0;33.0;31.0;41.0;35.22222222222222;6;28.0;35.0;30.0;37.0;40.0;34.0;30.0;42.0;50;35.705882352941174;1;20;17;3;8;8;0;1;36.0;1;1;31.0;2;3;46.0;1;2;30.0;1;3;41.0;1;2;30.0;1;2;36.0;1;2;41.0;1;2;2
581;28.057692307692307;0.0;31.022222222222222;35.0;23.666666666666668;23.666666666666668;0.0;31.0;4;31.5;0.0;35.0;0.0;0.0;0.0;0.0;33.0;0;31.214285714285715;2;22;14;8;6;4;2;1;0.0;0;1;24.0;3;3;32.0;1;2;34.0;1;3;22.5;2;2;0.0;0;2;38.0;1;2;39.0;1;2;1
582;29.5;0.0;20.333333333333332;30.0;5.0;13.0;0.0;29.5;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;28.6;1;8;6;2;2;2;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;2;41.5;2;2;30.0;1;2;0.0;1;2;1
583;38.0;40.0;39.88235294117647;45.0;38.0;34.0;36.0;34.888888888888886;7;32.0;35.0;31.0;36.0;36.5;37.0;39.0;32.0;46;37.411764705882355;0;17;17;0;8;8;0;1;42.0;1;1;31.0;1;3;35.0;1;2;33.0;1;3;37.0;1;2;40.0;1;2;45.0;1;2;44.0;1;2;2
584;34.13333333333333;31.0;40.588235294117645;45.0;37.0;35.0;47.0;39.27777777777778;7;38.0;36.0;45.0;33.0;35.0;36.0;40.0;37.0;50;38.8235294117647;0;17;17;0;8;8;0;1;30.0;1;1;30.0;1;3;39.0;1;2;42.0;1;3;43.0;1;2;47.0;1;2;43.0;1;2;35.0;1;2;3
585;36.666666666666664;45.0;36.529411764705884;30.0;36.0;31.5;46.0;36.69444444444444;7;31.5;31.0;42.0;43.0;46.0;36.0;33.0;35.5;44;37.0;1;20;17;3;8;8;0;1;39.0;1;1;39.0;1;3;39.0;1;2;31.0;2;3;33.0;1;2;42.0;1;2;32.0;1;2;44.0;1;2;2
587;35.56666666666667;48.0;36.64705882352941;30.0;33.0;36.0;49.0;38.888888888888886;7;35.0;36.0;41.0;33.5;32.0;33.0;30.0;46.0;50;39.14705882352941;1;20;17;3;8;7;1;1;31.0;1;1;29.5;2;3;39.0;1;2;38.0;1;3;43.0;1;2;47.0;1;2;43.0;1;2;44.0;1;2;2
588;33.53333333333333;44.0;36.38235294117647;35.0;30.0;35.0;38.0;38.611111111111114;7;32.0;34.0;38.0;30.0;32.0;40.0;35.0;33.0;41;38.0;0;17;17;0;8;8;0;1;35.0;1;1;40.0;1;3;39.0;1;2;31.0;1;3;39.0;1;2;43.0;1;2;43.0;1;2;35.0;1;2;2
589;32.7;34.0;34.05882352941177;30.0;37.0;34.0;30.0;34.888888888888886;6;25.0;33.0;39.0;31.5;30.0;32.0;23.5;42.0;0;35.35294117647059;2;21;17;4;8;7;1;1;35.0;1;1;39.0;1;3;25.5;2;2;32.0;1;3;33.0;1;2;45.0;2;2;35.0;1;2;38.0;1;2;2
590;35.2;44.0;36.05882352941177;35.0;32.0;35.0;40.0;34.294117647058826;6;36.0;36.0;39.0;40.0;42.0;30.0;30.0;32.0;0;38.411764705882355;1;19;17;2;8;8;0;1;38.0;1;1;33.0;1;3;39.0;1;2;41.0;1;3;39.0;1;2;45.5;2;2;38.0;1;2;35.0;1;2;3
591;31.266666666666666;32.0;33.794117647058826;31.0;22.5;40.0;45.0;31.805555555555557;5;27.5;29.0;37.0;32.0;32.0;30.0;25.333333333333332;42.0;0;36.94117647058823;1;23;17;6;8;7;1;1;42.0;1;1;27.666666666666668;3;3;38.0;1;2;33.0;1;3;38.0;1;2;45.0;1;2;37.0;1;2;44.0;1;2;2
