NUMERO;PROMEDIO_CINCO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NOTA_GRAFOS;PROMEDIO_OCHO;NCC_OCHO;NOTA_LOG_UNO;NOTA_CALIDAD_DOS;NOTA_LENGUA_DOS;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_LOG_DOS;VECES_LOG_DOS;CREDITOS_LOG_DOS;NOTA_DECISION;VECES_DECISION;CREDITOS_DECISION;NOTA_PRODUCCION;VECES_PRODUCCION;CREDITOS_PRODUCCION;NOTA_FINANZAS;VECES_FINANZAS;CREDITOS_FINANZAS;NOTA_GIT;VECES_GIT;CREDITOS_GIT;NOTA_GTH;VECES_GTH;CREDITOS_GTH;NOTA_HISTORIA;VECES_HISTORIA;CREDITOS_HISTORIA;RENDIMIENTO_DIEZ
2;34.0625;30.375;40.0;30.5;41.0;27.0;19;28.5;29.0;0.0;31.714285714285715;1;15;13;2;6;6;0;1;0.0;0;1;31.0;1;2;32.0;2;2;32.0;1;3;30.0;1;2;40.0;1;2;41.0;1;2;0.0;0;2;2
5;30.416666666666668;33.25;40.0;33.2;46.0;34.2;9;40.0;33.0;0.0;33.0;1;15;13;2;6;6;0;1;0.0;0;1;32.0;1;2;40.0;1;2;38.0;1;3;31.0;2;2;31.0;1;2;40.0;1;2;0.0;0;2;2
6;38.333333333333336;36.0625;40.0;35.5;50.0;36.6;9;45.0;39.0;0.0;36.142857142857146;0;13;13;0;6;6;0;1;0.0;0;1;34.0;1;2;42.0;1;2;40.0;1;3;35.0;1;2;37.0;1;2;45.0;1;2;0.0;0;2;2
9;32.857142857142854;34.0;30.0;36.1;45.0;34.583333333333336;11;40.0;38.0;40.0;37.142857142857146;2;17;13;4;6;5;1;1;0.0;0;1;34.5;2;2;42.0;1;2;44.0;1;3;27.5;2;2;45.0;1;2;45.0;1;2;0.0;0;2;2
10;30.625;32.5;30.0;35.5;40.0;34.8;9;32.0;42.0;0.0;33.57142857142857;2;19;13;6;6;5;1;1;0.0;0;1;31.0;1;2;26.0;3;2;46.0;1;3;30.0;2;2;40.0;1;2;39.0;1;2;0.0;0;2;2
11;32.2;33.16666666666667;21.666666666666668;33.9;37.0;31.6;9;38.0;41.0;0.0;32.57142857142857;1;15;13;2;6;5;1;1;0.0;0;1;31.0;1;2;28.5;2;2;37.0;1;3;31.0;1;2;40.0;1;2;42.0;1;2;0.0;0;2;1
12;31.642857142857142;33.0625;30.0;34.9;49.0;27.9;11;28.5;30.0;0.0;32.333333333333336;1;17;13;4;6;5;1;1;0.0;0;1;32.0;1;2;31.0;1;2;42.0;1;3;23.333333333333332;3;2;38.0;1;2;39.0;1;2;0.0;0;2;2
15;40.42857142857143;39.5;40.0;39.0;40.0;41.5;11;45.0;47.0;46.0;37.42857142857143;0;13;13;0;6;6;0;1;0.0;0;1;39.0;1;2;40.0;1;2;40.0;1;3;35.0;1;2;39.0;1;2;49.0;1;2;0.0;0;2;2
16;38.05882352941177;36.64705882352941;30.0;35.4;40.0;31.444444444444446;18;25.666666666666668;41.0;39.0;35.357142857142854;1;15;13;2;6;5;1;1;0.0;0;1;38.0;1;2;23.0;2;2;47.0;1;3;30.0;1;2;43.0;1;2;43.0;1;2;0.0;0;2;2
18;32.4;30.625;30.0;35.0;49.0;30.7;12;34.0;31.0;0.0;33.57142857142857;0;13;13;0;6;6;0;1;0.0;0;1;33.0;1;2;31.0;1;2;42.0;1;3;30.0;1;2;38.0;1;2;40.0;1;2;0.0;0;2;2
20;34.0;34.375;40.0;36.4;40.0;37.4;9;39.0;42.0;0.0;36.42857142857143;0;13;13;0;6;6;0;1;0.0;0;1;38.0;1;2;32.0;1;2;40.0;1;3;35.0;1;2;45.0;1;2;45.0;1;2;0.0;0;2;2
21;31.785714285714285;30.5;30.0;33.4;36.0;30.9;11;23.5;32.0;0.0;35.142857142857146;0;13;13;0;6;6;0;1;0.0;0;1;40.0;1;2;36.0;1;2;40.0;1;3;30.0;1;2;40.0;1;2;40.0;1;2;0.0;0;2;2
23;34.583333333333336;33.875;35.0;33.0;35.0;37.0;9;35.0;38.0;0.0;36.785714285714285;1;15;13;2;6;6;0;1;0.0;0;1;42.0;1;2;31.5;2;2;46.0;1;3;30.0;1;2;40.0;1;2;45.0;1;2;0.0;0;2;2
24;30.208333333333332;25.866666666666667;35.0;27.875;0.0;12.4;6;17.0;14.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;0.0;1;2;0.0;0;2;1
26;30.416666666666668;30.84375;26.25;32.5;41.0;27.8;19;21.0;40.0;0.0;33.857142857142854;0;13;13;0;6;6;0;1;0.0;0;1;35.0;1;2;41.0;1;2;36.0;1;3;30.0;1;2;37.0;1;2;40.0;1;2;0.0;0;2;2
27;32.5;31.0;35.0;29.6;33.0;31.5;9;32.0;30.0;0.0;30.0;1;15;13;2;6;5;1;1;0.0;0;1;32.0;1;2;26.5;2;2;33.0;1;3;35.0;1;2;32.0;1;2;35.0;1;2;0.0;0;2;2
28;33.642857142857146;34.375;45.0;35.8;45.0;38.916666666666664;11;45.0;38.0;41.0;34.642857142857146;1;15;13;2;6;6;0;1;0.0;0;1;36.0;1;2;35.0;2;2;39.0;1;3;30.0;1;2;43.0;1;2;40.0;1;2;0.0;0;2;2
30;37.07142857142857;33.8125;40.0;29.4;27.0;29.4;9;30.0;31.0;0.0;34.42857142857143;2;19;13;6;6;4;2;1;0.0;0;1;41.0;1;2;27.0;2;2;46.0;1;3;25.0;3;2;43.0;1;2;36.0;1;2;0.0;0;2;2
31;37.714285714285715;33.71875;35.0;36.8;38.0;34.5;11;37.0;37.0;44.0;32.785714285714285;1;15;13;2;6;5;1;1;0.0;0;1;37.0;1;2;27.5;2;2;36.0;1;3;30.0;1;2;33.0;1;2;48.0;1;2;0.0;0;2;2
32;31.714285714285715;32.3125;27.5;31.3;31.0;32.666666666666664;11;30.0;37.0;44.0;33.5;1;17;13;4;6;5;1;1;0.0;0;1;39.0;1;2;40.0;1;2;35.0;1;3;25.0;3;2;38.0;1;2;40.0;1;2;0.0;0;2;2
34;26.5;28.875;27.5;32.0;40.0;22.625;17;28.0;26.5;0.0;28.969696969696965;1;14;10;4;5;4;1;2;0.0;0;1;18.333333333333332;3;2;30.0;1;2;0.0;0;3;35.0;1;2;37.0;1;2;39.0;1;2;0.0;0;2;1
35;30.813333333333333;29.25;35.0;32.0;27.0;31.4;11;17.0;42.0;0.0;30.071428571428573;2;19;13;6;6;4;2;1;0.0;0;1;44.0;1;2;31.0;1;2;37.0;1;3;20.0;3;2;22.0;2;2;38.0;1;2;0.0;0;2;2
38;31.25;33.5625;40.0;33.9;35.0;29.5;17;22.5;37.0;0.0;32.57142857142857;1;17;13;4;6;5;1;1;0.0;0;1;31.0;1;2;28.0;3;2;38.0;1;3;30.0;1;2;42.0;1;2;40.0;1;2;0.0;0;2;2
39;36.285714285714285;35.0625;35.0;37.4;41.0;34.6;9;45.0;43.0;0.0;36.07142857142857;0;13;13;0;6;6;0;1;0.0;0;1;38.0;1;2;34.0;1;2;41.0;1;3;30.0;1;2;42.0;1;2;47.0;1;2;0.0;0;2;3
40;34.8125;33.59375;40.0;34.6;36.0;28.7;12;31.0;32.0;0.0;33.57142857142857;1;15;13;2;6;5;1;1;0.0;0;1;36.0;1;2;38.0;1;2;32.0;1;3;28.0;2;2;39.0;1;2;46.0;1;2;0.0;0;2;2
41;32.8;30.15625;35.0;28.4;32.5;33.1;9;35.0;38.0;0.0;35.857142857142854;0;13;13;0;6;6;0;1;0.0;0;1;37.0;1;2;32.0;1;2;46.0;1;3;30.0;1;2;43.0;1;2;40.0;1;2;0.0;0;2;2
44;36.166666666666664;31.1875;30.0;34.1;41.0;32.6;11;32.0;32.5;0.0;33.714285714285715;1;15;13;2;6;5;1;1;0.0;0;1;39.0;1;2;31.0;1;2;42.0;1;3;29.0;2;2;32.0;1;2;42.0;1;2;0.0;0;2;2
45;31.071428571428573;34.9375;35.0;36.0;35.0;32.333333333333336;11;30.0;39.0;40.0;35.42857142857143;2;17;13;4;6;4;2;1;0.0;0;1;28.0;2;2;40.0;1;2;41.0;1;3;28.5;2;2;45.0;1;2;45.0;1;2;0.0;0;2;2
46;35.5;33.5;40.0;34.0;45.0;36.8;9;45.0;44.0;0.0;36.42857142857143;0;13;13;0;6;6;0;1;0.0;0;1;31.0;1;2;40.0;1;2;42.0;1;3;30.0;1;2;46.0;1;2;45.0;1;2;0.0;0;2;2
52;32.59375;31.3125;30.0;36.6;43.0;32.625;14;38.0;35.0;39.0;33.857142857142854;1;15;13;2;6;6;0;1;0.0;0;1;37.0;1;2;31.0;1;2;38.0;1;3;32.0;2;2;39.0;1;2;41.0;1;2;0.0;0;2;2
53;32.5;36.25;45.0;37.9;50.0;34.4;9;40.0;41.0;0.0;36.785714285714285;0;13;13;0;6;6;0;1;0.0;0;1;34.0;1;2;31.0;1;2;43.0;1;3;40.0;1;2;43.0;1;2;45.0;1;2;0.0;0;2;2
54;28.928571428571427;30.875;22.5;33.5;34.0;27.1;15;35.0;30.0;0.0;30.785714285714285;2;21;13;8;6;4;2;1;0.0;0;1;35.0;1;2;25.0;2;2;36.0;1;3;24.5;4;2;39.0;1;2;38.0;1;2;0.0;0;2;1
55;33.857142857142854;31.1875;40.0;35.3;35.0;31.3;9;37.0;32.0;0.0;36.214285714285715;1;17;13;4;6;5;1;1;0.0;0;1;42.0;1;2;42.0;1;2;45.0;1;3;23.0;3;2;39.0;1;2;40.0;1;2;0.0;0;2;2
56;32.57142857142857;32.59375;30.0;33.8;35.0;30.3;9;34.0;31.0;0.0;34.642857142857146;0;13;13;0;6;6;0;1;0.0;0;1;43.0;1;2;38.0;1;2;31.0;1;3;30.0;1;2;46.0;1;2;39.0;1;2;0.0;0;2;2
57;34.42857142857143;34.3125;35.0;39.1;45.0;34.0;9;35.0;43.0;0.0;36.42857142857143;0;13;13;0;6;6;0;1;0.0;0;1;30.0;1;2;40.0;1;2;42.0;1;3;35.0;1;2;42.0;1;2;45.0;1;2;0.0;0;2;2
58;32.642857142857146;33.8125;40.0;34.6;40.0;36.083333333333336;11;35.0;40.0;42.0;34.642857142857146;1;15;13;2;6;5;1;1;0.0;0;1;33.0;1;2;42.0;1;2;38.0;1;3;29.5;2;2;36.0;1;2;45.0;1;2;0.0;0;2;2
60;35.42857142857143;32.0625;30.0;32.0;33.0;32.3;11;25.5;38.0;0.0;32.285714285714285;1;15;13;2;6;5;1;1;0.0;0;1;36.0;1;2;25.5;2;2;35.0;1;3;30.0;1;2;38.0;1;2;44.0;1;2;0.0;0;2;2
61;33.625;30.9375;30.0;33.9;38.0;31.05;12;30.0;34.0;0.0;33.285714285714285;1;15;13;2;6;5;1;1;0.0;0;1;36.0;1;2;30.0;1;2;46.0;1;3;25.0;2;2;35.0;1;2;38.0;1;2;0.0;0;2;1
62;33.642857142857146;35.4375;35.0;37.0;50.0;38.3;9;45.0;42.0;0.0;32.285714285714285;1;16;13;3;6;5;1;1;0.0;0;1;36.0;1;2;30.0;1;2;28.0;2;3;35.0;1;2;43.0;1;2;40.0;1;2;0.0;0;2;2
63;31.428571428571427;31.53125;30.0;28.2;35.0;18.25;14;18.0;30.0;0.0;26.818181818181817;2;14;10;4;5;3;2;2;0.0;0;1;35.0;1;2;9.5;2;2;0.0;0;3;23.0;2;2;45.0;1;2;35.0;1;2;0.0;0;2;2
64;33.357142857142854;36.375;45.0;35.5;45.0;29.65;12;33.0;31.0;0.0;32.285714285714285;1;15;13;2;6;5;1;1;0.0;0;1;31.0;1;2;31.0;1;2;47.0;1;3;27.5;2;2;31.0;1;2;35.0;1;2;0.0;0;2;2
65;33.785714285714285;30.625;30.0;32.9;30.5;36.1;9;40.0;41.0;0.0;31.642857142857142;0;13;13;0;6;6;0;1;0.0;0;1;32.0;1;2;31.0;1;2;31.0;1;3;30.0;1;2;37.0;1;2;45.0;1;2;0.0;0;2;2
66;37.57142857142857;31.5625;35.0;34.9;43.0;35.9;9;35.0;41.0;0.0;39.214285714285715;0;13;13;0;6;6;0;1;0.0;0;1;43.0;1;2;47.0;1;2;47.0;1;3;35.0;1;2;34.0;1;2;45.0;1;2;0.0;0;2;2
70;28.785714285714285;29.71875;35.0;32.1;38.0;26.8;12;32.0;39.0;0.0;30.357142857142858;1;15;13;2;6;5;1;1;0.0;0;1;41.0;1;2;27.5;2;2;30.0;1;3;30.0;1;2;30.0;1;2;39.0;1;2;0.0;0;2;2
74;29.6875;33.0;35.0;34.2;48.0;28.7;11;23.5;32.0;0.0;33.142857142857146;0;13;13;0;6;6;0;1;0.0;0;1;38.0;1;2;34.0;1;2;32.0;1;3;30.0;1;2;42.0;1;2;40.0;1;2;0.0;0;2;2
75;26.75;31.5;30.0;32.333333333333336;30.0;23.25;16;23.0;22.5;0.0;27.857142857142858;3;20;13;7;6;3;3;1;0.0;0;1;21.0;2;2;21.0;2;2;28.0;2;3;30.0;1;2;38.0;1;2;43.0;1;2;0.0;0;2;2
78;37.023809523809526;29.59375;30.0;36.1;39.0;35.333333333333336;11;31.0;46.0;40.0;34.285714285714285;1;15;13;2;6;5;1;1;0.0;0;1;35.0;1;2;36.0;1;2;46.0;1;3;25.0;2;2;35.0;1;2;40.0;1;2;0.0;0;2;2
79;31.714285714285715;29.53125;30.0;35.6;44.0;32.7;9;32.0;36.0;0.0;36.857142857142854;1;15;13;2;6;6;0;1;0.0;0;1;39.0;1;2;37.0;1;2;46.0;1;3;30.0;2;2;42.0;1;2;41.0;1;2;0.0;0;2;2
81;33.25;30.84375;35.0;31.7;39.0;31.6;11;26.0;45.0;0.0;31.392857142857142;1;16;13;3;6;5;1;1;0.0;0;1;37.0;1;2;30.0;1;2;24.5;2;3;30.0;1;2;46.0;1;2;40.0;1;2;0.0;0;2;2
82;38.208333333333336;33.71875;35.0;36.0;40.0;37.5;11;40.0;33.0;47.0;34.595238095238095;2;19;13;6;6;4;2;1;0.0;0;1;30.0;1;2;26.0;2;2;47.0;1;3;24.666666666666668;3;2;46.0;1;2;45.0;1;2;0.0;0;2;2
86;28.857142857142858;30.96875;30.0;34.7;45.0;29.1;11;27.0;38.0;0.0;35.214285714285715;1;15;13;2;6;5;1;1;0.0;0;1;38.0;1;2;27.5;2;2;46.0;1;3;30.0;1;2;39.0;1;2;43.0;1;2;0.0;0;2;2
87;33.4375;33.625;30.0;33.3;39.0;33.25;11;33.0;32.0;40.0;33.92857142857143;1;15;13;2;6;5;1;1;0.0;0;1;33.0;1;2;38.0;1;2;38.0;1;3;27.5;2;2;40.0;1;2;42.0;1;2;0.0;0;2;2
89;38.666666666666664;30.875;30.0;33.9;40.0;31.2;9;33.0;35.0;0.0;32.5;1;15;13;2;6;5;1;1;0.0;0;1;32.0;1;2;27.0;2;2;39.0;1;3;30.0;1;2;35.0;1;2;45.0;1;2;0.0;0;2;2
90;35.1;33.5625;40.0;38.6;42.0;30.4;11;26.5;33.0;0.0;29.964285714285715;2;18;13;5;6;5;1;2;0.0;0;1;31.0;2;2;33.0;1;2;22.5;2;3;30.0;1;2;40.0;1;2;42.0;1;2;0.0;0;2;2
91;36.07142857142857;32.6875;40.0;36.5;40.0;41.0;11;45.0;48.0;44.0;36.285714285714285;0;13;13;0;6;6;0;1;0.0;0;1;41.0;1;2;36.0;1;2;40.0;1;3;35.0;1;2;37.0;1;2;45.0;1;2;0.0;0;2;2
92;32.5;31.4375;30.0;30.7;34.0;28.2;11;21.5;37.0;0.0;33.92857142857143;2;17;13;4;6;5;1;1;0.0;0;1;32.0;1;2;33.0;2;2;45.0;1;3;25.0;2;2;45.0;1;2;35.0;1;2;0.0;0;2;1
95;34.88235294117647;29.625;30.0;30.4;32.0;26.6;11;24.0;30.0;0.0;31.857142857142858;0;13;13;0;6;6;0;1;0.0;0;1;32.0;1;2;34.0;1;2;30.0;1;3;30.0;1;2;45.0;1;2;37.0;1;2;0.0;0;2;2
98;33.57142857142857;33.0625;35.0;34.4;41.0;36.5;11;34.0;37.0;43.0;35.57142857142857;1;15;13;2;6;5;1;1;0.0;0;1;36.0;1;2;31.0;1;2;46.0;1;3;24.0;2;2;43.0;1;2;46.0;1;2;0.0;0;2;2
100;27.916666666666668;29.78125;35.0;33.2;40.0;24.7;14;22.0;31.0;0.0;31.5;2;19;13;6;6;4;2;1;0.0;0;1;35.0;1;2;21.5;2;2;42.0;1;3;26.0;3;2;35.0;1;2;40.0;1;2;0.0;0;2;2
102;31.25;31.875;30.0;33.6;49.0;28.2;11;28.0;30.0;0.0;30.214285714285715;1;15;13;2;6;5;1;1;0.0;0;1;33.0;1;2;30.0;1;2;35.0;1;3;26.0;2;2;31.0;1;2;39.0;1;2;0.0;0;2;2
105;31.071428571428573;32.25;30.0;30.7;30.0;26.3;12;31.0;30.0;0.0;30.214285714285715;2;17;13;4;6;4;2;1;0.0;0;1;27.0;2;2;20.5;2;2;38.0;1;3;30.0;1;2;32.0;1;2;45.0;1;2;0.0;0;2;2
107;28.333333333333332;29.0625;22.5;32.2;41.0;31.6;12;33.0;35.0;0.0;33.785714285714285;2;19;13;6;6;4;2;1;0.0;0;1;40.0;1;2;26.5;2;2;42.0;1;3;24.0;3;2;44.0;1;2;39.0;1;2;0.0;0;2;2
108;28.541666666666668;29.21875;30.0;30.8;28.5;31.2;11;25.5;35.0;0.0;33.92857142857143;1;15;13;2;6;5;1;1;0.0;0;1;36.0;1;2;28.5;2;2;42.0;1;3;30.0;1;2;37.0;1;2;43.0;1;2;0.0;0;2;2
110;33.6875;31.59375;40.0;30.2;32.0;31.0;9;35.0;34.0;0.0;31.166666666666664;3;21;13;8;6;5;1;1;0.0;0;1;30.0;1;2;33.0;2;2;39.0;1;3;21.666666666666668;3;2;33.0;2;2;42.0;1;2;0.0;0;2;2
112;30.535714285714285;37.125;30.0;34.6;36.0;32.9;9;32.0;41.0;0.0;33.5;1;15;13;2;6;5;1;1;0.0;0;1;19.5;2;2;50.0;1;2;38.0;1;3;30.0;1;2;43.0;1;2;35.0;1;2;0.0;0;2;2
113;34.5;32.4375;30.0;37.6;40.0;36.6;9;40.0;45.0;0.0;37.642857142857146;0;13;13;0;6;6;0;1;0.0;0;1;32.0;1;2;45.0;1;2;43.0;1;3;35.0;1;2;42.0;1;2;45.0;1;2;0.0;0;2;2
120;30.833333333333332;34.6875;35.0;31.1;35.0;30.0;9;35.0;34.0;0.0;32.107142857142854;1;16;13;3;6;6;0;1;0.0;0;1;31.0;1;2;41.0;1;2;32.5;2;3;30.0;1;2;31.0;1;2;43.0;1;2;0.0;0;2;2
121;28.857142857142858;32.125;19.5;35.4;47.0;32.3;11;30.5;40.0;0.0;31.071428571428573;1;15;13;2;6;5;1;1;0.0;0;1;34.0;1;2;29.0;2;2;31.0;1;3;32.0;1;2;36.0;1;2;40.0;1;2;0.0;0;2;2
123;32.5;33.4375;30.0;36.0;42.0;29.7;15;37.0;35.0;0.0;32.30952380952381;1;17;13;4;6;5;1;1;0.0;0;1;31.0;1;2;33.0;1;2;33.0;1;3;27.666666666666668;3;2;45.0;1;2;40.0;1;2;0.0;0;2;2
126;32.285714285714285;35.75;30.0;34.0;37.0;31.9;11;33.0;31.5;0.0;30.297619047619044;3;22;13;9;6;4;2;1;0.0;0;1;30.0;1;2;28.333333333333332;3;2;27.5;2;3;30.5;2;2;43.0;1;2;39.0;1;2;0.0;0;2;2
127;30.833333333333332;31.65625;35.0;33.4;44.0;33.2;9;33.0;32.0;0.0;33.023809523809526;2;19;13;6;6;4;2;1;0.0;0;1;40.0;1;2;29.5;2;2;42.0;1;3;26.666666666666668;3;2;30.0;1;2;42.0;1;2;0.0;0;2;2
129;26.430555555555554;29.02564102564103;29.0;25.875;0.0;3.3333333333333335;2;5.0;0.0;0.0;17.4;1;6;4;2;2;1;1;2;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.5;2;2;0.0;0;2;43.0;1;2;0.0;0;2;1
130;29.1;29.864583333333336;27.5;29.3;36.0;26.366666666666664;16;22.333333333333332;37.0;0.0;23.357142857142858;2;17;13;4;6;3;3;2;0.0;0;1;31.0;1;2;19.5;2;2;17.0;1;3;14.5;2;2;35.0;1;2;38.0;1;2;0.0;0;2;2
131;35.714285714285715;35.1875;45.0;35.2;39.0;33.5;11;29.5;35.0;0.0;30.285714285714285;4;22;13;9;6;3;3;2;0.0;0;1;25.0;2;2;32.5;2;2;29.0;2;3;25.0;2;2;47.0;1;2;39.0;1;2;0.0;0;2;2
132;31.714285714285715;33.125;35.0;31.8;31.0;34.0;11;31.0;33.0;43.0;35.642857142857146;1;15;13;2;6;5;1;1;0.0;0;1;32.0;1;2;43.0;1;2;47.0;1;3;29.0;2;2;35.0;1;2;40.0;1;2;0.0;0;2;2
133;32.5;33.25;35.0;31.9;33.0;36.666666666666664;11;34.0;32.0;40.0;33.57142857142857;0;13;13;0;6;6;0;1;0.0;0;1;40.0;1;2;39.0;1;2;30.0;1;3;30.0;1;2;37.0;1;2;44.0;1;2;0.0;0;2;2
134;30.6;34.64705882352941;26.0;31.4;37.0;28.25;14;27.5;38.0;0.0;32.25;2;18;13;5;6;5;1;1;0.0;0;1;37.0;1;2;28.5;2;2;33.5;2;3;32.0;1;2;40.0;1;2;38.0;1;2;0.0;0;2;2
135;28.535714285714285;30.03125;22.5;35.4;40.0;32.65;12;30.0;50.0;0.0;31.142857142857142;2;17;13;4;6;5;1;1;0.0;0;1;31.5;2;2;33.0;1;2;33.0;1;3;24.0;2;2;42.0;1;2;38.0;1;2;0.0;0;2;2
136;34.6;30.09375;22.5;38.6;48.0;33.1;9;38.0;37.0;0.0;33.857142857142854;1;15;13;2;6;5;1;1;0.0;0;1;34.0;1;2;36.0;1;2;41.0;1;3;25.5;2;2;40.0;1;2;40.0;1;2;0.0;0;2;2
139;28.541666666666668;28.7;30.0;28.5;0.0;0.0;0;0.0;0.0;0.0;26.666666666666668;0;2;2;0;1;1;0;2;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;40.0;1;2;0.0;0;2;1
140;28.541666666666668;32.53125;35.0;34.2;32.0;31.35;14;24.0;35.0;0.0;33.57142857142857;0;13;13;0;6;6;0;1;0.0;0;1;31.0;1;2;43.0;1;2;32.0;1;3;30.0;1;2;45.0;1;2;38.0;1;2;0.0;0;2;2
141;28.958333333333332;29.40625;30.0;29.55;42.0;27.85;12;32.0;33.0;0.0;26.857142857142858;3;24;13;11;6;3;3;1;0.0;0;1;39.0;1;2;18.5;2;2;29.0;2;3;25.0;4;2;30.0;1;2;32.0;1;2;0.0;0;2;1
142;32.57142857142857;30.84375;35.0;32.7;41.0;24.9;14;36.0;24.0;0.0;25.380952380952383;3;22;13;9;6;4;2;1;0.0;0;1;30.0;2;2;31.0;1;2;16.0;2;3;22.666666666666668;3;2;30.0;1;2;40.0;1;2;0.0;0;2;1
143;36.214285714285715;32.625;40.0;35.1;41.0;31.0;17;30.5;38.0;0.0;33.214285714285715;2;17;13;4;6;5;1;1;0.0;0;1;32.0;1;2;20.0;2;2;49.0;1;3;35.0;1;2;31.0;2;2;41.0;1;2;0.0;0;2;2
145;27.142857142857142;30.0;27.5;25.166666666666668;0.0;0.0;0;0.0;0.0;0.0;20.0;0;4;4;0;2;1;1;2;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;9.0;1;2;0.0;0;2;41.0;1;2;0.0;0;2;1
154;31.642857142857142;29.645833333333336;23.666666666666668;34.5;39.0;27.7;14;31.5;33.0;0.0;31.642857142857142;1;15;13;2;6;5;1;1;0.0;0;1;35.0;1;2;36.0;1;2;34.0;1;3;24.5;2;2;37.0;1;2;38.0;1;2;0.0;0;2;2
155;34.3235294117647;29.875;30.0;35.6;41.0;31.8;14;30.5;32.0;0.0;32.285714285714285;1;15;13;2;6;5;1;1;0.0;0;1;37.0;1;2;33.0;1;2;35.0;1;3;27.5;2;2;37.0;1;2;39.0;1;2;0.0;0;2;2
158;32.035714285714285;30.625;27.0;34.7;45.0;28.375;18;28.0;17.5;45.0;32.976190476190474;1;17;13;4;6;5;1;1;0.0;0;1;38.0;1;2;35.0;1;2;39.0;1;3;21.333333333333332;3;2;38.0;1;2;40.0;1;2;0.0;0;2;2
161;34.642857142857146;35.93333333333333;40.0;36.4;45.0;16.7;16;22.5;36.0;0.0;26.181818181818183;2;14;10;4;5;3;2;2;0.0;0;1;19.0;2;2;48.0;1;2;0.0;0;3;32.0;1;2;3.0;2;2;42.0;1;2;0.0;0;2;2
162;30.357142857142858;31.390625;37.0;32.0;39.0;28.8;15;33.0;32.0;0.0;29.0;3;22;13;9;6;3;3;1;0.0;0;1;29.5;2;2;22.0;3;2;27.0;2;3;36.0;1;2;35.0;1;2;40.0;1;2;0.0;0;2;2
163;30.1;26.115625;21.8;34.1;40.0;29.8;15;40.0;40.0;0.0;31.714285714285715;2;17;13;4;6;4;2;1;0.0;0;1;36.0;1;2;26.5;2;2;35.0;1;3;36.0;1;2;28.0;2;2;43.0;1;2;0.0;0;2;2
164;27.62857142857143;29.0625;30.0;30.9;29.5;25.6;14;19.0;39.0;0.0;19.702380952380953;5;34;13;21;6;2;4;1;0.0;0;1;14.666666666666666;3;2;38.0;1;2;13.5;2;3;15.25;4;2;33.0;2;2;16.75;4;2;0.0;0;2;1
166;30.892857142857142;31.0625;25.5;34.4;47.0;33.1;9;32.0;37.0;0.0;33.0;0;13;13;0;6;6;0;1;0.0;0;1;31.0;1;2;41.0;1;2;30.0;1;3;33.0;1;2;40.0;1;2;41.0;1;2;0.0;0;2;2
167;31.84375;32.375;35.0;33.7;45.0;31.15;12;31.0;33.0;0.0;33.642857142857146;2;17;13;4;6;4;2;1;0.0;0;1;32.0;1;2;28.5;2;2;49.0;1;3;25.5;2;2;38.0;1;2;38.0;1;2;0.0;0;2;2
168;29.714285714285715;33.875;35.0;33.7;41.0;31.25;13;24.0;36.0;44.0;33.45238095238095;2;19;13;6;6;5;1;1;0.0;0;1;36.0;1;2;37.0;2;2;31.0;1;3;21.666666666666668;3;2;50.0;1;2;43.0;1;2;0.0;0;2;2
171;36.705882352941174;33.8125;45.0;33.7;37.0;32.5;9;33.0;30.0;0.0;34.392857142857146;1;16;13;3;6;5;1;1;0.0;0;1;34.0;1;2;44.0;1;2;28.5;2;3;30.0;1;2;49.0;1;2;41.0;1;2;0.0;0;2;2
173;30.0;33.8125;30.0;32.9;39.0;27.8;14;26.5;36.0;0.0;29.428571428571427;2;17;13;4;6;4;2;2;0.0;0;1;16.5;2;2;24.0;2;2;35.0;1;3;37.0;1;2;40.0;1;2;36.0;1;2;0.0;0;2;2
174;37.9375;32.6875;32.5;36.1;34.5;35.166666666666664;11;42.0;39.0;45.0;34.5;0;13;13;0;6;6;0;1;0.0;0;1;35.0;1;2;31.0;1;2;37.0;1;3;30.0;1;2;49.0;1;2;41.0;1;2;0.0;0;2;2
177;39.857142857142854;34.8125;45.0;37.4;48.0;35.25;11;45.0;30.0;44.0;32.07142857142857;1;16;13;3;6;6;0;1;0.0;0;1;33.0;1;2;30.0;1;2;37.0;2;3;30.0;1;2;31.0;1;2;45.0;1;2;0.0;0;2;2
179;33.214285714285715;32.8125;30.0;38.1;49.0;29.5;11;26.5;34.0;0.0;33.07142857142857;1;15;13;2;6;5;1;1;0.0;0;1;36.0;1;2;35.0;1;2;33.0;1;3;28.0;2;2;43.0;1;2;40.0;1;2;0.0;0;2;2
