NUMERO;PROMEDIO_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_TEXTOS;NOTA_EE_UNO;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;NOTA_MULTIVARIADO;VECES_MULTIVARIADO;CREDITOS_MULTIVARIADO;NOTA_ESTADISTICA_UNO;VECES_ESTADISTICA_UNO;CREDITOS_ESTADISTICA_UNO;NOTA_TERMODINAMICA;VECES_TERMODINAMICA;CREDITOS_TERMODINAMICA;NOTA_TGS;VECES_TGS;CREDITOS_TGS;NOTA_ETICA;VECES_ETICA;CREDITOS_ETICA;NOTA_PORIENTADA;VECES_PORIENTADA;CREDITOS_PORIENTADA;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
2;31.8;6;22.5;30.0;30.0;36.0;31.65625;19;16;5;22.5;30.0;30.0;40.0;32.0;0;15;15;0;6;6;0;1;35.0;1;3;40.0;1;3;0.0;0;3;35.0;1;2;38.0;1;2;40.0;1;3;39.0;1;2;2;30.13888888888889
3;30.833333333333332;5;30.0;23.75;15.0;40.0;26.53846153846154;28;13;2;25.0;20.0;0.0;35.0;0.0;0;11;11;0;4;4;0;1;35.0;1;3;35.0;1;3;0.0;0;3;40.0;1;2;0.0;0;2;30.0;1;3;0.0;0;2;1;15.0625
4;31.153846153846153;5;20.0;40.0;30.0;0.0;33.333333333333336;9;9;3;30.0;0.0;0.0;40.0;0.0;0;3;3;0;1;1;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;40.0;1;3;0.0;0;2;1;0.0
5;36.333333333333336;7;30.0;35.0;35.0;45.0;34.78125;19;16;6;35.0;32.5;35.0;35.0;37.0;1;17;15;2;7;5;2;1;35.0;1;3;45.0;1;3;0.0;0;3;40.0;1;2;40.0;1;2;35.0;1;3;25.0;2;2;2;38.05555555555556
6;35.333333333333336;7;30.0;40.0;40.0;40.0;35.0;16;16;6;30.0;30.0;35.0;40.0;35.0;0;15;15;0;6;6;0;1;35.0;1;3;40.0;1;3;0.0;0;3;40.0;1;2;43.0;1;2;40.0;1;3;50.0;1;2;2;36.55555555555556
7;23.846153846153847;4;15.0;15.0;30.0;0.0;25.714285714285715;6;6;2;0.0;0.0;0.0;30.0;0.0;0;3;3;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;30.0;1;3;0.0;0;2;1;10.0
8;38.07692307692308;6;45.0;30.0;35.0;0.0;36.25;12;12;4;30.0;35.0;0.0;45.0;0.0;0;9;9;0;3;3;0;1;30.0;1;3;40.0;1;3;0.0;0;3;0.0;0;2;0.0;0;2;45.0;1;3;0.0;0;2;1;23.333333333333332
9;38.666666666666664;7;30.0;40.0;40.0;50.0;34.3125;16;16;6;35.0;30.0;35.0;35.0;37.0;0;15;15;0;6;6;0;1;35.0;1;3;45.0;1;3;0.0;0;3;45.0;1;2;43.0;1;2;35.0;1;3;45.0;1;2;2;36.388888888888886
10;33.666666666666664;6;22.5;40.0;35.0;40.0;34.5625;18;16;5;35.0;30.0;28.5;40.0;38.0;0;15;15;0;6;6;0;1;35.0;1;3;30.0;1;3;0.0;0;3;40.0;1;2;44.0;1;2;40.0;1;3;40.0;1;2;2;35.888888888888886
11;32.53333333333333;6;23.75;30.0;35.0;39.0;30.833333333333332;32;16;3;22.5;27.5;28.666666666666668;35.0;38.0;1;16;13;3;6;4;2;2;25.0;2;3;30.0;1;3;0.0;0;3;30.0;1;2;32.0;1;2;35.0;1;3;0.0;0;2;2;31.63888888888889
12;34.2;7;30.0;30.0;35.0;39.0;33.09375;19;16;5;27.5;35.0;30.0;40.0;36.0;0;15;15;0;6;6;0;1;30.0;1;3;35.0;1;3;0.0;0;3;33.0;1;2;40.0;1;2;40.0;1;3;45.0;1;2;2;33.5
14;36.15384615384615;6;30.0;0.0;35.0;45.0;37.5;12;12;4;40.0;30.0;0.0;40.0;0.0;0;6;6;0;2;1;1;2;15.0;1;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;40.0;1;3;0.0;0;2;1;10.0
15;37.93333333333333;7;35.0;35.0;45.0;32.0;39.0625;16;16;6;40.0;30.0;45.0;35.0;50.0;0;15;15;0;6;6;0;1;40.0;1;3;40.0;1;3;0.0;0;3;45.0;1;2;43.0;1;2;35.0;1;3;42.0;1;2;3;43.611111111111114
16;35.4;7;30.0;50.0;35.0;33.0;33.3125;19;16;6;30.0;30.0;30.0;45.0;34.0;1;18;15;3;7;6;1;1;30.0;2;3;35.0;1;3;0.0;0;3;45.0;1;2;43.0;1;2;45.0;1;3;40.0;1;2;2;35.27777777777778
17;26.818181818181817;2;25.0;0.0;0.0;45.0;17.666666666666668;7;5;1;0.0;0.0;0.0;15.0;30.5;0;2;2;0;1;1;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;50.0;1;2;1;0.0
18;32.733333333333334;6;22.5;40.0;40.0;33.0;32.03125;22;16;5;32.5;25.0;30.0;40.0;35.0;2;21;15;6;8;5;3;1;27.5;2;3;30.0;2;3;0.0;0;3;40.0;1;2;37.0;1;2;40.0;1;3;30.0;1;2;2;30.694444444444443
19;31.153846153846153;5;20.0;30.0;40.0;0.0;28.125;21;12;2;30.0;27.5;0.0;30.0;0.0;1;20;11;9;7;3;4;2;7.0;4;3;40.0;1;3;0.0;0;3;30.0;1;2;0.0;0;2;30.0;1;3;0.0;0;2;1;22.083333333333332
20;37.2;7;35.0;40.0;45.0;39.0;36.375;16;16;6;30.0;30.0;35.0;45.0;46.0;0;15;15;0;6;6;0;1;35.0;1;3;45.0;1;3;0.0;0;3;45.0;1;2;42.0;1;2;45.0;1;3;42.0;1;2;3;41.666666666666664
21;33.4;6;27.5;30.0;35.0;38.0;36.34375;19;16;6;32.5;40.0;30.0;35.0;47.0;0;15;15;0;6;6;0;1;30.0;1;3;35.0;1;3;0.0;0;3;45.0;1;2;42.0;1;2;35.0;1;3;41.0;1;2;2;36.388888888888886
22;41.666666666666664;7;45.0;45.0;35.0;45.0;40.892857142857146;17;14;5;45.0;40.0;0.0;32.5;50.0;0;8;8;0;3;3;0;1;40.0;1;3;45.0;1;3;0.0;0;3;45.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;2;35.357142857142854
23;34.666666666666664;7;35.0;30.0;40.0;30.0;33.1875;20;16;5;35.0;30.0;30.0;35.0;18.0;0;15;15;0;6;6;0;1;30.0;1;3;40.0;1;3;0.0;0;3;40.0;1;2;39.0;1;2;35.0;1;3;38.0;1;2;2;37.833333333333336
24;35.333333333333336;7;35.0;35.0;35.0;35.0;32.3125;22;16;4;30.0;22.5;38.0;45.0;33.0;1;16;13;3;6;3;3;1;25.0;2;3;35.0;1;3;0.0;0;3;30.0;1;2;0.0;0;2;45.0;1;3;28.0;1;2;1;27.176470588235293
26;33.833333333333336;6;30.0;40.0;35.0;40.0;30.3125;28;16;3;22.5;22.5;40.0;35.0;45.0;0;15;15;0;6;6;0;1;30.0;1;3;35.0;1;3;0.0;0;3;31.0;1;2;40.0;1;2;35.0;1;3;41.0;1;2;2;30.27777777777778
27;38.333333333333336;7;40.0;40.0;40.0;35.0;36.625;16;16;6;40.0;30.0;30.0;35.0;38.0;0;15;15;0;6;6;0;1;30.0;1;3;45.0;1;3;0.0;0;3;35.0;1;2;43.0;1;2;30.0;1;3;50.0;1;2;2;35.27777777777778
28;37.0;7;35.0;30.0;40.0;45.0;38.0;16;16;6;40.0;35.0;40.0;40.0;39.0;1;18;15;3;7;6;1;1;30.0;2;3;35.0;1;3;0.0;0;3;40.0;1;2;38.0;1;2;40.0;1;3;46.0;1;2;2;38.77777777777778
30;35.06666666666667;6;25.0;40.0;45.0;43.0;36.5625;21;16;5;30.0;35.0;27.5;40.0;40.0;0;15;15;0;6;6;0;1;30.0;1;3;40.0;1;3;0.0;0;3;40.0;1;2;42.0;1;2;40.0;1;3;35.0;1;2;2;35.27777777777778
31;33.13333333333333;6;25.0;35.0;40.0;41.0;30.46875;25;16;4;30.0;27.5;30.0;30.0;45.0;0;15;15;0;6;6;0;1;40.0;1;3;40.0;1;3;0.0;0;3;35.0;1;2;40.0;1;2;30.0;1;3;43.0;1;2;3;40.388888888888886
32;37.666666666666664;7;40.0;30.0;40.0;40.0;34.25;22;16;5;35.0;25.0;42.0;40.0;37.0;0;15;15;0;6;6;0;1;30.0;1;3;40.0;1;3;0.0;0;3;40.0;1;2;40.0;1;2;35.0;1;3;45.0;1;2;2;31.351851851851848
33;35.0;5;30.0;0.0;40.0;0.0;30.0;18;12;3;30.0;25.0;0.0;35.0;0.0;1;18;9;9;6;2;4;2;13.25;4;3;30.0;1;3;0.0;0;3;0.0;0;2;0.0;0;2;35.0;1;3;0.0;0;2;2;30.555555555555557
34;30.144444444444446;5;21.666666666666668;30.0;40.0;34.0;27.53125;31;16;2;22.5;25.0;13.5;40.0;38.0;1;16;13;3;6;4;2;1;30.0;1;3;27.5;2;3;0.0;0;3;31.0;1;2;0.0;0;2;40.0;1;3;38.0;1;2;2;32.513888888888886
35;35.4;7;30.0;35.0;35.0;38.0;33.1875;16;16;6;30.0;30.0;36.0;35.0;42.0;1;19;15;4;8;5;3;1;30.0;1;3;35.0;1;3;0.0;0;3;26.0;3;2;37.0;1;2;35.0;1;3;38.0;1;2;2;36.94444444444444
36;31.53846153846154;6;30.0;30.0;30.0;0.0;29.375;27;12;2;35.0;20.0;0.0;35.0;0.0;0;11;11;0;4;3;1;2;15.0;1;3;30.0;1;3;0.0;0;3;35.0;1;2;0.0;0;2;30.0;1;3;0.0;0;2;1;23.333333333333332
38;35.13333333333333;7;30.0;40.0;30.0;41.0;36.875;16;16;6;30.0;45.0;30.0;40.0;40.0;0;15;15;0;6;6;0;1;30.0;1;3;40.0;1;3;0.0;0;3;35.0;1;2;42.0;1;2;40.0;1;3;36.0;1;2;2;35.0
39;37.0;7;30.0;40.0;40.0;45.0;35.46875;19;16;5;35.0;27.5;40.0;35.0;45.0;1;18;15;3;7;5;2;1;22.5;2;3;45.0;1;3;0.0;0;3;35.0;1;2;41.0;1;2;35.0;1;3;41.0;1;2;2;36.22222222222222
40;33.6;7;30.0;40.0;35.0;32.0;33.125;22;16;5;32.5;27.5;35.0;40.0;35.0;0;15;15;0;6;6;0;1;40.0;1;3;45.0;1;3;0.0;0;3;45.0;1;2;35.0;1;2;40.0;1;3;41.0;1;2;2;38.05555555555556
41;36.333333333333336;7;35.0;35.0;35.0;35.0;30.25;24;16;5;30.0;27.5;30.0;32.5;32.0;0;15;15;0;6;6;0;1;30.0;1;3;40.0;1;3;0.0;0;3;35.0;1;2;38.0;1;2;30.0;1;3;37.0;1;2;2;34.388888888888886
42;27.272727272727273;2;25.0;0.0;25.0;0.0;28.333333333333332;9;9;1;25.0;0.0;0.0;40.0;0.0;0;3;3;0;1;1;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;40.0;1;3;0.0;0;2;1;0.0
44;33.46666666666667;7;30.0;30.0;40.0;36.0;30.15625;22;16;5;30.0;22.5;35.0;35.0;30.0;1;21;15;6;8;5;3;1;21.666666666666668;3;3;30.0;1;3;0.0;0;3;35.0;1;2;40.0;1;2;35.0;1;3;35.0;1;2;1;29.833333333333332
45;38.0;7;30.0;35.0;40.0;50.0;32.90625;19;16;5;30.0;27.5;35.0;40.0;37.0;0;15;15;0;6;6;0;1;35.0;1;3;40.0;1;3;0.0;0;3;50.0;1;2;43.0;1;2;35.0;1;3;45.0;1;2;2;38.611111111111114
46;36.333333333333336;7;30.0;35.0;40.0;45.0;40.625;16;16;6;35.0;45.0;45.0;40.0;40.0;0;15;15;0;6;6;0;1;35.0;1;3;45.0;1;3;0.0;0;3;45.0;1;2;41.0;1;2;40.0;1;3;45.0;1;2;2;37.77777777777778
48;40.45454545454545;5;45.0;0.0;40.0;0.0;27.857142857142858;6;6;2;0.0;0.0;0.0;35.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;20.0
50;23.717948717948715;4;12.0;12.666666666666666;30.0;0.0;20.228571428571428;18;6;1;0.0;0.0;0.0;35.0;0.0;0;6;6;0;2;1;1;2;0.0;0;3;20.0;1;3;0.0;0;3;0.0;0;2;0.0;0;2;35.0;1;3;0.0;0;2;1;20.0
51;32.69230769230769;5;32.5;0.0;40.0;15.0;27.857142857142858;6;6;2;0.0;0.0;0.0;35.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
52;34.666666666666664;6;25.0;40.0;35.0;40.0;32.40625;28;16;3;25.0;27.5;35.0;40.0;43.0;0;15;15;0;6;6;0;1;30.0;1;3;30.0;1;3;0.0;0;3;35.0;1;2;39.0;1;2;40.0;1;3;40.0;1;2;2;34.05555555555556
53;38.0;7;30.0;45.0;40.0;45.0;35.40625;19;16;5;35.0;27.5;35.0;40.0;42.0;0;15;15;0;6;6;0;1;40.0;1;3;30.0;1;3;0.0;0;3;45.0;1;2;43.0;1;2;35.0;1;3;50.0;1;2;2;39.166666666666664
54;29.733333333333334;6;19.0;35.0;30.0;40.0;33.125;22;16;5;20.0;30.0;39.0;40.0;31.0;2;27;15;12;10;4;6;2;26.0;4;3;22.5;2;3;0.0;0;3;30.0;1;2;34.0;1;2;30.0;1;3;32.0;1;2;2;30.72222222222222
55;35.333333333333336;6;25.0;45.0;40.0;40.0;38.375;16;16;6;40.0;35.0;35.0;40.0;32.0;0;15;15;0;6;6;0;1;35.0;1;3;40.0;1;3;0.0;0;3;35.0;1;2;42.0;1;2;40.0;1;3;43.0;1;2;2;36.666666666666664
56;34.2;7;35.0;30.0;35.0;39.0;32.09375;19;16;6;30.0;32.5;30.0;30.0;43.0;1;17;15;2;7;6;1;1;35.0;1;3;40.0;1;3;0.0;0;3;34.0;2;2;37.0;1;2;30.0;1;3;40.0;1;2;2;35.72222222222222
57;39.666666666666664;7;35.0;40.0;40.0;45.0;40.3125;16;16;6;30.0;45.0;30.0;45.0;45.0;0;15;15;0;6;6;0;1;30.0;1;3;40.0;1;3;0.0;0;3;45.0;1;2;41.0;1;2;45.0;1;3;43.0;1;2;3;40.55555555555556
58;36.06666666666667;7;30.0;40.0;40.0;33.0;37.1875;16;16;6;35.0;30.0;35.0;45.0;45.0;0;15;15;0;6;6;0;1;30.0;1;3;35.0;1;3;0.0;0;3;40.0;1;2;40.0;1;2;40.0;1;3;43.0;1;2;2;37.77777777777778
59;33.0;7;32.5;35.0;30.0;35.0;30.0;18;12;3;30.0;25.0;0.0;30.0;0.0;2;21;9;12;7;1;6;2;15.5;4;3;35.0;1;3;0.0;0;3;0.0;0;2;0.0;0;2;27.5;2;3;0.0;0;2;1;23.861111111111114
60;37.666666666666664;7;40.0;30.0;35.0;45.0;35.75;22;16;5;35.0;32.5;40.0;45.0;36.0;0;15;15;0;6;6;0;1;35.0;1;3;40.0;1;3;0.0;0;3;40.0;1;2;34.0;1;2;45.0;1;3;40.0;1;2;2;33.611111111111114
61;36.333333333333336;6;27.5;45.0;40.0;40.0;34.71875;19;16;5;27.5;30.0;30.0;45.0;34.0;0;15;15;0;6;6;0;1;30.0;1;3;50.0;1;3;0.0;0;3;35.0;1;2;42.0;1;2;40.0;1;3;35.0;1;2;2;34.583333333333336
62;38.0;7;35.0;40.0;40.0;40.0;36.1875;16;16;6;35.0;40.0;30.0;40.0;42.0;0;15;15;0;6;6;0;1;35.0;1;3;45.0;1;3;0.0;0;3;45.0;1;2;44.0;1;2;35.0;1;3;45.0;1;2;2;39.72222222222222
63;31.37777777777778;6;21.666666666666668;30.0;32.5;32.0;32.78125;22;16;5;32.5;25.0;41.0;30.0;45.0;1;17;15;2;7;5;2;1;35.0;1;3;30.0;1;3;0.0;0;3;40.0;1;2;40.0;1;2;30.0;1;3;14.0;2;2;2;33.083333333333336
64;38.0;7;35.0;50.0;40.0;40.0;33.4375;16;16;6;30.0;30.0;30.0;40.0;35.0;0;15;15;0;6;6;0;1;35.0;1;3;40.0;1;3;0.0;0;3;45.0;1;2;41.0;1;2;40.0;1;3;44.0;1;2;2;38.611111111111114
65;38.0;7;30.0;40.0;45.0;45.0;35.5;22;16;6;32.5;32.5;35.0;45.0;39.0;0;15;15;0;6;6;0;1;30.0;1;3;45.0;1;3;0.0;0;3;35.0;1;2;42.0;1;2;45.0;1;3;42.0;1;2;2;35.05555555555556
66;33.666666666666664;6;22.5;40.0;35.0;45.0;35.15625;22;16;5;27.5;40.0;30.0;40.0;45.0;0;15;15;0;6;6;0;1;35.0;1;3;45.0;1;3;0.0;0;3;45.0;1;2;42.0;1;2;40.0;1;3;40.0;1;2;2;37.666666666666664
67;26.53846153846154;4;15.0;15.0;40.0;0.0;23.333333333333332;12;9;1;15.0;0.0;0.0;35.0;0.0;0;3;3;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;35.0;1;3;0.0;0;2;1;0.0
68;36.666666666666664;4;40.0;0.0;0.0;0.0;33.75;3;3;1;0.0;0.0;0.0;45.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
70;32.111111111111114;6;21.666666666666668;35.0;35.0;40.0;33.6875;16;16;6;30.0;35.0;35.0;40.0;32.0;2;21;15;6;8;5;3;1;25.0;2;3;30.0;2;3;0.0;0;3;40.0;1;2;43.0;1;2;40.0;1;3;40.0;1;2;2;32.75
72;27.0;4;22.5;25.0;30.0;15.0;30.0;15;12;3;30.0;15.0;0.0;40.0;0.0;1;9;6;3;3;1;2;2;0.0;0;3;22.5;2;3;0.0;0;3;0.0;0;2;0.0;0;2;35.0;1;3;0.0;0;2;1;18.61111111111111
73;28.653846153846153;4;20.0;30.0;35.0;0.0;28.61111111111111;18;9;1;23.333333333333332;0.0;0.0;35.0;0.0;0;6;6;0;2;2;0;1;0.0;0;3;40.0;1;3;0.0;0;3;0.0;0;2;0.0;0;2;35.0;1;3;0.0;0;2;1;17.77777777777778
74;30.42222222222222;6;23.333333333333332;30.0;30.0;39.0;29.53125;27;16;4;22.5;33.333333333333336;25.0;35.0;30.0;0;15;15;0;6;6;0;1;30.0;1;3;35.0;1;3;0.0;0;3;35.0;1;2;42.0;1;2;35.0;1;3;43.0;1;2;1;29.833333333333332
75;29.066666666666666;5;22.5;30.0;35.0;28.0;36.3125;16;16;6;35.0;35.0;42.0;35.0;46.0;1;17;15;2;7;6;1;1;30.0;1;3;40.0;1;3;0.0;0;3;31.5;2;2;37.0;1;2;35.0;1;3;32.0;1;2;1;27.305555555555557
78;35.666666666666664;6;27.5;40.0;40.0;40.0;35.78125;19;16;5;35.0;27.5;30.0;40.0;35.0;0;15;15;0;6;6;0;1;30.0;1;3;45.0;1;3;0.0;0;3;45.0;1;2;41.0;1;2;40.0;1;3;40.0;1;2;2;32.94444444444444
79;33.24444444444445;6;26.666666666666668;30.0;32.5;41.0;36.09375;19;16;5;27.5;40.0;35.0;40.0;40.0;0;15;15;0;6;6;0;1;45.0;1;3;30.0;1;3;0.0;0;3;45.0;1;2;38.0;1;2;40.0;1;3;40.0;1;2;2;36.388888888888886
81;30.266666666666666;6;22.5;30.0;30.0;37.0;34.375;19;16;6;30.0;35.0;40.0;35.0;40.0;2;20;15;5;8;4;4;1;27.5;2;3;40.0;1;3;0.0;0;3;35.0;1;2;21.5;2;2;35.0;1;3;38.0;1;2;2;30.27777777777778
82;39.93333333333333;7;35.0;45.0;40.0;37.0;40.3125;16;16;6;40.0;35.0;30.0;40.0;45.0;0;15;15;0;6;6;0;1;50.0;1;3;40.0;1;3;0.0;0;3;45.0;1;2;40.0;1;2;40.0;1;3;35.0;1;2;2;37.94444444444444
84;37.333333333333336;7;35.0;45.0;40.0;40.0;31.607142857142858;20;14;4;35.0;22.5;0.0;40.0;30.0;1;15;9;6;5;2;3;1;23.333333333333332;3;3;40.0;1;3;0.0;0;3;0.0;0;2;0.0;0;2;40.0;1;3;0.0;0;2;2;31.764705882352942
86;32.08888888888889;6;23.333333333333332;30.0;45.0;34.0;32.75;25;16;4;26.666666666666668;25.0;32.0;35.0;40.0;1;18;15;3;7;6;1;1;30.0;1;3;30.0;2;3;0.0;0;3;30.0;1;2;41.0;1;2;30.0;1;3;43.0;1;2;2;33.72222222222222
87;36.53333333333333;7;35.0;40.0;30.0;44.0;33.6875;18;16;6;35.0;30.0;32.0;30.0;35.0;0;15;15;0;6;6;0;1;35.0;1;3;40.0;1;3;0.0;0;3;40.0;1;2;43.0;1;2;30.0;1;3;40.0;1;2;2;35.833333333333336
88;35.55555555555555;6;23.333333333333332;40.0;40.0;45.0;31.964285714285715;26;14;3;21.666666666666668;22.5;0.0;40.0;45.0;1;12;9;3;4;1;3;2;15.0;1;3;35.0;1;3;0.0;0;3;0.0;0;2;0.0;0;2;25.0;2;3;0.0;0;2;1;21.11111111111111
89;36.666666666666664;7;30.0;40.0;35.0;40.0;33.6875;16;16;6;30.0;30.0;30.0;40.0;37.0;0;15;15;0;6;6;0;1;40.0;1;3;40.0;1;3;0.0;0;3;45.0;1;2;39.0;1;2;30.0;1;3;40.0;1;2;2;39.94444444444444
90;32.8;6;20.0;40.0;40.0;36.0;33.78125;25;16;5;22.5;30.0;37.0;45.0;42.0;0;15;15;0;6;6;0;1;45.0;1;3;50.0;1;3;0.0;0;3;34.0;1;2;42.0;1;2;45.0;1;3;40.0;1;2;2;32.72222222222222
91;37.46666666666667;7;30.0;45.0;45.0;36.0;39.375;16;16;6;40.0;35.0;40.0;35.0;50.0;0;15;15;0;6;6;0;1;30.0;1;3;40.0;1;3;0.0;0;3;45.0;1;2;41.0;1;2;35.0;1;3;45.0;1;2;3;40.333333333333336
92;34.0;7;35.0;35.0;30.0;30.0;34.5625;18;16;5;30.0;40.0;29.0;45.0;30.0;1;18;15;3;7;5;2;1;22.5;2;3;30.0;1;3;0.0;0;3;35.0;1;2;40.0;1;2;45.0;1;3;35.0;1;2;2;32.888888888888886
94;33.55555555555556;6;23.333333333333332;35.0;45.0;40.0;27.678571428571427;20;14;3;22.5;15.0;0.0;35.0;40.0;0;3;3;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;30.0;1;3;0.0;0;2;1;17.5
95;30.4;5;22.5;32.5;22.5;38.0;32.78125;22;16;4;25.0;27.5;41.0;30.0;45.0;0;15;15;0;6;6;0;1;35.0;1;3;35.0;1;3;0.0;0;3;45.0;1;2;38.0;1;2;30.0;1;3;40.0;1;2;2;35.166666666666664
98;33.0;6;22.5;35.0;40.0;40.0;34.375;19;16;6;30.0;30.0;35.0;40.0;45.0;2;21;15;6;8;5;3;1;25.0;2;3;32.5;2;3;0.0;0;3;30.0;1;2;43.0;1;2;30.0;1;3;45.0;1;2;2;36.083333333333336
99;22.636363636363637;2;13.75;27.5;0.0;0.0;18.633333333333333;27;9;1;13.4;0.0;0.0;35.0;0.0;0;3;3;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;35.0;1;3;0.0;0;2;1;26.666666666666668
100;36.2;7;35.0;40.0;35.0;44.0;30.09375;24;16;3;27.5;25.0;28.5;35.0;36.0;0;15;15;0;6;6;0;1;30.0;1;3;30.0;1;3;0.0;0;3;45.0;1;2;39.0;1;2;35.0;1;3;30.0;1;2;2;35.388888888888886
102;34.0;7;30.0;40.0;30.0;40.0;33.5625;22;16;4;25.0;25.0;41.0;40.0;40.0;1;18;15;3;7;5;2;1;25.0;2;3;35.0;1;3;0.0;0;3;35.0;1;2;38.0;1;2;40.0;1;3;40.0;1;2;2;31.916666666666668
103;26.923076923076923;5;15.0;0.0;30.0;30.0;24.166666666666668;15;9;1;17.5;0.0;0.0;25.0;0.0;0;3;3;0;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;15.0;1;3;0.0;0;2;1;0.0
105;33.02222222222222;6;23.333333333333332;40.0;30.0;46.0;32.53125;19;16;5;35.0;35.0;30.0;30.0;39.0;1;17;15;2;7;5;2;1;40.0;1;3;35.0;1;3;0.0;0;3;28.5;2;2;42.0;1;2;30.0;1;3;40.0;1;2;2;32.77777777777778
106;25.384615384615383;4;15.0;15.0;35.0;0.0;20.833333333333332;12;9;1;15.0;0.0;0.0;30.0;0.0;0;3;3;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;30.0;1;3;0.0;0;2;1;0.0
107;37.333333333333336;6;27.5;45.0;30.0;50.0;34.6875;22;16;5;28.333333333333332;35.0;45.0;35.0;40.0;0;15;15;0;6;6;0;1;30.0;1;3;35.0;1;3;0.0;0;3;30.0;1;2;42.0;1;2;30.0;1;3;40.0;1;2;2;33.333333333333336
108;31.333333333333332;6;22.5;30.0;35.0;40.0;33.1875;19;16;6;30.0;35.0;32.0;40.0;31.0;1;18;15;3;7;6;1;1;30.0;2;3;40.0;1;3;0.0;0;3;30.0;1;2;40.0;1;2;40.0;1;3;40.0;1;2;2;34.638888888888886
110;35.0;7;35.0;35.0;30.0;35.0;31.71875;25;16;3;27.5;27.5;30.0;40.0;40.0;0;15;15;0;6;6;0;1;30.0;1;3;35.0;1;3;0.0;0;3;35.0;1;2;37.0;1;2;40.0;1;3;30.0;1;2;2;35.666666666666664
111;17.272727272727273;1;15.0;0.0;0.0;15.0;15.0;21;6;0;15.0;0.0;0.0;15.0;0.0;2;12;6;6;4;0;4;2;0.0;0;3;15.0;2;3;0.0;0;3;0.0;0;2;0.0;0;2;15.0;2;3;0.0;0;2;1;10.0
112;31.833333333333332;5;22.5;30.0;45.0;35.0;34.15625;25;16;5;32.5;20.0;38.0;40.0;44.0;2;23;15;8;9;5;4;1;20.0;3;3;40.0;1;3;0.0;0;3;33.0;2;2;42.0;1;2;40.0;1;3;40.0;1;2;1;28.38888888888889
113;34.0;6;25.0;40.0;40.0;40.0;32.875;16;16;6;30.0;30.0;30.0;40.0;38.0;0;15;15;0;6;6;0;1;40.0;1;3;30.0;1;3;0.0;0;3;30.0;1;2;43.0;1;2;30.0;1;3;35.0;1;2;2;32.72222222222222
114;23.58974358974359;3;16.666666666666668;15.0;30.0;0.0;24.166666666666668;15;9;1;17.5;0.0;0.0;35.0;0.0;0;3;3;0;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;20.0;1;3;0.0;0;2;1;10.0
115;32.333333333333336;5;27.5;27.5;30.0;40.0;26.875;24;12;1;22.5;22.5;0.0;35.0;0.0;1;12;9;3;4;2;2;2;30.0;1;3;27.5;2;3;0.0;0;3;0.0;0;2;0.0;0;2;35.0;1;3;0.0;0;2;1;18.041666666666668
119;16.73160173160173;0;15.428571428571429;0.0;15.0;0.0;22.0;7;4;1;0.0;0.0;0.0;25.0;0.0;2;18;6;12;6;0;6;2;0.0;0;3;18.5;4;3;0.0;0;3;0.0;0;2;0.0;0;2;25.0;2;3;0.0;0;2;1;16.666666666666668
