NUMERO;PROMEDIO_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_TEXTOS;NOTA_EE_UNO;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;NOTA_MULTIVARIADO;VECES_MULTIVARIADO;CREDITOS_MULTIVARIADO;NOTA_ESTADISTICA_UNO;VECES_ESTADISTICA_UNO;CREDITOS_ESTADISTICA_UNO;NOTA_TERMODINAMICA;VECES_TERMODINAMICA;CREDITOS_TERMODINAMICA;NOTA_TGS;VECES_TGS;CREDITOS_TGS;NOTA_ETICA;VECES_ETICA;CREDITOS_ETICA;NOTA_PORIENTADA;VECES_PORIENTADA;CREDITOS_PORIENTADA;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
1409;35.56666666666667;7;32.0;38.0;37.0;41.0;38.23529411764706;17;17;7;38.0;32.0;31.0;41.0;47.0;1;19;16;3;7;6;1;1;37.0;2;3;34.0;1;3;37.0;1;3;30.0;1;2;43.0;1;2;41.0;1;3;0.0;0;2;2;33.294117647058826
1410;31.644444444444446;5;27.666666666666668;32.0;32.0;30.0;33.3;18;15;5;30.0;28.5;30.0;40.0;0.0;1;19;16;3;7;5;2;1;25.0;2;3;31.0;1;3;40.0;1;3;36.0;1;2;41.0;1;2;38.0;1;3;0.0;0;2;2;30.764705882352942
1411;32.15384615384615;5;30.0;38.0;40.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
1412;30.87179487179487;4;24.333333333333332;35.0;36.0;0.0;32.666666666666664;12;12;2;23.0;0.0;27.0;44.0;0.0;0;5;5;0;2;2;0;2;0.0;0;3;0.0;0;3;0.0;0;3;32.0;1;2;0.0;0;2;33.0;1;3;0.0;0;2;1;0.0
1413;35.53333333333333;6;32.0;36.0;37.0;45.0;36.05882352941177;20;17;7;31.0;31.0;31.0;46.0;41.0;1;21;18;3;8;7;1;1;33.0;2;3;42.0;1;3;38.0;1;3;36.0;1;2;41.0;1;2;42.0;1;3;36.0;1;2;2;35.361111111111114
1415;34.03333333333333;6;24.0;30.0;37.0;49.0;36.911764705882355;20;17;7;34.0;31.5;30.0;47.0;46.0;0;18;18;0;7;7;0;1;40.0;1;3;41.0;1;3;41.0;1;3;30.0;1;2;31.0;1;2;47.0;1;3;41.0;1;2;2;36.388888888888886
1416;29.615384615384617;3;26.0;28.0;35.0;0.0;24.6;4;4;2;0.0;0.0;0.0;30.0;0.0;0;4;4;0;2;2;0;2;0.0;0;3;0.0;0;3;0.0;0;3;33.0;1;2;41.0;1;2;0.0;0;3;0.0;0;2;1;21.333333333333332
1417;29.58888888888889;4;22.333333333333332;26.0;32.0;39.0;31.529411764705884;27;17;5;15.0;25.0;31.0;41.0;45.0;0;18;18;0;7;7;0;1;32.0;1;3;31.0;1;3;35.0;1;3;33.0;1;2;35.0;1;2;33.0;1;3;44.0;1;2;2;35.138888888888886
1418;34.61538461538461;5;29.5;45.0;33.0;0.0;26.066666666666666;29;15;3;20.666666666666668;11.333333333333334;30.0;42.0;0.0;0;7;7;0;3;3;0;1;0.0;0;3;0.0;0;3;0.0;0;3;33.0;1;2;44.0;1;2;38.0;1;3;0.0;0;2;1;18.0
1419;31.766666666666666;5;24.5;32.0;33.0;39.0;34.14705882352941;23;17;7;30.5;32.0;30.0;39.0;42.0;0;18;18;0;7;7;0;1;37.0;1;3;45.0;1;3;41.0;1;3;39.0;1;2;47.0;1;2;36.0;1;3;49.0;1;2;2;38.72222222222222
1420;35.1;6;30.0;30.0;39.0;49.0;35.529411764705884;20;17;6;27.0;31.0;33.0;44.0;38.0;0;18;18;0;7;7;0;1;30.0;1;3;34.0;1;3;42.0;1;3;36.0;1;2;42.0;1;2;40.0;1;3;43.0;1;2;2;38.166666666666664
1421;35.266666666666666;7;30.5;32.0;35.0;47.0;38.94117647058823;17;17;7;36.0;40.0;37.0;42.0;45.0;1;21;18;3;8;7;1;1;30.5;2;3;36.0;1;3;41.0;1;3;37.0;1;2;36.0;1;2;42.0;1;3;39.0;1;2;2;38.166666666666664
