NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_HIST,VECES_HIST,CREDITOS_HIST,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA,NOTA_CD&C,VECES_CD&C,CREDITOS_CD&C,NOTA_DITO,VECES_DITO,CREDITOS_DITO,CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,ESTADO_UNO,PROMEDIO_DOS
30,1,4,40,1,2,42,1,1,42,1,2,30,1,3,40,1,1,39,1,2,0,15,15,0,7,7,0,1,1,36.47058824
34,1,4,45,1,2,35,1,1,43,1,2,31,1,3,39,1,1,30,1,2,0,15,15,0,7,7,0,1,1,33.17647059
33,2,4,44,1,2,34,1,1,43,1,2,30,1,3,33,1,1,30,1,2,1,15,15,0,7,7,0,1,1,33
37,2,4,42,1,2,38,1,1,38,1,2,39,2,3,33,1,1,38,1,2,2,15,15,0,7,7,0,1,1,35.29411765
32,2,4,40,1,2,36,1,1,42,1,2,30,3,3,41,1,1,44,1,2,2,15,15,0,7,7,0,2,3,34.64705882
36,2,4,42,1,2,40,1,1,40,1,2,41,1,3,38,1,1,40,1,2,1,15,15,0,7,7,0,1,1,34.23529412
37,1,4,43,1,2,41,1,1,42,1,2,30,1,3,35,1,1,45,1,2,0,15,15,0,7,7,0,1,1,36.17647059
30,2,4,47,1,2,37,1,1,39,1,2,30,2,3,38,1,1,30,2,2,3,15,15,0,7,7,0,1,1,36.82352941
34,1,4,41,1,2,37,1,1,49,1,2,37,1,3,39,1,1,42,1,2,0,15,15,0,7,7,0,1,1,35.82352941
32,2,4,32,1,2,36,1,1,45,1,2,30,2,3,40,1,1,31,1,2,2,15,15,0,7,7,0,1,1,32.70588235
45,3,4,40,1,2,40,1,1,43,1,2,31,2,3,33,1,1,40,1,2,2,15,15,0,7,7,0,2,3,33.11764706
20,3,4,39,1,2,38,1,1,40,1,2,30,2,3,34,1,1,35,1,2,2,15,11,4,7,6,1,2,3,24.625
35,2,4,41,1,2,34,1,1,40,1,2,30,2,3,36,1,1,38,1,2,2,15,15,0,7,7,0,1,1,35.11764706
30,2,4,38,1,2,30,1,1,40,1,2,30,2,3,36,1,1,35,2,2,3,15,15,0,7,7,0,1,1,35.52941176
31,2,4,39,1,2,36,1,1,42,1,2,32,1,3,39,1,1,35,1,2,1,15,15,0,7,7,0,1,1,35.35294118
33,2,4,43,1,2,35,1,1,36,1,2,32,1,3,39,1,1,32,1,2,1,15,15,0,7,7,0,1,1,33.29411765
9,1,4,12,1,2,11,1,1,14,1,2,4,1,3,11,1,1,0,1,2,0,15,0,15,7,0,7,2,3,0
21,2,4,36,1,2,26,2,1,39,1,2,25,2,3,35,2,1,19,2,2,5,15,5,10,7,3,4,2,3,0
33,2,4,44,1,2,38,1,1,40,1,2,40,3,3,40,1,1,35,1,2,2,15,15,0,7,7,0,2,3,34
38,1,4,43,1,2,45,1,1,49,1,2,47,1,3,45,1,1,46,1,2,0,15,15,0,7,7,0,1,1,42.70588235
31,2,4,43,1,2,36,1,1,37,1,2,32,2,3,32,1,1,33,1,2,2,15,15,0,7,7,0,1,1,34.29411765
33,2,4,46,1,2,30,1,1,37,1,2,33,1,3,38,1,1,36,1,2,1,15,15,0,7,7,0,1,1,32.94117647
13,2,4,36,1,2,33,1,1,39,1,2,14,2,3,36,1,1,24,2,2,3,15,6,9,7,4,3,2,3,1
14,1,4,42,1,2,37,1,1,43,1,2,30,1,3,34,1,1,40,1,2,0,15,11,4,7,6,1,1,1,0
30,2,4,45,1,2,37,1,1,37,1,2,36,2,3,32,1,1,32,1,2,2,15,15,0,7,7,0,1,1,36
31,2,4,40,1,2,36,1,1,42,1,2,30,2,3,37,1,1,37,1,2,2,15,15,0,7,7,0,1,1,32.23529412
25,1,4,40,1,2,36,1,1,40,1,2,21,1,3,40,1,1,40,1,2,0,15,8,7,7,5,2,1,1,0
35,3,4,41,1,2,41,1,1,41,1,2,31,3,3,39,1,1,39,1,2,2,15,15,0,7,7,0,2,3,34.29411765
30,1,4,39,1,2,40,1,1,41,1,2,33,2,3,41,1,1,38,1,2,1,15,15,0,7,7,0,1,1,31.82352941
38,2,4,46,1,2,40,1,1,47,1,2,30,2,3,42,1,1,46,1,2,2,15,15,0,7,7,0,1,1,37.76470588
12,1,4,30,1,2,14,1,1,5,1,2,14,1,3,11,1,1,0,1,2,0,15,2,13,7,1,6,2,3,0
0,0,4,0,0,2,35,1,1,0,0,2,0,0,3,0,0,1,0,0,2,0,15,1,14,1,1,6,2,3,37.2
36,1,4,38,1,2,40,1,1,40,1,2,40,1,3,39,1,1,44,1,2,0,15,15,0,7,7,0,1,1,37.17647059
39,2,4,47,1,2,38,1,1,49,1,2,35,1,3,42,1,1,42,1,2,1,15,15,0,7,7,0,1,1,38.82352941
39,1,4,42,1,2,40,1,1,42,1,2,36,1,3,41,1,1,42,1,2,0,15,15,0,7,7,0,1,1,36.47058824
30,1,4,34,1,2,32,1,1,41,1,2,32,2,3,31,1,1,40,1,2,1,15,15,0,7,7,0,1,1,33
33,2,4,31,1,2,37,1,1,36,1,2,34,1,3,34,1,1,36,1,2,1,15,15,0,7,7,0,1,1,36.17647059
35,1,4,40,1,2,37,1,1,40,1,2,34,2,3,37,1,1,39,1,2,1,15,15,0,7,7,0,1,1,35.85714286
32,1,4,44,1,2,39,1,1,38,1,2,41,1,3,39,1,1,39,1,2,0,15,15,0,7,7,0,1,1,33.94117647
