NOTA_DIFERENCIAL,VECES_DIFERENCIAL,CREDITOS_DIFERENCIAL,NOTA_PROG_BASICA,VECES_PROG_BASICA,CREDITOS_PROG_BASICA,NOTA_CATEDRA_FJC,VECES_CATEDRA_FJC,CREDITOS_CATEDRA_FJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEMINARIO,VECES_SEMINARIO,CREDITOS_SEMINARIO,NOTA_CATEDRA_DEM,VECES_CATEDRA_DEM,CREDITOS_CATEDRA_DEM,NOTA_CATEDRA_CON,VECES_CATEDRA_CON,CREDITOS_CATEDRA_CON,NOTA_LOGICA,VECES_LOGICA,CREDITOS_LOGICA,NOTA_EE_UNO,VECES_EE_UNO,CREDITOS_EE_UNO,PROMEDIO_UNO,CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,RENDIMIENTO_1
12,2,4,16,3,3,33,1,1,36,1,2,11.66666667,3,1,28,2,1,31,1,1,25,2,3,0,0,0,10.83333333,7,32,4,28,15,3,12,2,1
36,1,4,34,1,3,44,1,1,40,1,2,47,1,1,42,1,1,40,1,1,36,1,3,0,0,0,37.9375,0,16,16,0,8,8,0,1,2
29.5,2,4,28.66666667,3,3,33,1,1,34,1,2,31,1,1,30,1,1,43,1,1,21.5,2,3,0,0,0,16.32758621,4,29,6,23,12,5,7,2,1
27,3,4,38,1,3,31,1,1,41,1,2,33,1,1,40,1,1,41,1,1,36,1,3,0,0,0,23.20833333,2,24,12,12,10,7,3,2,1
30.5,2,4,40,1,3,43,1,1,37,1,2,20,2,1,44,1,1,46,1,1,37,1,3,0,0,0,27.61904762,2,21,15,6,10,7,3,2,1
26,2,4,35,1,3,40,1,1,39,1,2,33,1,1,43,1,1,45,1,1,33,1,3,23,1,2,26.95454545,1,22,12,10,10,7,3,2,1
29,2,4,28.33333333,3,3,25.5,2,1,37,1,2,35,1,1,27,2,1,32,1,1,26.5,2,3,0,0,0,15.29032258,6,31,4,27,14,3,11,2,1
30,1,4,30,2,3,37,1,1,38,1,2,40,1,1,37,1,1,42,1,1,30,1,3,8,1,2,26.0952381,1,21,16,5,10,8,2,2,1
31,1,4,30,1,3,41,1,1,37,1,2,27,3,1,29.5,2,1,36,1,1,37,1,3,33,1,2,28.5,3,21,16,5,12,7,5,2,1
19.66666667,3,4,30,1,3,35,1,1,37,1,2,42,1,1,35,1,1,37,1,1,32,1,3,0,0,0,20.31944444,2,24,12,12,10,7,3,2,1
0,1,4,0,1,3,0,1,1,0,1,2,0,1,1,0,1,1,0,1,1,10,1,3,0,0,0,1.875,0,16,0,16,8,0,8,2,1
30,1,4,35,1,3,38,1,1,40,1,2,34.5,2,1,42,1,1,42,1,1,32,1,3,0,0,0,32.79411765,1,17,16,1,9,8,1,1,2
31,1,4,32,1,3,44,1,1,38,1,2,38,1,1,37,1,1,42,1,1,33,1,3,33,1,2,34.55555556,0,18,18,0,9,9,0,1,2
8.333333333,3,4,8.5,2,3,23,3,1,36,1,2,1.666666667,3,1,22.5,2,1,38,1,1,22.5,2,3,0,0,0,8.1,9,35,3,32,17,2,15,2,1
0,1,4,0,1,3,18,1,1,5,1,2,0,1,1,8,1,1,8,1,1,10,1,3,0,0,0,4.625,0,16,0,16,8,0,8,2,1
31,1,4,34,1,3,42,1,1,41,1,2,35,1,1,46,1,1,40,1,1,33,1,3,42,1,2,36.33333333,0,18,18,0,9,9,0,1,2
27.5,2,4,35,1,3,42,1,1,30,1,2,30,1,1,37,1,1,43,1,1,23.5,2,3,0,0,0,21.63043478,2,23,9,14,10,6,4,2,1
32,1,4,37,2,3,33,1,1,39,1,2,30,1,1,30,1,1,35,1,1,30,1,3,0,0,0,28.15789474,1,19,16,3,9,8,1,2,1
36,1,4,31.5,2,3,39,1,1,39,1,2,44,1,1,41,1,1,41,1,1,34,1,3,8,1,2,28.54761905,1,21,16,5,10,8,2,2,1
30,1,4,32,1,3,39,1,1,39,1,2,33,1,1,42,1,1,44,1,1,34,1,3,39,1,2,35.11111111,0,18,18,0,9,9,0,1,2
40,1,4,35,1,3,40,1,1,39,1,2,40,1,1,42,1,1,43,1,1,35,1,3,6,1,2,34.72222222,0,18,16,2,9,8,1,1,2
30,1,4,19.5,2,3,16.5,2,1,38,1,2,32,1,1,34,1,1,39,1,1,34,1,3,0,0,0,23.9,2,20,12,8,10,6,4,2,1
32,1,4,18,1,3,35,1,1,33,1,2,9,1,1,32,1,1,40,1,1,27,2,3,0,0,0,23.42105263,1,19,9,10,9,5,4,2,1
32,1,4,30.66666667,3,3,35,1,1,36,1,2,17,2,1,42,1,1,42,1,1,31,1,3,0,0,0,22.65217391,3,23,15,8,11,7,4,2,1
32,1,4,36,1,3,40,1,1,39,1,2,50,1,1,47,1,1,42,1,1,33,1,3,46,1,2,38,0,18,18,0,9,9,0,1,2
30,1,4,32,1,3,38,1,1,38,1,2,43,1,1,42,1,1,43,1,1,34,1,3,45,1,2,36.11111111,0,18,18,0,9,9,0,1,2
33,1,4,30,1,3,41,1,1,37,1,2,40,1,1,33,1,1,39,1,1,34,1,3,0,0,0,34.4375,0,16,16,0,8,8,0,1,2
5.5,2,4,7.5,2,3,43,1,1,37,1,2,4.5,2,1,38,1,1,41,1,1,9,2,3,0,0,0,10.07407407,4,27,5,22,12,4,8,2,1
7.333333333,3,4,23,2,3,4.5,2,1,33,2,2,17,2,1,13.33333333,3,1,34,1,1,25.5,2,3,0,0,0,8.601851852,9,36,3,33,17,2,15,2,1
32,1,4,30,1,3,38,1,1,40,1,2,30,1,1,42,1,1,40,1,1,26.5,2,3,0,0,0,27.76315789,1,19,13,6,9,7,2,2,1
30,1,4,31.5,2,3,42,1,1,41,1,2,33,1,1,37,1,1,42,1,1,28.5,2,3,3,1,2,22.58333333,2,24,13,11,11,7,4,2,1
32,1,4,34.5,2,3,31.33333333,3,1,29.5,2,2,18.66666667,3,1,30,1,1,40,1,1,30,1,3,40,1,2,21.5,6,27,15,12,15,7,8,2,1
11,2,4,33,1,3,12.66666667,3,1,45,1,2,19,2,1,17,3,1,32,1,1,25.5,2,3,0,0,0,13.93452381,7,28,6,22,15,3,12,2,1
13,2,4,19,2,3,37,1,1,38,1,2,33,1,1,40,1,1,34,1,1,31,1,3,0,0,0,18.34782609,2,23,9,14,10,6,4,2,1
33,1,4,27,3,3,34,1,1,39,1,2,30,1,1,34,1,1,39,1,1,32,1,3,0,0,0,23.81818182,2,22,13,9,10,7,3,2,1
30,1,4,28.5,2,3,40,1,1,39,1,2,38,1,1,43,1,1,41,1,1,32,1,3,0,0,0,28.5,1,19,13,6,9,7,2,2,1
36,1,4,34,1,3,33,1,1,43,1,2,38,1,1,35,1,1,39,1,1,34,1,3,31,1,2,35.61111111,0,18,18,0,9,9,0,1,2
32,1,4,35,1,3,39,1,1,38,1,2,38,1,1,36,1,1,41,1,1,28,2,3,0,0,0,28.78947368,1,19,13,6,9,7,2,2,1
30,1,4,36,1,3,7.666666667,3,1,25.5,2,2,40,1,1,32,1,1,40,1,1,33,1,3,0,0,0,24.88333333,3,20,13,7,11,6,5,2,1
24,2,4,36,1,3,34,1,1,33,1,2,38,1,1,32,1,1,39,1,1,34,1,3,0,0,0,25.75,1,20,12,8,9,7,2,2,1
27,2,4,39,1,3,30,2,1,34,1,2,41,1,1,34,1,1,36,1,1,32,1,3,0,0,0,25.23809524,2,21,12,9,10,7,3,2,1
0,0,0,19,1,3,22,1,1,18,1,2,14,1,1,20,1,1,39,1,1,24,1,3,0,0,0,21.66666667,0,12,1,11,7,1,6,2,1
31,1,4,37,1,3,30,1,1,20,3,2,38,1,1,30,1,1,39,1,1,36,1,3,0,0,0,26,2,20,14,6,10,7,3,2,1
38,1,4,46,1,3,45,1,1,47,1,2,45,1,1,49,1,1,41,1,1,44,1,3,0,0,0,43.5,0,16,16,0,8,8,0,1,3
0,1,4,7,1,3,12,1,1,14,1,2,33,1,1,0,1,1,32,1,1,2,1,3,0,0,0,8.25,0,16,2,14,8,2,6,2,1
39,1,4,44,1,3,44,1,1,50,1,2,46,1,1,38,1,1,44,1,1,41,1,3,50,1,2,43.5,0,18,18,0,9,9,0,1,3
30,1,4,45,1,3,48,1,1,50,1,2,43,1,1,39,1,1,48,1,1,38,1,3,41,1,2,40.5,0,18,18,0,9,9,0,1,3
27,2,4,39,1,3,42,1,1,38,1,2,43,1,1,33,1,1,40,1,1,35,1,3,4,1,2,26,1,22,12,10,10,7,3,2,1
21.5,2,4,35,1,3,32,1,1,31,1,2,41,1,1,31,1,1,37,1,1,34,1,3,0,0,0,24.8,1,20,12,8,9,7,2,2,1
39,1,4,43,1,3,35,1,1,31,1,2,40,1,1,33,1,1,39,1,1,35,1,3,43,1,2,38.05555556,0,18,18,0,9,9,0,1,2
3,2,4,0,2,3,0,2,1,0,2,2,36,1,1,0,2,1,6,2,1,0.5,2,3,0,0,0,1.790322581,7,31,1,30,15,1,14,2,1
30,1,4,43,1,3,39,1,1,40,1,2,45,1,1,37,1,1,45,1,1,37,1,3,45,1,2,38.66666667,0,18,18,0,9,9,0,1,2
19.5,2,4,34,1,3,35.5,2,1,50,1,2,40,1,1,43,1,1,45,1,1,33,1,3,36,1,2,26.7173913,2,23,14,9,11,8,3,2,1
