NOTA_INGECO,VECES_INGECO,CREDITOS_INGECO,NOTA_DDP,VECES_DDP,CREDITOS_DDP,NOTA_IO_DOS,VECES_IO_DOS,CREDITOS_IO_DOS,NOTA_CONEM,VECES_CONEM,CREDITOS_CONEM,NOTA_TDE,VECES_TDE,CREDITOS_TDE,NOTAS_RDC,VECES_RDC,CREDITOS_RDC,NOTA_CTRL,VECES_CTRL,CREDITOS_CTRL,CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,PROMEDIO_SIETE
38,1,2,50,1,3,37,1,2,30,1,3,39,2,3,41,1,2,37,1,2,1,20,17,3,8,7,1,1,32.33333333
27,1,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,2,0,2,1,0,1,2,0
35,1,2,50,1,3,47,1,2,43,1,3,41,1,3,44,1,2,44,1,2,0,17,17,0,7,7,0,1,30.42857143
30,1,2,45,1,3,46,1,2,39,1,3,39,1,3,41,1,2,40,1,2,0,17,17,0,7,7,0,1,36.88888889
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
35,1,2,50,1,3,42,1,2,37,1,3,38,1,3,42,1,2,43,1,2,0,17,17,0,7,7,0,1,35.83333333
30,1,2,40,1,3,31,1,2,47,2,3,44,1,3,41,1,2,33,1,2,1,20,17,3,8,7,1,1,26.69565217
36,1,2,49,1,3,40,1,2,39,2,3,41,1,3,42,1,2,31,1,2,1,20,17,3,8,7,1,1,30.23809524
36,1,2,40,1,3,33,1,2,43,1,3,34,1,3,42,1,2,43,1,2,0,17,17,0,7,7,0,1,33.57142857
37,1,2,50,1,3,41,1,2,35,1,3,35,1,3,39,1,2,35,1,2,0,17,17,0,7,7,0,1,30.04761905
37,1,2,44,1,3,34,1,2,40,2,3,43,1,3,41,1,2,43,1,2,1,20,17,3,8,7,1,1,36
35,1,2,45,1,3,41,2,2,37,1,3,32,1,3,42,1,2,38,2,2,2,21,17,4,9,7,2,1,26.66666667
35,1,2,47,1,3,41,1,2,34,1,3,42,1,3,39,1,2,37,1,2,0,17,17,0,7,7,0,1,23
33,1,2,50,1,3,38,1,2,35,1,3,35,1,3,42,1,2,38,1,2,0,17,17,0,7,7,0,1,34.59090909
31,1,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,2,2,0,1,1,0,1,41
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
36,2,2,40,1,3,36,1,2,34,1,3,36,1,3,40,1,2,37,2,2,2,21,17,4,9,7,2,2,23.84615385
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
13,2,2,36,1,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,1,7,3,4,3,1,2,2,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
38,1,2,49,1,3,43,1,2,36,1,3,39,1,3,40,1,2,41,1,2,0,17,17,0,7,7,0,1,31.52380952
36,1,2,42,1,3,31,1,2,31,2,3,40,1,3,34,1,2,35,1,2,1,20,17,3,8,7,1,1,26.79166667
37,3,2,41,1,3,33,2,2,41,3,3,35,2,3,0,0,2,33,1,2,4,30,15,15,12,6,6,2,11.57894737
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
44,1,2,46,1,3,31,1,2,40,1,3,37,2,3,39,1,2,31,1,2,1,20,17,3,8,7,1,1,36.44444444
0,0,2,25,1,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,3,0,3,1,0,1,2,0
18,1,2,33,1,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,5,3,2,2,1,1,2,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
38,2,2,33,1,3,38,1,2,33,1,3,43,2,3,39,1,2,36,1,2,2,22,17,5,9,7,2,2,21.38709677
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
50,2,2,49,1,3,36,1,2,32,1,3,40,1,3,37,1,2,40,1,2,1,19,17,2,8,7,1,1,24.92592593
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,33,1,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,3,3,0,1,1,0,1,0
34,1,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,2,2,0,1,1,0,1,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
41,1,2,47,1,3,39,1,2,38,1,3,43,1,3,44,1,2,43,1,2,0,17,17,0,7,7,0,1,37.05555556
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
33,2,2,47,1,3,38,1,2,32,1,3,42,1,3,37,1,2,37,1,2,1,19,17,2,8,7,1,1,36.11111111
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
42,1,2,50,1,3,45,1,2,38,1,3,41,1,3,30,1,2,36,1,2,0,17,17,0,7,7,0,1,22.96153846
35,1,2,47,1,3,32,1,2,30,1,3,40,1,3,42,1,2,32,1,2,0,17,17,0,7,7,0,1,23.34615385
38,2,2,42,1,3,36,1,2,30,2,3,38,1,3,40,1,2,30,1,2,2,22,17,5,9,7,2,2,25.66666667
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
39,1,2,50,1,3,42,1,2,42,1,3,41,1,3,43,1,2,35,1,2,0,17,17,0,7,7,0,1,27
40,1,2,47,1,3,38,1,2,33,1,3,38,1,3,37,1,2,40,1,2,0,17,17,0,7,7,0,1,35.22222222
