NOTA_EE_UNO,VECES_EE_UNO,CREDITOS_EE_UNO,NOTA_L_DOS,VECES_L_DOS,CREDITOS_L_DOS,NOTA_HSE,VECES_HSE,CREDITOS_HSE,NOTA_INGECO,VECES_INGECO,CREDITOS_INGECO,NOTA_GEO_FIS,VECES GEO_FIS,CREDITOS_GEO_FIS,NOTA_SIG,VECES_SIG,CREDITOS_SIG,NOTA_LEGIC,VECES_LEGIC,CREDITOS_LEGIC,NOTA_ECO_DOS,VECES_ECO_DOS,CREDITO_ECO_DOS,CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,ESTADO SEIS,PROMEDIO_SIETE
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
43,1,2,35,2,2,48,1,1,43,1,2,36,2,3,40,1,3,40,1,2,37,1,2,2,17,17,0,8,8,0,1,1,36.6875
40,1,2,44,1,2,40,1,1,36,2,2,37,1,3,39,1,3,44,1,2,38,1,2,1,17,17,0,8,8,0,1,1,39.625
41,1,2,44,1,2,46,1,1,44,1,2,30,1,3,44,1,3,35,1,2,33,1,2,0,17,17,0,8,8,0,1,1,37.9375
49,1,2,45,1,2,45,1,1,41,1,2,33,1,3,41,1,3,41,1,2,42,1,2,0,17,17,0,8,8,0,1,1,39.5
40,1,2,31,2,2,44,1,1,31,1,2,40,1,3,40,1,3,35,1,2,33,1,2,1,17,17,0,8,8,0,1,1,38.25
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
31,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,2,1,7,2,3,0
44,1,2,44,1,2,40,1,1,34,1,2,42,1,3,35,1,3,44,1,2,40,1,2,0,17,17,0,8,8,0,1,1,41.375
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
50,1,2,41,1,2,44,1,1,42,1,2,35,1,3,42,1,3,41,1,2,41,1,2,0,17,17,0,8,8,0,1,1,39.9375
40,1,2,39,1,2,45,1,1,35,1,2,30,2,3,34,1,3,43,1,2,39,3,2,2,17,17,0,8,8,0,2,3,39.1875
44,1,2,43,1,2,45,1,1,38,2,2,30,2,3,36,2,3,40,1,2,36,1,2,3,17,17,0,8,8,0,1,1,37.375
35,1,2,33,1,2,46,1,1,40,1,2,35,1,3,36,1,3,42,1,2,35,1,2,0,17,17,0,8,8,0,1,1,39.5625
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
44,1,2,43,1,2,40,1,1,37,1,2,30,2,3,35,1,3,45,1,2,34,1,2,1,17,17,0,8,8,0,1,1,36.3125
30,1,2,34,1,2,41,1,1,34,1,2,42,1,3,37,1,3,40,1,2,37,1,2,0,17,17,0,8,8,0,1,1,36.125
33,1,2,42,1,2,40,1,1,38,1,2,30,1,3,33,1,3,40,1,2,40,1,2,0,17,17,0,8,8,0,1,1,39.125
19,1,2,0,0,2,45,1,1,17,2,2,0,0,3,30,1,3,42,1,2,35,1,2,1,17,8,9,7,4,4,2,3,30.72727273
43,1,2,36,1,2,40,1,1,39,1,2,42,1,3,32,1,3,36,1,2,36,1,2,0,17,17,0,8,8,0,1,1,39.0625
45,1,2,37,1,2,48,1,1,41,1,2,39,1,3,41,1,3,41,1,2,36,1,2,0,17,17,0,8,8,0,1,1,37.0625
38,1,2,39,1,2,47,1,1,38,1,2,32,4,3,30,1,3,37,1,2,38,1,2,1,17,17,0,8,8,0,2,3,37.875
47,1,2,44,1,2,44,1,1,40,1,2,30,1,3,44,1,3,42,1,2,37,1,2,0,17,17,0,8,8,0,1,1,41.75
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
41,1,2,40,1,2,46,1,1,31,1,2,32,1,3,37,1,3,42,1,2,40,1,2,0,17,17,0,8,8,0,1,1,39.25
30,1,2,44,1,2,47,1,1,33,1,2,30,1,3,32,1,3,32,1,2,32,1,2,0,17,17,0,8,8,0,1,1,39.125
42,1,2,44,1,2,48,1,1,32,1,2,31,1,3,42,1,3,40,1,2,35,1,2,0,17,17,0,8,8,0,1,1,39.3125
39,1,2,35,1,2,43,3,1,34,1,2,30,2,3,35,1,3,39,1,2,41,1,2,2,17,17,0,8,8,0,2,3,37
42,1,2,41,1,2,35,1,1,39,1,2,43,2,3,33,1,3,36,1,2,34,1,2,1,17,17,0,8,8,0,1,1,40.1875
41,1,2,33,2,2,40,1,1,41,1,2,38,1,3,36,1,3,42,1,2,41,1,2,1,17,17,0,8,8,0,1,1,36.375
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
36,1,2,40,1,2,45,1,1,45,1,2,36,1,3,40,1,3,42,1,2,37,1,2,0,17,17,0,8,8,0,1,1,40.4375
40,1,2,45,1,2,45,1,1,40,1,2,30,1,3,44,1,3,43,1,2,41,1,2,0,17,17,0,8,8,0,1,1,35.9375
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
43,1,2,43,1,2,48,1,1,34,1,2,34,2,3,36,1,3,37,1,2,41,1,2,1,17,17,0,8,8,0,1,1,37.0625
42,1,2,39,1,2,44,1,1,39,1,2,31,1,3,41,1,3,38,1,2,37,1,2,0,17,17,0,8,8,0,1,1,38.21428571
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
40,1,2,46,1,2,43,1,1,41,1,2,39,2,3,35,1,3,40,1,2,36,1,2,1,17,17,0,8,8,0,1,1,41.5
31,1,2,40,1,2,36,1,1,34,1,2,33,2,3,41,2,3,39,1,2,45,1,2,2,17,17,0,8,8,0,1,1,38.625
35,1,2,43,1,2,45,1,1,36,1,2,36,1,3,41,1,3,40,1,2,36,1,2,0,17,17,0,8,8,0,1,1,38.125
43,1,2,41,1,2,45,1,1,37,2,2,32,2,3,30,1,3,34,1,2,30,1,2,2,17,17,0,8,8,0,1,1,37.5
44,1,2,45,1,2,41,1,1,39,1,2,39,1,3,39,1,3,41,1,2,40,1,2,0,17,17,0,8,8,0,1,1,39.4375
45,1,2,45,1,2,45,1,1,38,1,2,43,1,3,42,1,3,40,1,2,39,1,2,0,17,17,0,8,8,0,1,1,40.1875
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
45,1,2,42,1,2,43,1,1,42,1,2,32,1,3,43,1,3,41,1,2,38,1,2,0,17,17,0,8,8,0,1,1,39.3125
47,1,2,45,1,2,47,1,1,35,1,2,30,2,3,36,1,3,39,1,2,40,1,2,1,17,17,0,8,8,0,1,1,38.625
40,1,2,45,1,2,44,1,1,42,1,2,39,1,3,44,1,3,42,1,2,39,1,2,0,17,17,0,8,8,0,1,1,40.75
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
42,1,2,41,1,2,41,1,1,35,1,2,42,1,3,39,1,3,44,1,2,37,1,2,0,17,17,0,8,8,0,1,1,38.4375
30,1,2,39,1,2,43,1,1,36,1,2,30,1,3,36,1,3,40,1,2,35,1,2,0,17,17,0,8,8,0,1,1,34.5
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
44,1,2,38,1,2,46,1,1,43,1,2,30,1,3,35,1,3,38,1,2,41,1,2,0,17,17,0,8,8,0,1,1,40.6875
35,1,2,33,1,2,47,1,1,44,1,2,30,1,3,37,1,3,42,1,2,39,1,2,0,17,17,0,8,8,0,1,1,39.9375
40,1,2,38,1,2,44,1,1,33,1,2,30,1,3,35,1,3,42,1,2,41,1,2,0,17,17,0,8,8,0,1,1,38.9375
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
38,1,2,34,1,2,34,1,1,39,1,2,34,1,3,32,1,3,42,1,2,38,1,2,0,17,17,0,8,8,0,1,1,41
48,1,2,33,1,2,35,1,1,38,1,2,32,1,3,33,1,3,38,1,2,34,1,2,0,17,17,0,8,8,0,1,1,38.25
40,1,2,33,1,2,47,1,1,45,1,2,34,1,3,39,1,3,42,1,2,43,1,2,0,17,17,0,8,8,0,1,1,42.125
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
