CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,PROMEDIO_DOS,NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB
2,14,7,7,6,4,2,2,3.01765E+14,25.66666667,3,4,29,2,3,42,1,1,36,1,2,32,1,1,32,1,3
0,14,14,0,6,6,0,1,3.01176E+14,43,1,4,34,1,3,42,1,1,43,1,2,41,1,1,41,1,3
1,14,11,3,6,5,1,1,3.42353E+14,36,1,4,28.33333333,3,3,44,1,1,40,1,2,32,1,1,41,1,3
1,14,10,4,6,5,1,2,2.77353E+14,22.66666667,3,4,30,1,3,42,1,1,42,1,2,33,1,1,32,1,3
0,14,4,10,6,6,0,2,0,17,1,4,26,1,3,44,1,1,37,1,2,40,1,1,26,1,3
0,14,14,0,6,6,0,1,1.72941E+14,30,1,4,42,1,3,40,1,1,32,1,2,39,1,1,45,1,3
0,14,14,0,6,6,0,1,3.52647E+14,36,1,4,45,1,3,48,1,1,36,1,2,45,1,1,42,1,3
0,14,14,0,6,6,0,1,3.87059E+14,34,1,4,41,1,3,43,1,1,46,1,2,30,1,1,41,1,3
0,14,14,0,6,6,0,1,35.5,37,1,4,34,1,3,40,1,1,38,1,2,42,1,1,47,1,3
3,14,4,10,6,3,3,2,2.64706E+14,12.5,2,4,20.5,2,3,43,1,1,37,1,2,35,1,1,14.5,2,3
0,14,14,0,6,6,0,1,0,33,1,4,36,1,3,45,1,1,37,1,2,43,1,1,43,1,3
0,14,14,0,6,6,0,1,3.72941E+14,32,1,4,35,1,3,46,1,1,41,1,2,42,1,1,45,1,3
0,14,14,0,6,6,0,1,33.5,36,1,4,42,1,3,44,1,1,39,1,2,42,1,1,45,1,3
