GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO
0;1;10;1;20;5;454.59;67.54;67.54;64.0;59.25;53.22;53.22;53.95;0;41.05;50.87;11;3;10;2;2008;2
0;0;10;0;0;0;486.27;72.55;72.55;66.74;52.34;59.48;59.48;62.54;0;53.1;73.83;11;3;10;3;2008;2
0;2;20;1;90;30;485.28;60.49;60.49;61.41;61.18;64.21;64.21;67.71;0;50.76;71.53;11;6;10;1;2008;2
0;1;14;1;20;5;490.19;81.5;81.5;61.41;59.25;64.21;64.21;60.25;0;55.47;111.94;11;3;10;2;2008;1
0;0;8;0;0;0;470.9;67.54;67.54;76.74;39.03;55.25;55.25;55.99;0;43.59;52.09;11;5;10;2;2008;2
0;1;8;1;20;5;442.26;75.27;75.27;61.41;59.25;55.25;55.25;58.09;0;28.53;67.6;11;3;10;3;2008;
0;1;14;1;20;5;461.1;75.27;75.27;58.93;55.7;57.32;57.32;53.95;0;55.47;43.48;11;3;10;3;2008;2
0;2;17;1;20;5;497.25;67.54;67.54;69.69;68.28;61.76;61.76;70.81;0;43.59;111.94;11;1;10;3;2008;2
0;1;6;1;20;5;499.7;72.55;72.55;64.0;59.25;66.94;66.94;62.54;0;50.76;64.23;10;3;10;2;2008;2
1;1;16;1;20;5;472.03;72.55;72.55;64.0;54.01;64.21;64.21;58.09;0;43.59;88.67;10;2;10;3;2008;3
1;2;15;1;20;5;508.98;78.22;78.22;58.93;61.18;66.94;66.94;62.54;0;48.41;69.48;9;3;10;3;2008;1
0;1;20;1;86;15;520.07;89.86;89.86;58.93;63.27;64.21;64.21;65.0;0;50.76;64.23;9;6;10;2;2008;2
