PROMEDIO_DOS,CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,RENDIMIENTO_2,NOTA_SEGUNDA_LENGUA_UNO,VECES_SEGUNDA_LENGUA_UNO,CREDITOS_SEGUNDA_LENGUA_UNO,NOTA_EI_UNO,VECES_EI_UNO,CREDITOS_EI_UNO,NOTA_FISICA_UNO,VECES_FISICA_UNO,CREDITOS_FISICA_UNO,NOTA_INTEGRAL,VECES_INTEGRAL,CREDITOS_INTEGRAL,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA,NOTA_PROG_ORIENTADA,VECES_PROG_ORIENTADA,CREDITOS_PROG_ORIENTADA,NOTA_ETICA,VECES_ETICA,CREDITOS_ETICA,NOTA_GT_UNO,VECES_GT_UNO,CREDITOS_GT_UNO
17.56,3,25,7,18,9,3,6,2,1,40,1,2,0,0,0,16.5,2,3,14.5,2,3,24,2,3,32,1,3,49,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.5,1,20,14,6,8,6,2,2,2,0,0,0,35,1,2,30,1,3,27,2,3,38,1,3,39,1,3,44,1,2,50,1,1
0,0,2,0,2,1,0,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,4,4,0,2,2,0,1,3,37,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.41071429,3,28,11,17,11,5,6,2,1,48,1,2,26,1,2,29.33333333,3,3,19.5,2,3,30,1,3,36,1,3,45,1,2,45,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.33333333,0,18,13,5,7,5,2,2,1,45,1,2,22,1,2,30,1,3,5,1,3,32,1,3,35,1,3,44,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,0,10,5,5,4,2,2,2,1,40,1,2,9,1,2,0,0,0,0,0,0,6,1,3,43,1,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.375,2,24,16,8,10,7,3,2,1,35,2,2,49,1,2,38,1,3,37,1,3,27,2,3,39,1,3,37,1,2,40,1,1
22.375,3,28,10,18,11,5,6,2,1,44,1,2,42,1,2,27,2,3,22.5,2,3,27,2,3,31,1,3,41,1,2,50,1,1
13,0,3,0,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,3,0,0,0,0,0,0,0,0,0
31.27272727,1,22,16,6,9,7,2,2,2,45,1,2,41,1,2,29,2,3,34,1,3,30,1,3,41,1,3,39,1,2,36,1,1
28.62,2,25,13,12,10,6,4,2,1,44,1,2,49,1,2,25,2,3,27.5,2,3,43,1,3,37,1,3,41,1,2,50,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,2,2,0,1,1,0,1,4,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.44444444,1,9,7,2,4,3,1,2,1,41.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,35,1,3,34,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.81818182,1,22,16,6,9,7,2,1,2,44,1,2,38,1,2,38,1,3,27,2,3,30,1,3,41,1,3,50,1,2,50,1,1
21,1,19,7,12,7,3,4,2,1,41,1,2,0,0,0,18,1,3,15,2,3,12,1,3,36,1,3,37,1,2,0,0,0
25.88,2,25,13,12,10,6,4,2,1,38,1,2,37,1,2,34,1,3,26.5,2,3,26.5,2,3,36,1,3,39,1,2,50,1,1
27.72,2,25,16,9,10,7,3,2,1,40,1,2,43,1,2,35,1,3,31,2,3,26,2,3,37,1,3,45,1,2,50,1,1
23.51785714,3,28,13,15,11,6,5,2,1,49,1,2,30,1,2,29,2,3,30,2,3,24.5,2,3,40,1,3,45,1,2,40,1,1
1.428571429,1,7,0,7,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,5,2,2,0,0,0
13.62962963,4,27,6,21,10,3,7,2,1,0,0,0,0,0,0,23.66666667,3,3,12,2,3,17,2,3,30,1,3,35,1,2,50,1,1
17.33823529,5,34,13,21,13,6,7,2,1,41,1,2,38,1,2,31,3,3,16.5,2,3,20.66666667,3,3,30,1,3,46,1,2,45,1,1
22.875,2,24,13,11,9,5,4,2,1,37,1,2,24,1,2,11.66666667,3,3,37,1,3,30,1,3,37,1,3,40,1,2,0,0,0
41.84210526,0,19,19,0,8,8,0,1,3,50,1,2,50,1,2,38,1,3,30,1,3,34,1,3,49,1,3,46,1,2,50,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.28,2,25,19,6,10,8,2,2,1,47,1,2,30,1,2,33.5,2,3,31,1,3,32.5,2,3,40,1,3,46,1,2,50,1,1
30.45454545,1,22,17,5,9,7,2,2,2,47,1,2,20,1,2,33,1,3,35,1,3,30,2,3,43,1,3,34,1,2,45,1,1
13.90909091,3,22,4,18,8,2,6,2,1,43,1,2,0,0,0,12,2,3,0,0,0,17.5,2,3,18.5,2,3,38,1,2,0,0,0
41.78947368,0,19,19,0,8,8,0,1,3,50,1,2,45,1,2,35,1,3,42,1,3,35,1,3,44,1,3,43,1,2,50,1,1
13.06818182,3,22,6,16,9,3,6,2,1,6.5,2,2,0,0,0,3,2,3,0,0,0,30,1,3,14.5,2,3,41,1,2,50,1,1
35.36842105,0,19,17,2,8,7,1,1,2,48,1,2,24,1,2,30,1,3,31,1,3,30,1,3,43,1,3,43,1,2,40,1,1
29.18181818,1,22,16,6,9,7,2,2,1,40,1,2,41,1,2,31,1,3,25,2,3,30,1,3,38,1,3,30,1,2,48,1,1
45.42105263,0,19,19,0,8,8,0,1,4,50,1,2,50,1,2,42,1,3,40,1,3,44,1,3,49,1,3,47,1,2,44,1,1
17.81578947,2,19,7,12,7,3,4,2,1,47,1,2,0,0,0,19,2,3,0,0,0,30,1,3,8.5,2,3,36,1,2,0,0,0
33.31818182,1,22,19,3,9,8,1,1,2,43,1,2,43,1,2,35,2,3,30,1,3,30,1,3,44,1,3,47,1,2,50,1,1
20.96153846,3,26,13,13,10,5,5,2,1,42,1,2,32,1,2,30,1,3,23.33333333,3,3,31,1,3,32,1,3,24,2,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.55,4,30,12,18,11,5,6,2,1,42,1,2,34,1,2,26.5,2,3,14.66666667,3,3,35,2,3,32,1,3,40,1,2,0,0,0
37.58823529,0,17,17,0,7,7,0,1,2,0,0,0,48,1,2,30,1,3,30,1,3,31,1,3,46,1,3,41,1,2,50,1,1
30.3,1,20,17,3,8,7,1,2,2,0,0,0,30,1,2,32,2,3,38,1,3,33,1,3,34,1,3,44,1,2,47,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,2,22,10,12,8,4,4,2,1,34,1,2,0,0,0,28.5,2,3,28.5,2,3,30,1,3,38,1,3,37,1,2,0,0,0
39.57894737,0,19,19,0,8,8,0,1,2,44,1,2,48,1,2,35,1,3,30,1,3,33,1,3,48,1,3,40,1,2,50,1,1
39,0,19,19,0,8,8,0,1,2,44,1,2,50,1,2,33,1,3,30,1,3,36,1,3,44,1,3,37,1,2,50,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.86,2,25,17,8,10,7,3,2,1,28,1,2,30,1,2,32,2,3,30,1,3,30.5,2,3,32,1,3,41,1,2,50,1,1
25.38,2,25,16,9,10,7,3,2,1,33,1,2,43,1,2,34,1,3,22.5,2,3,30,2,3,36,1,3,36,1,2,43,1,1
33.23529412,0,17,17,0,7,7,0,1,2,0,0,0,33,1,2,30,1,3,30,1,3,30,1,3,40,1,3,31,1,2,47,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.6969697,5,33,9,24,12,4,8,2,1,45,1,2,39,1,2,13.33333333,3,3,14.33333333,3,3,29,2,3,43,1,3,42,1,2,0,0,0
24.375,3,28,16,12,11,7,4,2,1,42,1,2,40,1,2,33,2,3,26,2,3,32.5,2,3,34,1,3,46,1,2,50,1,1
31.70454545,1,22,19,3,9,8,1,2,2,42,1,2,48,1,2,30.5,2,3,35,1,3,30,1,3,36,1,3,39,1,2,45,1,1
42.57894737,0,19,19,0,8,8,0,1,3,45,1,2,46,1,2,36,1,3,40,1,3,39,1,3,46,1,3,47,1,2,50,1,1
16.92,3,25,7,18,9,3,6,2,1,33,1,2,0,0,0,23.5,2,3,23,2,3,20.5,2,3,30,1,3,33,1,2,0,0,0
42.42105263,0,19,19,0,8,8,0,1,3,46,1,2,49,1,2,35,1,3,40,1,3,38,1,3,45,1,3,46,1,2,50,1,1
16.72413793,4,29,8,21,11,4,7,2,1,0,0,0,32,1,2,15,3,3,27.5,2,3,28.5,2,3,30,1,3,34,1,2,50,1,1
23.2962963,3,27,16,11,11,7,4,2,1,34,1,2,36,1,2,28,2,3,33,1,3,30,2,3,32,1,3,35,2,2,50,1,1
31.075,1,20,14,6,8,6,2,2,2,0,0,0,48,1,2,33,1,3,30,1,3,29.5,2,3,43,1,3,36,1,2,47,1,1
50,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,1
31.78947368,1,19,17,2,8,7,1,2,2,43,1,2,0,0,0,30,1,3,31,1,3,31,1,3,41,1,3,34.5,2,2,50,1,1
37.94736842,0,19,19,0,8,8,0,1,2,42,1,2,39,1,2,32,1,3,36,1,3,30,1,3,45,1,3,40,1,2,50,1,1
18.66176471,5,34,10,24,13,5,8,2,1,46,1,2,43,1,2,21,3,3,28.5,2,3,30,1,3,28.33333333,3,3,44,1,2,45,1,1
43.31578947,0,19,19,0,8,8,0,1,3,45,1,2,50,1,2,41,1,3,45,1,3,35,1,3,46,1,3,43,1,2,46,1,1
33.04761905,1,21,19,2,9,8,1,1,2,39.5,2,2,36,1,2,34,1,3,30,1,3,30,1,3,43,1,3,41,1,2,50,1,1
41.78947368,0,19,19,0,8,8,0,1,3,44,1,2,49,1,2,39,1,3,35,1,3,42,1,3,44,1,3,44,1,2,40,1,1
28.6,1,20,14,6,8,6,2,2,1,0,0,0,31,1,2,35,1,3,25,2,3,30,1,3,36,1,3,42,1,2,48,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.02,2,25,16,9,10,7,3,2,1,43,1,2,30,1,2,35,1,3,27,2,3,31.5,2,3,34,1,3,41,1,2,40,1,1
6.375,0,8,0,8,3,0,3,2,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,3,24,1,2,0,0,0
32.36363636,1,22,19,3,9,8,1,1,2,45,1,2,47,1,2,32,2,3,40,1,3,31,1,3,33,1,3,35,1,2,50,1,1
10.625,0,8,2,6,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,1,3,35,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.86363636,1,22,19,3,9,8,1,1,2,50,1,2,47,1,2,37,1,3,30,2,3,30,1,3,40,1,3,45,1,2,50,1,1
28.22,2,25,16,9,10,7,3,2,1,44,1,2,49,1,2,29,2,3,30,1,3,30.5,2,3,37,1,3,45,1,2,50,1,1
28.28,2,25,17,8,10,7,3,2,1,28,1,2,41,1,2,38,1,3,32.33333333,3,3,30,1,3,42,1,3,46,1,2,50,1,1
13.375,4,28,8,20,10,3,7,2,1,0,0,0,6,1,2,30,2,3,10.5,2,3,13.66666667,3,3,34,1,3,49,1,2,0,0,0
50,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,3,0,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.15384615,1,13,5,8,5,2,3,2,1,0,0,0,0,0,0,17,1,3,0,0,0,17,1,3,35,1,3,34,2,2,0,0,0
32.8,0,10,10,0,4,4,0,1,2,40,1,2,0,0,0,30,1,3,0,0,0,0,0,0,32,1,3,31,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.333333333,0,9,0,9,3,0,3,2,1,0,0,0,0,0,0,6,1,3,0,0,0,8,1,3,8,1,3,0,0,0,0,0,0
33.02272727,1,22,19,3,9,8,1,1,2,45,1,2,46,1,2,35,1,3,35.5,2,3,31,1,3,37,1,3,44,1,2,41,1,1
36.18181818,0,11,11,0,4,4,0,1,2,0,0,0,0,0,0,30,1,3,0,0,0,33,1,3,39,1,3,46,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.42105263,0,19,19,0,8,8,0,1,2,48,1,2,49,1,2,37,1,3,30,1,3,31,1,3,43,1,3,41,1,2,50,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.39285714,3,28,16,12,11,7,4,2,1,43,1,2,46,1,2,30,1,3,35.5,2,3,29,2,3,30.5,2,3,40,1,2,50,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.22916667,2,24,12,12,9,5,4,2,1,45,1,2,48,1,2,26.5,2,3,26,2,3,30,1,3,36,1,3,44,1,2,0,0,0
5.5,0,6,0,6,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,8,1,3,0,0,0,0,0,0
25.66,2,25,13,12,10,6,4,2,1,43,1,2,40,1,2,28.5,2,3,22,2,3,30,1,3,34,1,3,41,1,2,50,1,1
7.5,0,6,0,6,2,0,2,2,1,0,0,0,0,0,0,2,1,3,0,0,0,13,1,3,0,0,0,0,0,0,0,0,0
21.6,0,5,2,3,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,0,0,0,39,1,2,0,0,0
27.14285714,1,21,15,6,8,6,2,2,1,37,1,2,30,1,2,36,1,3,12,2,3,33,1,3,41,1,3,35,1,2,0,0,0
17.16666667,4,30,10,20,11,4,7,2,1,45,1,2,17,1,2,34,1,3,17,3,3,14,3,3,34,1,3,47,1,2,0,0,0
22.38461538,3,26,8,18,10,4,6,2,1,0,0,0,45,1,2,28,2,3,29.5,2,3,26.5,2,3,30,1,3,50,1,2,50,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.04166667,2,24,13,11,9,5,4,2,1,43,1,2,23,1,2,36,1,3,31,1,3,24,3,3,40,1,3,50,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.81818182,1,22,19,3,9,8,1,1,2,49,1,2,43,1,2,33,2,3,36,1,3,32,1,3,43,1,3,50,1,2,50,1,1
29,0,13,8,5,5,3,2,2,1,0,0,0,21,1,2,0,0,0,13,1,3,35,1,3,35,1,3,43,1,2,0,0,0
19.4,0,5,2,3,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,41,1,2,0,0,0
27.08,2,25,16,9,10,7,3,2,1,42,1,2,46,1,2,30,1,3,31,1,3,22.66666667,3,3,41,1,3,41,1,2,45,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.64705882,0,17,17,0,7,7,0,1,3,0,0,0,45,1,2,39,1,3,33,1,3,38,1,3,50,1,3,45,1,2,48,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,9,0,9,3,0,3,2,1,0,0,0,0,0,0,0,1,3,0,0,0,9,2,3,0,0,0,0,0,0,0,0,0
35.88888889,0,9,6,3,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,22,1,3,39,1,3,50,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.166666667,6,30,0,30,10,0,10,2,1,0,0,0,0,0,0,4,1,3,14.66666667,3,3,19.33333333,3,3,3.666666667,3,3,0,0,0,0,0,0
41,0,2,2,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,2,0,0,0
32.09090909,1,22,19,3,9,8,1,1,2,41,1,2,39,1,2,35,2,3,30,1,3,31,1,3,40,1,3,44,1,2,50,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
