NOTA_L_TRES,VECES_L_TRES,CREDITOS_L_TRES,NOTA_COMDIG,VECES_COMDIG,CREDITOS_COMDIG,NOTA_FDS,VECES_FDS,CREDITOS_FDS,NOTA_HSE,VECES_HSE,CREDITOS_HSE,NOTA_SISDIN,VECES_SISDIN,CREDITOS_SISDIN,NOTA_ELECPOT,VECES_ELECPOT,CREDITOS_ELECPOT,NOTA_ECO,VECES_ECO,CREDITOS_ECO,CAR_SIETE,NCC_SIETE,NCA_SIETE,NCP_SIETE,NAC_SIETE,NAA_SIETE,NAP_SIETE,EPA_SIETE,PROMEDIO_OCHO
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,37,1,3,30,1,2,0,0,1,27.5,2,2,35,1,3,30,1,2,1,15,10,5,5,4,1,1,39375
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,37,1,3,31,1,2,0,0,1,27.5,2,2,24.33333333,3,3,35,1,2,2,15,7,8,5,3,2,1,370625
0,0,2,15.5,2,3,30,2,2,0,0,1,30,1,2,32,1,3,35,1,2,2,15,9,6,5,3,2,2,3.39583E+14
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,43,1,3,30,1,2,0,0,1,35,1,2,48,1,3,40,1,2,0,15,12,3,5,5,0,1,45
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,42,1,3,19.5,2,2,0,0,1,30,1,2,39,1,3,31,2,2,2,15,10,5,5,3,2,1,396875
0,0,2,38,1,3,35,1,2,0,0,1,25,2,2,33,1,3,45,1,2,1,15,10,5,5,4,1,1,39.75
0,0,2,39,1,3,35,1,2,0,0,1,35,1,2,39,1,3,35,1,2,0,15,12,3,5,5,0,1,40.75
0,0,2,38,1,3,33,1,2,0,0,1,40,1,2,39,1,3,30,1,2,0,15,12,3,5,5,0,1,42375
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,44,1,3,50,1,2,0,0,1,35,1,2,43,1,3,35,1,2,0,15,12,3,5,5,0,1,45125
0,0,2,40,1,3,50,1,2,0,0,1,35,1,2,50,1,3,35,1,2,0,15,12,3,5,5,0,1,45125
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,37,1,3,25,2,2,0,0,1,30,1,2,30,1,3,35,1,2,1,15,10,5,5,4,1,1,378125
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,44,1,3,40,1,2,0,0,1,40,1,2,36,1,3,30,1,2,0,15,12,3,5,5,0,1,43.5
0,0,2,43,1,3,50,1,2,0,0,1,30,1,2,41,1,3,46,1,2,0,15,12,3,5,5,0,1,43.5
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,6.666666667,3,2,1,15,0,15,1,0,1,2,1.5
0,0,2,35,1,3,35,1,2,0,0,1,23.33333333,3,2,20.5,4,3,35,1,2,2,15,7,8,5,3,2,2,335625
0,0,2,36,1,3,35,1,2,0,0,1,30,1,2,28.33333333,3,3,35,1,2,1,15,9,6,5,4,1,1,38875
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,33,1,3,25,2,2,0,0,1,27.5,2,2,33,1,3,30,1,2,2,15,8,7,5,3,2,2,36.25
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,38,1,3,30,1,2,0,0,1,40,1,2,30,1,3,30,2,2,1,15,12,3,5,4,1,1,4.07917E+14
0,0,2,0,0,3,0,0,2,0,0,1,12.4,5,2,0,0,3,9,1,2,1,15,0,15,2,1,1,2,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,36,1,3,30,1,2,0,0,1,40,1,2,36,1,3,30,1,2,0,15,12,3,5,5,0,1,355625
0,0,2,40,1,3,36,1,2,0,0,1,22.5,2,2,21.5,2,3,42,1,2,2,15,7,8,5,3,2,1,39625
0,0,2,40,1,3,50,1,2,0,0,1,40,1,2,50,1,3,45,1,2,0,15,12,3,5,5,0,1,42.5
0,0,2,0,0,3,19,2,2,0,0,1,0,0,2,0,0,3,0,0,2,1,15,0,15,1,0,1,2,0
0,0,2,37,1,3,37,1,2,0,0,1,30,1,2,32,1,3,34,1,2,0,15,12,3,5,5,0,1,38.75
0,0,2,43,1,3,35,1,2,0,0,1,27.5,2,2,40,1,3,35,1,2,1,15,10,5,5,4,1,1,43125
0,0,2,0,0,3,0,0,2,0,0,1,30,1,2,0,0,3,40,1,2,0,15,4,11,2,2,0,2,0
0,0,2,30,1,3,38,1,2,0,0,1,25,2,2,30,1,3,38,1,2,1,15,10,5,5,4,1,1,3.43333E+14
0,0,2,45,1,3,35,1,2,0,0,1,27.5,2,2,41,1,3,40,1,2,1,15,10,5,5,4,1,1,41.5
0,0,2,40,1,3,35,1,2,0,0,1,35,1,2,30,2,3,38,1,2,1,15,12,3,5,4,1,1,39125
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,35,1,3,45,1,2,0,0,1,30,1,2,46,1,3,36,1,2,0,15,12,3,5,5,0,1,36.75
0,0,2,0,0,3,0,0,2,0,0,1,30,1,2,0,0,3,0,0,2,0,15,2,13,1,1,0,2,0
0,0,2,31,1,3,34,1,2,0,0,1,30,1,2,37,2,3,27.66666667,3,2,2,15,10,5,5,3,2,1,38.75
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,25.5,2,2,1,15,0,15,1,0,1,2,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,40,1,3,50,1,2,0,0,1,45,1,2,50,1,3,30,1,2,0,15,12,3,5,5,0,1,43375
0,0,2,36,1,3,29,2,2,0,0,1,30,1,2,26.5,2,3,42,1,2,2,15,7,8,5,3,2,1,40.25
0,0,2,39,1,3,47,1,2,0,0,1,35,1,2,38,1,3,30,1,2,0,15,12,3,5,5,0,1,44.5
0,0,2,44,1,3,31,1,2,0,0,1,30,1,2,26.5,2,3,37,1,2,1,15,9,6,5,4,1,1,39125
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,25,1,2,0,0,3,0,0,2,0,15,0,15,1,1,0,2,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,39,1,3,40,1,2,0,0,1,40,1,2,43,1,3,37,1,2,0,15,12,3,5,5,0,1,43.5
0,0,2,30,1,3,34,1,2,0,0,1,30,1,2,34,1,3,27.5,2,2,1,15,10,5,5,4,1,1,370625
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,35,1,3,19,3,2,0,0,1,21.5,2,2,6.5,2,3,20,2,2,4,15,3,12,5,1,4,2,10375
0,0,2,40,1,3,33,1,2,0,0,1,40,1,2,40,1,3,35,1,2,0,15,12,3,5,5,0,1,41375
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,37,1,3,23.66666667,3,2,0,0,1,30,1,2,36,1,3,31.5,2,2,2,15,10,5,5,3,2,1,34375
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,15,1,2,0,15,0,15,1,1,0,2,0
0,0,2,42,1,3,30,1,2,0,0,1,27.5,2,2,41,1,3,36,1,2,1,15,10,5,5,4,1,1,389375
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,40,1,3,45,1,2,0,0,1,30,1,2,50,1,3,40,1,2,0,15,12,3,5,5,0,1,43.25
0,0,2,0,0,3,0,0,2,0,0,1,30,1,2,0,0,3,0,0,2,0,15,2,13,1,1,0,2,8625
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,44,1,3,50,1,2,0,0,1,45,1,2,30,1,3,35,1,2,0,15,12,3,5,5,0,1,44
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,37,1,3,22.5,2,2,0,0,1,35,1,2,30,1,3,35,1,2,1,15,10,5,5,4,1,1,37
0,0,2,40,1,3,30,1,2,0,0,1,35,1,2,35,1,3,40,1,2,0,15,12,3,5,5,0,1,40625
0,0,2,35,1,3,30,1,2,0,0,1,30,1,2,40,1,3,42,1,2,0,15,12,3,5,5,0,1,37875
0,0,2,43,1,3,34,1,2,0,0,1,35,1,2,38,1,3,39,1,2,0,15,12,3,5,5,0,1,39625
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
