CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO,NOTA_L_UNO,VECES_L_UNO,CREDITOS_L_UNO,NOTA_PYE_UNO,VECES_PYE_UNO,CREDITOS_PYE_UNO,NOTA_VARCOM,VECES_VARCOM,CREDITOS_VARCOM,NOTA_EL_DOS,VECES_EL_DOS,CREDITOS_EL_DOS,NOTA_PROGAPL,VECES_PROGAPL,CREDITOS_PROGAPL,NOTA_CAMPOS,VECES_CAMPOS,CREDITOS_CAMPOS,NOTA_FCD,VECES_FCD,CREDITOS_FCD
1,17,13,4,6,5,1,1,2.66667E+14,0,0,2,30,1,2,35,1,2,40,1,3,40,1,3,25,2,2,40,1,3
0,17,8,9,3,3,0,2,0,0,0,2,30,1,2,0,0,2,0,0,3,40,1,3,0,0,2,40,1,3
0,17,15,2,6,6,0,1,4.16667E+14,0,0,2,30,1,2,35,1,2,35,1,3,30,1,3,35,1,2,40,1,3
0,17,2,15,2,2,0,2,0,0,0,2,30,1,2,0,0,2,0,0,3,15,1,3,0,0,2,0,0,3
1,17,7,10,5,4,1,2,0.333333333,0,0,2,30,1,2,30,1,2,9,1,3,30,1,3,0,0,2,3.666666667,3,3
1,17,6,11,3,2,1,2,0,0,0,2,25,2,2,0,0,2,0,0,3,30,1,3,0,0,2,40,1,3
2,17,11,6,6,4,2,1,3.71667E+14,0,0,2,40,1,2,25,2,2,45,1,3,30,1,3,27.5,2,2,45,1,3
0,17,15,2,6,6,0,1,39,0,0,2,35,1,2,40,1,2,40,1,3,45,1,3,35,1,2,40,1,3
2,17,13,4,6,4,2,1,3.78333E+14,0,0,2,32.5,2,2,40,1,2,37,1,3,50,1,3,25,2,2,45,1,3
0,17,15,2,6,6,0,1,4.06667E+14,0,0,2,35,1,2,30,1,2,30,1,3,50,1,3,35,1,2,40,1,3
0,17,0,17,1,1,0,2,0,0,0,2,20,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
0,17,15,2,6,6,0,1,42.5,0,0,2,35,1,2,40,1,2,35,1,3,40,1,3,45,1,2,35,1,3
0,17,15,2,6,6,0,1,4.36667E+14,0,0,2,40,1,2,50,1,2,35,1,3,50,1,3,30,1,2,50,1,3
0,17,2,15,1,1,0,2,0,0,0,2,35,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
1,17,2,15,2,1,1,2,0,0,0,2,30,1,2,0,0,2,0,0,3,27.5,2,3,0,0,2,0,0,3
0,17,15,2,6,6,0,1,37,0,0,2,35,1,2,40,1,2,30,1,3,40,1,3,30,1,2,40,1,3
0,17,5,12,2,2,0,2,0,0,0,2,30,1,2,0,0,2,0,0,3,40,1,3,0,0,2,0,0,3
0,17,15,2,6,6,0,1,4.26667E+14,0,0,2,30,1,2,40,1,2,35,1,3,35,1,3,35,1,2,40,1,3
0,17,15,2,6,6,0,1,3.80833E+14,0,0,2,35,1,2,35,1,2,45,1,3,40,1,3,35,1,2,45,1,3
