NOTA_EI_CINCO,VECES_EI_CINCO,CREDITOS_EI_CINCO,NOTA_EE_DOS,VECES_EE_DOS,CREDITOS_EE_DOS,NOTA_EI_SEIS,VECES_EI_SEIS,CREDITOS_EI_SEIS,NOTA_ORD_TER,VECES_ORD_TER,CREDITOS_ORD_TER,NOTA_TG_UNO,VECES_TG_UNO,CREDITOS_TG_UNO,CAR_NUEVE,NCC_NUEVE,NCA_NUEVE,NCP_NUEVE,NAC_NUEVE,NAA_NUEVE,NAP_NUEVE,EPA_NUEVE,ESTADO NUEVE,PROMEDIO_DIEZ
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,32,1,2,0,0,3,0,0,3,0,0,2,0,13,2,11,2,1,4,2,3,0
0,0,3,15,1,2,0,0,3,0,0,3,0,0,2,0,13,0,13,2,0,5,2,3,0
31,1,3,50,1,2,0,0,3,38,1,3,50,1,2,0,13,10,3,4,4,1,1,1,41.45454545
39,1,3,40,1,2,38,1,3,45,1,3,50,1,2,0,13,13,0,5,5,0,1,1,44.72727273
37,1,3,39,1,2,30,2,3,34,1,3,50,1,2,1,13,13,0,5,5,0,1,1,44.72727273
35,1,3,45,1,2,0,0,3,36,1,3,50,1,2,0,13,10,3,4,4,1,1,1,44.09090909
35,1,3,36,1,2,0,0,3,38,1,3,49,1,2,0,13,10,3,4,4,1,1,1,42.09090909
37,1,3,35,1,2,0,0,3,37,1,3,7,1,2,0,13,8,5,4,3,2,1,1,33
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
30,1,3,42,1,2,0,0,3,34,1,3,37,1,2,0,13,10,3,4,4,1,1,1,40.09090909
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
35,1,3,37,1,2,0,0,3,42,1,3,39,1,2,0,13,10,3,4,4,1,1,1,37.63636364
34,1,3,50,1,2,0,0,3,46,1,3,36,1,2,0,13,10,3,4,4,1,1,1,39.18181818
31,1,3,38,1,2,0,0,3,44,1,3,43,1,2,0,13,10,3,4,4,1,1,1,42.18181818
40,1,3,46,1,2,0,0,3,41,1,3,50,1,2,0,13,10,3,4,4,1,1,1,41.45454545
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
42,1,3,46,1,2,0,0,3,47,1,3,43,1,2,0,13,10,3,4,4,1,1,1,42.63636364
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
31,1,3,39,1,2,0,0,3,37,1,3,36,1,2,0,13,10,3,4,4,1,1,1,36.54545455
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
38,1,3,45,1,2,0,0,3,48,1,3,42,1,2,0,13,10,3,4,4,1,1,1,42.81818182
36,1,3,41,1,2,41,1,3,44,1,3,45,1,2,0,13,13,0,5,5,0,1,1,40.90909091
36,1,3,42,1,2,0,0,3,39,1,3,47,1,2,0,13,10,3,4,4,1,1,1,44.72727273
0,0,3,8,1,2,0,0,3,0,0,3,0,0,2,0,13,0,13,2,0,5,2,3,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
37,1,3,44,1,2,0,0,3,36,1,3,42,2,2,1,13,10,3,4,4,1,1,1,45.36363636
38,1,3,41,1,2,34,1,3,44,1,3,47,1,2,0,13,13,0,5,5,0,1,1,44.45454545
33,1,3,45,1,2,38,1,3,44,1,3,45,1,2,0,13,13,0,5,5,0,1,1,40.5
40,1,3,50,1,2,0,0,3,38,1,3,46,1,2,0,13,10,3,4,4,1,1,1,40
35,1,3,42,1,2,31,1,3,35,1,3,34,1,2,0,13,13,0,5,5,0,1,1,41.27272727
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
41,1,3,43,1,2,0,0,3,41,1,3,50,1,2,0,13,10,3,4,4,1,1,1,45.45454545
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
39,1,3,49,1,2,0,0,3,46,1,3,42,1,2,0,13,10,3,4,4,1,1,1,43.90909091
38,1,3,37,1,2,32,1,3,44,1,3,45,1,2,0,13,13,0,5,5,0,1,1,40.625
37,1,3,47,1,2,32,1,3,36,1,3,0,0,2,0,13,11,2,5,4,1,1,1,40.75
