CAR_TRES,NCC_TRES,NCA_TRES,NCP_TRES,NAC_TRES,NAA_TRES,NAP_TRES,EPA_TRES,PROMEDIO_CUATRO,NOTA_SEGUNDA_LENGUA_DOS,VECES_SEGUNDA_LENGUA_DOS,CREDITOS_SEGUNDA_LENGUA_DOS,NOTA_EE_DOS,VECES_EE_DOS,CREDITOS_EE_DOS,NOTA_FISICA_DOS,VECES_FISICA_DOS,CREDITOS_FISICA_DOS,NOTA_MULTIVARIADO,VECES_MULTIVARIADO,CREDITOS_MULTIVARIADO,NOTA_ECUACIONES,VECES_ECUACIONES,CREDITOS_ECUACIONES,NOTA_TGS,VECES_TGS,CREDITOS_TGS,NOTA_PROG_AVANZADA,VECES_PROG_AVANZADA,CREDITOS_PROG_AVANZADA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,8,9,6,3,3,2,25,0,0,0,0,0,0,0,0,0,22.66666667,3,3,30,1,3,32,1,2,40,1,3
0,4,4,0,2,2,0,1,0,39,1,2,0,0,0,0,0,0,0,0,0,0,0,0,45,1,2,0,0,0
1,21,15,6,8,6,2,2,27.375,40,1,2,44,1,2,36,1,3,31,1,3,23,2,3,43,1,2,40,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,2,11,5,1,4,2,21.8,0,0,0,20,1,2,11,1,3,0,0,0,0,0,0,36,1,2,11.5,2,3
0,2,0,2,1,0,1,2,0,0,0,0,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,1,1,0,1,0,0,0,0,40,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,25,10,15,9,4,5,2,35.6,0,0,0,35,1,2,30,1,3,26.33333333,3,3,22.5,2,3,40,1,2,35,1,3
2,24,15,9,9,6,3,2,40.94444444,39,1,2,45,1,2,32.5,2,3,29,2,3,38,1,3,35,1,2,40,1,3
2,24,12,12,9,5,4,2,32.45238095,44,1,2,41,1,2,41,1,3,26,2,3,27.5,2,3,30,1,2,39,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,1,1,0,1,0,0,0,0,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,2,0,0,0
