CAR_OCHO,NCC_OCHO,NCA_OCHO,NCP_OCHO,NAC_OCHO,NAA_OCHO,NAP_OCHO,EPA_OCHO,PROMEDIO_NUEVE,VECES_EI_OP_AI,CREDITOS_EI_OP_AI,NOTA_EE_CUATRO,VECES_EE_CUATRO,CREDITOS_EE_CUATRO,NOTA_EI_OP_BI,VECES_EI_OP_BI,CREDITOS_EI_OP_BI,NOTA_ING_ECONOMICA,VECES_ING_ECONOMICA,CREDITOS_ING_ECONOMICA,NOTA_CIBERNETICA_TRES,VECES_CIBERNETICA_TRES,CREDITOS_CIBERNETICA_TRES,NOTA_REDES_COM_TRES,VECES_REDES_COM_TRES,CREDITOS_REDES_COM_TRES,NOTA_DIS_ARQ_SOFT,VECES_DIS_ARQ_SOFT,CRADITOS_DIS_ARQ_SOFT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,2,3,2,1,1,2,48,1,3,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,0,0,0
0,13,13,0,5,5,0,1,42.84615385,1,3,0,0,0,0,0,0,37,1,2,46,1,2,46,1,2,45,1,4
0,16,16,0,6,6,0,1,43.53846154,1,3,0,0,0,36,1,3,40,1,2,44,1,2,46,1,2,49,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,38.46153846,1,3,0,0,0,39,1,3,38,1,2,43,1,2,44,1,2,39,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,18,0,7,7,0,1,36.5,1,3,45,1,2,37,1,3,45,1,2,45,1,2,30,1,2,43,1,4
0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,23,15,8,9,6,3,2,41,2,3,45,1,2,40,1,3,35,2,2,44,1,2,47,1,2,46,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,36.59375,1,3,0,0,0,39,1,3,50,1,2,49,1,2,38,1,2,44,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,43.625,1,3,0,0,0,42,1,3,37,1,2,44,1,2,37,1,2,44,1,4
0,13,13,0,5,5,0,1,45.6,1,3,0,0,0,0,0,0,44,1,2,45,1,2,45,1,2,49,1,4
0,2,2,0,1,1,0,1,48,0,0,0,0,0,0,0,0,33,1,2,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,46.07692308,1,3,0,0,0,42,1,3,50,1,2,50,1,2,38,1,2,49,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,35.09375,1,3,0,0,0,38,1,3,37,1,2,42,1,2,43,1,2,44,1,4
2,21,13,8,8,5,3,2,20.52380952,2,3,0,0,0,30,1,3,31,1,2,36.5,2,2,40,1,2,32,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,43.625,1,3,0,0,0,35,1,3,33,1,2,43,1,2,41,1,2,42,1,4
0,16,16,0,6,6,0,1,41.69230769,1,3,0,0,0,35,1,3,38,1,2,42,1,2,47,1,2,44,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,40.76923077,1,3,0,0,0,39,1,3,35,1,2,44,1,2,44,1,2,48,1,4
0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,39.6875,1,3,0,0,0,40,1,3,40,1,2,43,1,2,43,1,2,42,1,4
0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,16,3,7,6,1,1,43.53846154,2,3,0,0,0,35,1,3,48,1,2,49,1,2,46,1,2,45,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,16,3,7,6,1,1,35,2,3,0,0,0,39,1,3,30,1,2,44,1,2,46,1,2,47,1,4
0,2,0,2,1,0,1,2,45,0,0,0,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,42.375,1,3,0,0,0,37,1,3,49,1,2,44,1,2,38,1,2,46,1,4
0,16,16,0,6,6,0,1,42.38461538,1,3,0,0,0,34,1,3,50,1,2,48,1,2,38,1,2,43,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,33.6875,1,3,0,0,0,36,1,3,34,1,2,44,1,2,46,1,2,45,1,4
0,16,16,0,6,6,0,1,29.3125,1,3,0,0,0,39,1,3,45,1,2,46,1,2,37,1,2,45,1,4
0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,41.23076923,1,3,0,0,0,38,1,3,35,1,2,45,1,2,45,1,2,46,1,4
0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,36.38461538,1,3,0,0,0,38,1,3,33,1,2,42,1,2,42,1,2,47,1,4
