NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;NOTA_ECONOMIA_DOS;VECES_ECONOMIA_DOS;CREDITOS_ECONOMIA_DOS;NOTA_PLINEAL;VECES_PLINEAL;CREDITOS_PLINEAL;NOTA_DERECHO;VECES_DERECHO;CREDITOS_DERECHO;NOTA_IECONOMICA;VECES_IECONOMICA;CREDITOS_IECONOMICA;NOTA_DISENO;VECES_DISENO;CREDITOS_DISENO;NOTA_METODOS;VECES_METODOS;CREDITOS_METODOS;NOTA_SEGURIDAD;VECES_SEGURIDAD;CREDITOS SEGURIDAD;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;RENDIMIENTO_SIETE;PROMEDIO_SIETE
1689;34.0;39.411764705882355;31.0;43.0;40.411764705882355;42.0;0.0;0;36.38235294117647;36.0;40.0;38.0;39.0;42.0;37.69230769230769;0;13;13;0;6;6;0;1;0.0;0;2;31.0;1;3;38.0;1;1;38.0;1;2;40.0;1;2;39.0;1;3;0.0;0;2;43;1;2;3;41.72727272727273
1690;33.233333333333334;38.470588235294116;35.0;49.0;37.388888888888886;36.0;31.0;0;35.2;35.0;38.0;0.0;36.0;37.0;33.27777777777778;1;11;8;3;4;4;0;1;35.0;1;2;30.5;2;3;42.0;1;1;48.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;2;34.0
1695;36.6;36.94117647058823;35.0;37.0;34.53333333333333;36.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;2;0.0;0;3;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;1;0.0
1697;37.6;45.294117647058826;32.0;46.0;44.333333333333336;46.0;47.0;50;41.588235294117645;40.0;35.0;49.0;45.0;46.0;38.875;0;16;16;0;7;7;0;1;33.0;1;2;40.0;1;3;0.0;0;1;37.0;1;2;41.0;1;2;40.0;1;3;34.0;1;2;46;1;2;2;38.916666666666664
1698;36.46666666666667;38.14705882352941;32.0;49.0;38.861111111111114;32.5;18.0;0;40.0;30.0;45.0;46.0;41.0;48.0;26.821428571428573;1;17;14;3;7;5;2;2;7.0;1;2;13.5;2;3;37.0;1;1;30.0;1;2;40.0;1;2;0.0;0;3;33.0;1;2;39;1;2;4;45.333333333333336
1700;30.1;34.23529411764706;30.0;38.0;31.705882352941178;30.0;36.0;0;35.705882352941174;31.0;36.0;39.0;32.0;43.0;29.71875;2;20;15;5;7;5;2;2;30.0;1;2;29.5;2;3;33.0;1;1;27.5;2;2;32.0;1;2;33.0;1;3;38.0;1;2;0;0;2;2;35.77777777777778
1702;38.266666666666666;40.705882352941174;34.0;43.0;39.1764705882353;40.0;41.0;0;41.11764705882353;35.0;45.0;50.0;40.0;47.0;37.76470588235294;0;17;17;0;8;8;0;1;36.0;1;2;33.0;1;3;45.0;1;1;34.0;1;2;41.0;1;2;40.0;1;3;36.0;1;2;42;1;2;3;43.15384615384615
1704;38.06666666666667;41.06666666666667;31.0;0.0;39.35294117647059;39.0;42.0;0;36.733333333333334;30.0;40.0;0.0;38.0;40.0;38.529411764705884;0;17;17;0;8;8;0;1;37.0;1;2;30.0;1;3;47.0;1;1;34.0;1;2;45.0;1;2;40.0;1;3;41.0;1;2;42;1;2;3;41.0
1705;35.13333333333333;37.76470588235294;31.0;43.0;43.22222222222222;42.0;38.0;0;39.76470588235294;31.0;45.0;47.0;43.0;43.0;37.38235294117647;1;20;17;3;8;7;1;1;34.0;1;2;27.5;2;3;45.0;1;1;32.0;1;2;45.0;1;2;40.0;1;3;37.0;1;2;46;1;2;3;40.69230769230769
1707;35.13333333333333;40.64705882352941;34.0;45.0;42.388888888888886;37.0;36.0;0;40.411764705882355;33.0;45.0;50.0;41.0;47.0;36.8235294117647;0;17;17;0;8;8;0;1;37.0;1;2;30.0;1;3;45.0;1;1;30.0;1;2;42.0;1;2;39.0;1;3;36.0;1;2;42;1;2;3;44.92307692307692
1708;38.53333333333333;42.76470588235294;35.0;46.0;42.05555555555556;35.0;44.0;0;41.88235294117647;37.0;45.0;47.0;48.0;45.0;39.333333333333336;0;15;15;0;7;7;0;1;43.0;1;2;35.0;1;3;45.0;1;1;35.0;1;2;43.0;1;2;38.0;1;3;0.0;0;2;42;1;2;3;44.53846153846154
1710;33.03333333333333;40.411764705882355;38.0;39.0;40.0;36.0;40.0;41;41.411764705882355;32.0;40.0;46.0;46.0;41.0;35.03125;1;18;15;3;7;7;0;1;39.0;1;2;33.5;2;3;47.0;1;1;39.0;1;2;36.0;1;2;39.0;1;3;34.0;1;2;0;0;2;2;37.5
1713;35.5;34.13333333333333;36.0;0.0;34.588235294117645;35.0;32.5;0;38.588235294117645;37.0;33.0;48.0;38.0;39.0;33.411764705882355;1;20;17;3;8;8;0;1;30.0;1;2;30.0;2;3;44.0;1;1;30.0;1;2;32.0;1;2;34.0;1;3;36.0;1;2;38;1;2;2;39.0
1714;34.56666666666667;37.0;34.0;44.0;39.111111111111114;33.0;31.0;0;34.3125;30.0;46.0;41.0;37.0;0.0;27.625;2;16;11;5;5;3;2;2;30.0;1;2;23.5;2;3;37.0;1;1;29.5;2;2;0.0;0;2;35.0;1;3;0.0;0;2;0;0;2;2;35.142857142857146
