NOTA_EI_UNO,VECES_EI_UNO,CREDITOS_EI_UNO,NOTA_EI_DOS,VECES_EI_DOS,CREDITOS_EI_DOS,NOTA_GEO_SAL,VECES_GEO_SAL,CREDITOS_GEO_SAL,NOTA_PDI,VECES_PDI,CREDITOS_PDI,NOTA_PROCC,VECES_PROCC,CREDITOS_PROCC,NOTA_AVAP,VECES_AVAP,CREDITOS_AVAP,NOTA_ECONOMET,VECES_ECONOMET,CREDITOS_ECONOMET,CAR_SIETE,NCC_SIETE,NCA_SIETE,NCP_SIETE,NAC_SIETE,NAA_SIETE,NAP_SIETE,EPA_SIETE,ESTADO SIETE,PROMEDIO_OCHO
42,1,2,30,1,2,34,2,3,33,1,3,37,1,2,37,1,2,34,1,2,1,16,16,0,7,7,0,1,1,41.21428571
35,1,2,32,2,2,45,1,3,38,1,3,48,1,2,38,1,2,35,2,2,2,16,16,0,7,7,0,1,1,36.64285714
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
48,1,2,39,1,2,40,1,3,33,1,3,38,1,2,34,1,2,33,2,2,1,16,16,0,7,7,0,1,1,37.5
42,1,2,41,1,2,45,1,3,31,1,3,38,1,2,36,1,2,31,1,2,0,16,16,0,7,7,0,1,1,37.07142857
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,33,1,2,0,0,2,0,16,2,14,1,1,6,2,3,0
42,1,2,42,1,2,48,1,3,35,1,3,47,1,2,34,1,2,30,1,2,0,16,16,0,7,7,0,1,1,37.42857143
36,1,2,43,1,2,34,1,3,32,1,3,38,1,2,34,1,2,37,1,2,0,16,16,0,7,7,0,1,1,36.92857143
50,1,2,50,1,2,43,1,3,40,1,3,37,1,2,43,1,2,40,1,2,0,16,16,0,7,7,0,1,1,42.07142857
48,1,2,39,1,2,38,1,3,32,1,3,36,1,2,30,1,2,31,1,2,0,16,16,0,7,7,0,1,1,34.71428571
34,1,2,41,1,2,44,1,3,45,1,3,38,1,2,41,1,2,30,1,2,0,16,16,0,7,7,0,1,1,40.28571429
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
45,1,2,39,1,2,43,1,3,32,1,3,38,1,2,33,1,2,37,1,2,0,16,16,0,7,7,0,1,1,35.71428571
38,1,2,47,1,2,30,1,3,36,1,3,36,1,2,39,1,2,30,1,2,0,16,16,0,7,7,0,1,1,39.07142857
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
41,1,2,36,2,2,43,1,3,30,1,3,43,1,2,32,1,2,40,2,2,2,16,16,0,7,7,0,1,1,34.21428571
39,1,2,37,1,2,41,1,3,34,2,3,46,1,2,35,1,2,30,1,2,1,16,16,0,7,7,0,1,1,36.28571429
45,1,2,31,1,2,46,1,3,40,1,3,40,1,2,34,1,2,34,1,2,0,16,16,0,7,7,0,1,1,40.42857143
36,1,2,49,1,2,44,1,3,42,1,3,39,1,2,40,1,2,30,1,2,0,16,16,0,7,7,0,1,1,41.42857143
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
38,1,2,44,1,2,47,1,3,41,1,3,41,1,2,37,1,2,40,2,2,1,16,16,0,7,7,0,1,1,40.78571429
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
39,1,2,38,1,2,37,1,3,30,1,3,40,1,2,33,1,2,31,1,2,0,16,16,0,7,7,0,1,1,37.35714286
39,1,2,35,1,2,39,1,3,37,1,3,39,1,2,36,2,2,41,2,2,2,16,16,0,7,7,0,1,1,36.28571429
35,1,2,37,1,2,48,1,3,35,1,3,38,1,2,40,1,2,38,1,2,0,16,16,0,7,7,0,1,1,40.14285714
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
30,1,2,39,1,2,41,1,3,32,1,3,47,1,2,36,1,2,38,1,2,0,16,16,0,7,7,0,1,1,36.21428571
48,1,2,34,1,2,45,1,3,44,2,3,50,1,2,42,1,2,36,3,2,2,16,16,0,7,7,0,2,3,39.21428571
30,1,2,38,1,2,0,0,3,30,2,3,47,1,2,30,3,2,30,1,2,2,16,13,3,6,6,1,2,3,31.33333333
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
43,1,2,40,1,2,45,1,3,33,1,3,44,1,2,31,1,2,34,1,2,0,16,16,0,7,7,0,1,1,38.5
46,1,2,41,1,2,32,1,3,43,1,3,39,1,2,35,1,2,37,1,2,0,16,16,0,7,7,0,1,1,38.35714286
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
37,1,2,47,1,2,35,2,3,31,1,3,39,1,2,34,1,2,30,1,2,1,16,16,0,7,7,0,1,1,35.78571429
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
47,1,2,38,1,2,48,1,3,41,1,3,37,1,2,42,1,2,34,2,2,1,16,16,0,7,7,0,1,1,37.64285714
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
47,1,2,45,1,2,37,1,3,33,1,3,47,1,2,36,1,2,38,1,2,0,16,16,0,7,7,0,1,1,38.35714286
44,1,2,38,1,2,33,1,3,36,1,3,40,1,2,38,1,2,38,1,2,0,16,16,0,7,7,0,1,1,40.14285714
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,22,1,2,0,0,2,0,16,0,16,1,0,7,2,3,23
43,1,2,40,1,2,34,1,3,31,1,3,42,1,2,43,1,2,38,2,2,1,16,16,0,7,7,0,1,1,40.57142857
43,1,2,39,1,2,41,1,3,30,1,3,49,1,2,41,1,2,37,1,2,0,16,16,0,7,7,0,1,1,36.92857143
40,1,2,31,1,2,39,1,3,33,2,3,49,1,2,34,1,2,33,4,2,2,16,16,0,7,7,0,2,3,32.42857143
46,1,2,41,1,2,34,1,3,42,1,3,34,1,2,30,1,2,37,1,2,0,16,16,0,7,7,0,1,1,35.07142857
44,1,2,44,1,2,42,1,3,30,1,3,49,1,2,35,1,2,37,1,2,0,16,16,0,7,7,0,1,1,34.92857143
40,1,2,32,1,2,37,1,3,33,1,3,38,1,2,35,1,2,34,1,2,0,16,16,0,7,7,0,1,1,34.57142857
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
41,1,2,48,1,2,42,1,3,38,1,3,37,1,2,35,1,2,31,1,2,0,16,16,0,7,7,0,1,1,37.71428571
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
47,1,2,32,1,2,47,1,3,44,1,3,35,1,2,36,1,2,31,2,2,1,16,16,0,7,7,0,1,1,36.5
39,1,2,33,1,2,39,1,3,33,1,3,46,1,2,32,1,2,37,3,2,1,16,16,0,7,7,0,2,3,36.64285714
46,1,2,36,1,2,48,1,3,30,1,3,37,1,2,36,1,2,37,3,2,1,16,16,0,7,7,0,2,3,36.42857143
41,1,2,32,1,2,42,1,3,30,1,3,43,1,2,38,1,2,37,1,2,0,16,16,0,7,7,0,1,1,35.64285714
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
44,1,2,36,1,2,39,1,3,38,1,3,43,1,2,47,1,2,41,1,2,0,16,16,0,7,7,0,1,1,42.5
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
43,1,2,36,1,2,48,1,3,41,1,3,41,1,2,38,1,2,32,3,2,1,16,16,0,7,7,0,2,3,37.92857143
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
43,1,2,37,1,2,32,1,3,41,1,3,41,1,2,38,1,2,39,1,2,0,16,16,0,7,7,0,1,1,38.28571429
37,1,2,42,1,2,38,1,3,38,1,3,40,1,2,38,1,2,35,1,2,0,16,16,0,7,7,0,1,1,38.92857143
42,1,2,40,1,2,45,1,3,41,1,3,46,1,2,41,1,2,40,1,2,0,16,16,0,7,7,0,1,1,38.42857143
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
36,1,2,40,1,2,46,1,3,31,1,3,41,1,2,31,1,2,30,1,2,0,16,16,0,7,7,0,1,1,35
37,1,2,42,1,2,43,1,3,35,1,3,46,1,2,36,1,2,39,1,2,0,16,16,0,7,7,0,1,1,38.5
32,1,2,40,1,2,38,1,3,43,1,3,37,1,2,40,1,2,33,1,2,0,16,16,0,7,7,0,1,1,38.71428571
35,1,2,46,1,2,37,1,3,39,1,3,40,1,2,44,1,2,37,1,2,0,16,16,0,7,7,0,1,1,39.64285714
38,1,2,40,1,2,36,1,3,36,1,3,42,1,2,38,1,2,40,1,2,0,16,16,0,7,7,0,1,1,36.42857143
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
42,1,2,45,1,2,46,1,3,32,1,3,43,1,2,40,1,2,44,1,2,0,16,16,0,7,7,0,1,1,41.71428571
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
39,1,2,46,1,2,40,1,3,41,1,3,36,1,2,37,1,2,40,1,2,0,16,16,0,7,7,0,1,1,40.28571429
