iter	MultiClass
219	0.8025867807
220	0.8009973906
221	0.7993002827
222	0.7973561769
223	0.7956134331
224	0.7939989339
225	0.7927826255
226	0.7913088472
227	0.7899301459
228	0.7886471077
229	0.7877965392
230	0.7861633155
231	0.7853859063
232	0.7844042267
233	0.7836743679
234	0.782505765
235	0.7814954072
236	0.780682993
237	0.7798361805
238	0.7788395961
239	0.7773903445
240	0.7756004049
241	0.7739548291
242	0.7723684862
243	0.7710971792
244	0.7697997905
245	0.7685323156
246	0.7678956706
247	0.7662216072
248	0.7651453874
249	0.764156499
250	0.7633793097
251	0.7615435317
252	0.7606783292
253	0.7594926713
254	0.7583703523
255	0.7571804514
256	0.7556435315
257	0.7547066366
258	0.7534767524
259	0.7520658872
260	0.7511994935
261	0.7501938142
262	0.7494147091
263	0.7481569919
264	0.7474750758
265	0.7468458256
266	0.7460336658
267	0.7450654698
268	0.7445861555
269	0.7435396758
270	0.742733471
271	0.741229437
272	0.7403970392
273	0.7392985563
274	0.738003548
275	0.7363890756
276	0.7354472746
277	0.7342111874
278	0.7326961465
279	0.7316476239
280	0.7298665365
281	0.7289833896
282	0.728337735
283	0.7275822777
284	0.726886193
285	0.7257792364
286	0.7250141227
287	0.7242745053
288	0.723256038
289	0.7225359636
290	0.7214987034
291	0.7204564363
292	0.7190116465
293	0.7179021537
294	0.7172209007
295	0.7165416583
296	0.7158668719
297	0.7152888703
298	0.714526346
299	0.7132781541
300	0.712643868
301	0.7116758796
302	0.7107149068
303	0.709861535
304	0.7092815749
305	0.7084937415
306	0.7074287924
307	0.7067752054
308	0.7062847233
309	0.7052236898
310	0.7043581058
311	0.7035993194
312	0.7031271125
313	0.702640977
314	0.7019528987
315	0.7013143229
316	0.6999757969
317	0.6994736579
318	0.698831271
319	0.6979228787
320	0.6969560591
321	0.6961692844
322	0.6953907752
323	0.6946149795
324	0.6936800081
325	0.6929311783
326	0.6919535602
327	0.6912971291
328	0.69059421
329	0.6892116165
330	0.6884856977
331	0.6882053611
332	0.6877507425
333	0.6872503819
334	0.6867360273
335	0.686137414
336	0.6854991056
337	0.6843066272
338	0.6835085662
339	0.6826817368
340	0.6821921008
341	0.6812217265
342	0.6807958245
343	0.6804054001
344	0.6799501022
345	0.6791614431
346	0.6780347749
347	0.6775919252
348	0.677067352
349	0.6763942563
350	0.675831093
351	0.6750419187
352	0.6743268322
353	0.6739098297
354	0.6732885218
355	0.6726625071
356	0.6722032692
357	0.6715848894
358	0.6710700065
359	0.6704608528
360	0.6700105784
361	0.6696022874
362	0.6691420129
363	0.6687006216
364	0.6680989318
365	0.6673758497
366	0.6670439951
367	0.6666848016
368	0.6661050723
369	0.665334477
370	0.6648802066
371	0.6641651835
372	0.6635545509
373	0.6630981423
374	0.6625585712
375	0.6616300139
376	0.6611304588
377	0.6607530847
378	0.660090028
379	0.6597552212
380	0.6589626031
381	0.6584770153
382	0.6579447936
383	0.6574942424
384	0.656767031
385	0.656275869
386	0.6554455378
387	0.6551076225
388	0.6541930807
389	0.6536254055
390	0.6530987367
391	0.6528378223
392	0.6522547351
393	0.6518555408
394	0.651461155
395	0.6509645038
396	0.650589129
397	0.6496414792
398	0.6490123125
399	0.6482710636
400	0.6477661677
401	0.6475358846
402	0.6469380346
403	0.6466515818
404	0.6461456899
405	0.6454552189
406	0.6449950982
407	0.6440698714
408	0.6436047899
409	0.642839616
410	0.6424543274
411	0.6420054462
412	0.6417226019
413	0.641127901
414	0.6403480102
415	0.6400211602
416	0.6396747522
417	0.6387797279
418	0.6385096137
419	0.6381340562
420	0.63775568
421	0.6373590636
422	0.6369528055
423	0.6366360082
424	0.6361487803
425	0.6358750482
426	0.6356121626
427	0.6352818017
428	0.6347701351
429	0.6343219312
430	0.6339323363
431	0.6335253282
432	0.6331555953
433	0.6326432574
434	0.6323413573
435	0.6313386014
436	0.6304481495
437	0.6301326238
438	0.6293528541
439	0.6288538846
440	0.6283758251
441	0.6276117622
442	0.6272979014
443	0.6267240243
444	0.6262528838
445	0.6258441256
446	0.6253186412
447	0.6248891237
448	0.6244847386
449	0.6238040188
450	0.623345395
451	0.6228082181
452	0.6225466893
453	0.62215687
454	0.6214892353
455	0.6209275891
456	0.6205239549
457	0.6201740679
458	0.619599372
459	0.6192372948
460	0.6187160857
461	0.6183926423
462	0.6177622178
463	0.6174878827
464	0.6171934826
465	0.6169329255
466	0.6166279411
467	0.6162830149
468	0.615933525
469	0.6154861965
470	0.6149841569
471	0.6146621926
472	0.6144029566
473	0.6140983096
474	0.6137602059
475	0.6130996984
476	0.6126863039
477	0.6121794316
478	0.6118351051
479	0.6115688446
480	0.6112940738
481	0.6108513406
482	0.6105508883
483	0.6102425551
484	0.6098504968
485	0.6096097907
486	0.609296378
487	0.6090564528
488	0.608616705
489	0.6082040808
490	0.6077853234
491	0.6073919967
492	0.6067580054
493	0.6062952011
494	0.6059106652
495	0.6054308042
496	0.6050364035
497	0.6046023094
498	0.6040826932
499	0.603622299
500	0.6032892582
501	0.6029024163
502	0.6025364747
503	0.6022420267
504	0.601892843
505	0.6015995793
506	0.6014362912
507	0.6009963186
508	0.6005179568
509	0.6001675467
510	0.5997433449
511	0.599502404
512	0.599062956
513	0.5987847798
514	0.5983605127
515	0.5980264652
516	0.5977881056
517	0.5971412759
518	0.5967386387
519	0.5962917182
520	0.5960226822
521	0.5956560323
522	0.5954499725
523	0.5952493868
524	0.5948564731
525	0.5945374524
526	0.5943069933
527	0.593999502
528	0.5937170744
529	0.5934310972
530	0.5932171334
531	0.593016734
532	0.5925051353
533	0.5922671944
534	0.5918977766
535	0.5917014657
536	0.5914418684
537	0.5911879639
538	0.5908292035
539	0.5906567312
540	0.5903942981
541	0.5900713538
542	0.5897168023
543	0.5894507593
544	0.5891160936
545	0.5887276642
546	0.5884886514
547	0.5882773922
548	0.5879744292
549	0.5876734199
550	0.5872818081
551	0.5870286982
552	0.5867618139
553	0.586201347
554	0.5859439417
555	0.585384063
556	0.5851402933
557	0.5849216531
558	0.5846365872
559	0.5838663747
560	0.5837261926
561	0.5835004282
562	0.5832934428
563	0.5829271106
564	0.5827676448
565	0.5824681636
566	0.5822002028
567	0.5819674398
568	0.5815977424
569	0.5813751937
570	0.5812039786
571	0.5809104579
572	0.5806692538
573	0.5803404484
574	0.5800806179
575	0.5798439917
576	0.5796590604
577	0.5794576631
578	0.5792570656
579	0.579040057
580	0.5788348375
581	0.5785018588
582	0.5782147736
583	0.5779712605
584	0.5777352275
585	0.5775328704
586	0.5773215012
587	0.5770111061
588	0.576738073
589	0.5764896163
590	0.5761382532
591	0.575939059
592	0.5757116379
593	0.5753703219
594	0.5750807374
595	0.5748718906
596	0.5746440608
597	0.5744873534
598	0.5743106756
599	0.5740258818
600	0.5737433309
601	0.5735650483
602	0.573286154
603	0.5730806749
604	0.5728630368
605	0.572521133
606	0.5723693406
607	0.5721144127
608	0.571878414
609	0.5715802382
610	0.5713819654
611	0.5710407091
612	0.570833667
613	0.5707042422
614	0.5705609628
615	0.5702460018
616	0.5699858232
617	0.5698001031
618	0.5695849124
619	0.5693918958
620	0.5691492326
621	0.5689704921
622	0.5687808032
623	0.5686023133
624	0.5683988767
625	0.5681002651
626	0.5679118471
627	0.5676845644
628	0.5674099433
629	0.5672371834
630	0.5670499425
631	0.5668653993
632	0.5665880087
633	0.5664258281
634	0.5661830672
635	0.5658984079
636	0.5657028162
637	0.5653459045
638	0.5650322887
639	0.5648627232
640	0.5646790564
641	0.5644837011
642	0.5641398642
643	0.5638962858
644	0.5633755927
645	0.5631856826
646	0.5629812485
647	0.5627304117
648	0.5625493041
649	0.5623128231
650	0.5621084718
651	0.5618778174
652	0.5616500362
653	0.5614388314
654	0.5611530103
655	0.5609773345
656	0.5608088759
657	0.5605987275
658	0.560399127
659	0.5601733678
660	0.5599354489
661	0.5597744836
662	0.5595855734
663	0.5594057552
664	0.5591809248
665	0.5588654826
666	0.5586973652
667	0.5584882255
668	0.5583237609
669	0.5578010233
670	0.5576724379
671	0.5574337981
672	0.557269695
673	0.5570901683
674	0.5569090246
675	0.5567470585
676	0.556574694
677	0.5563746194
678	0.5562146394
679	0.5560385008
680	0.5557592483
681	0.55555277
682	0.5553239672
683	0.5551075464
684	0.554922303
685	0.5545265392
686	0.5543788322
687	0.554224045
688	0.5540471166
689	0.5538796055
690	0.5534034028
691	0.5532200978
692	0.5530188341
693	0.5528636834
694	0.5526337653
695	0.5524444589
696	0.5522495719
697	0.5520059971
698	0.5517875369
699	0.5515674674
700	0.5513829857
701	0.5511945098
702	0.5509759837
703	0.5507920405
704	0.5505827107
705	0.550397358
706	0.5502268737
707	0.5500802855
708	0.5499398066
709	0.5497564002
710	0.5495508711
711	0.5493770262
712	0.5491994415
713	0.5489792682
714	0.5488048647
715	0.5485857362
716	0.5484443445
717	0.5482636337
718	0.5481065776
719	0.5478622208
720	0.5475844617
721	0.5473859651
722	0.5471977704
723	0.5470000839
724	0.5468628734
725	0.5466896023
726	0.5465454848
727	0.5463054378
728	0.5460745567
729	0.5458486674
730	0.5456692346
731	0.5455108594
732	0.5453634398
733	0.5452182163
734	0.5450550126
735	0.5448655041
736	0.5447333472
737	0.5445933394
738	0.5444691414
739	0.5443066253
740	0.5441443372
741	0.5438757904
742	0.5435489684
743	0.5433079607
744	0.5431427787
745	0.5429580539
746	0.542835279
747	0.5426024892
748	0.5424225498
749	0.5422814051
750	0.5420895266
751	0.5419387208
752	0.5417344272
753	0.5415718474
754	0.5414276165
755	0.5412290514
756	0.5410718633
757	0.5408907457
758	0.5407459855
759	0.5405463808
760	0.5403746142
761	0.5402581945
762	0.5401099647
763	0.5399548652
764	0.5397938634
765	0.5396301819
766	0.5394917849
767	0.5393268637
768	0.5391858865
769	0.5390006336
770	0.5388774961
771	0.5386877165
772	0.5385245007
773	0.5383703716
774	0.5382279264
775	0.5380725409
776	0.5378647439
777	0.5376893544
778	0.5375148635
779	0.5373406598
780	0.5371941867
781	0.5370471066
782	0.5368659582
783	0.5367315094
784	0.5365889594
785	0.5364114619
786	0.5362705301
787	0.5360975733
788	0.5359269381
789	0.5357897465
790	0.5356458417
791	0.5355300658
792	0.5352665937
793	0.5351407337
794	0.5349570589
795	0.5347529908
796	0.5346173334
797	0.5344123085
798	0.534233092
799	0.5340927147
800	0.5338988317
801	0.5337612685
802	0.5336361417
803	0.5334238317
804	0.5333000424
805	0.5331713133
806	0.5330364147
807	0.5329240096
808	0.5327755472
809	0.5326535024
810	0.5324746099
811	0.5322994282
812	0.5321256189
813	0.5319890428
814	0.5318520437
815	0.5317141942
816	0.5315431977
817	0.531396492
818	0.5312111741
819	0.5310881793
820	0.5309357646
821	0.5307565404
822	0.5305827536
823	0.530423525
824	0.5303053877
825	0.5301689401
826	0.5299710117
827	0.529806211
828	0.5295675508
829	0.5294223561
830	0.5292616422
831	0.5290996327
832	0.5289428393
833	0.5287643693
834	0.5285154596
835	0.5283738754
836	0.528209538
837	0.528095162
838	0.5278987619
839	0.5277540855
840	0.527615227
841	0.5274577546
842	0.5273174745
843	0.5271588225
844	0.5270192146
845	0.5268962333
846	0.5267709845
847	0.5266150204
848	0.5264484851
849	0.5263465934
850	0.5262358785
851	0.5261332751
852	0.5259768219
853	0.5258333425
854	0.5256896818
855	0.525502329
856	0.5253282119
857	0.5252057263
858	0.5250910739
859	0.5249201191
860	0.5247530714
861	0.5246312893
862	0.5245181418
863	0.5243731767
864	0.5242669583
865	0.5241557997
866	0.5239328612
867	0.5238001358
868	0.5236310309
869	0.5234762966
870	0.523330774
871	0.5232072217
872	0.5230533848
873	0.5228874596
874	0.5227586884
875	0.5226330806
876	0.522470478
877	0.5223540236
878	0.5222407722
879	0.5221165572
880	0.5219838404
881	0.5218103411
882	0.5216783454
883	0.5215696968
884	0.5214349163
885	0.521287431
886	0.5211586766
887	0.5210263336
888	0.5208863429
889	0.5207820172
890	0.5206348776
891	0.5204937052
892	0.5203504841
893	0.5202351029
894	0.5201210849
895	0.5199782922
896	0.519851501
897	0.5196712683
898	0.5194609011
899	0.5193615916
900	0.5192261156
901	0.5191130309
902	0.518982741
903	0.5188136268
904	0.5187050379
905	0.5185865193
906	0.518481187
907	0.5183605301
908	0.5182474317
909	0.5181013675
910	0.5179918798
911	0.5178553459
912	0.5177026157
913	0.5175641799
914	0.5174400392
915	0.5173058426
916	0.5171709734
917	0.517040839
918	0.5168759335
919	0.5167485388
920	0.516593356
921	0.5164592601
922	0.5163227152
923	0.5161350775
924	0.5160217484
925	0.5159023301
926	0.5157784369
927	0.5156508753
928	0.5154729287
929	0.5153520351
930	0.5152122538
931	0.5150751428
932	0.5149025078
933	0.514742268
934	0.5145245453
935	0.5144195801
936	0.5142934777
937	0.5141634409
938	0.5140351836
939	0.5138820718
940	0.5137444893
941	0.5136330641
942	0.513493353
943	0.5133474538
944	0.5131997561
945	0.5130885068
946	0.5129673725
947	0.5128408047
948	0.5126801421
949	0.5125131481
950	0.5123646801
951	0.5122587215
952	0.5121422829
953	0.5119657986
954	0.5118529321
955	0.5116990115
956	0.5114606731
957	0.511358793
958	0.5111934136
959	0.5111030096
960	0.510952702
961	0.5107699006
962	0.5106461129
963	0.5105304834
964	0.5104324239
965	0.510309
966	0.5101499004
967	0.5100314241
968	0.5099065522
969	0.5097536715
970	0.5096189473
971	0.5095216204
972	0.5093607178
973	0.5092660773
974	0.509149646
975	0.5090134769
976	0.5088927182
977	0.5087561569
978	0.5086473182
979	0.5085129793
980	0.5083932948
981	0.5082999813
982	0.5081800876
983	0.507985224
984	0.5078512044
985	0.5077027931
986	0.5075775352
987	0.5074725368
988	0.5073505069
989	0.5072315915
990	0.5070966142
991	0.5069820197
992	0.5068805999
993	0.5067544652
994	0.5066306049
995	0.5064988069
996	0.5063734081
997	0.5062595487
998	0.5061187253
999	0.5059919998
