iter	Passed	Remaining
439	1336	1701
440	1339	1697
441	1342	1694
442	1344	1690
443	1347	1687
444	1350	1683
445	1353	1680
446	1355	1677
447	1358	1673
448	1361	1670
449	1363	1666
450	1366	1663
451	1369	1660
452	1372	1657
453	1374	1653
454	1377	1649
455	1380	1646
456	1384	1644
457	1387	1641
458	1389	1638
459	1392	1634
460	1395	1631
461	1397	1627
462	1401	1625
463	1404	1622
464	1407	1619
465	1410	1616
466	1413	1613
467	1416	1610
468	1419	1607
469	1422	1604
470	1426	1601
471	1428	1598
472	1432	1595
473	1434	1592
474	1437	1588
475	1440	1585
476	1443	1582
477	1445	1578
478	1448	1575
479	1451	1572
480	1453	1568
481	1456	1564
482	1458	1561
483	1461	1557
484	1463	1554
485	1466	1551
486	1469	1547
487	1471	1544
488	1474	1540
489	1476	1536
490	1479	1533
491	1482	1530
492	1485	1527
493	1487	1523
494	1490	1520
495	1492	1517
496	1495	1513
497	1498	1510
498	1501	1507
499	1504	1504
500	1507	1501
501	1510	1498
502	1513	1495
503	1516	1492
504	1519	1489
505	1522	1486
506	1525	1483
507	1528	1480
508	1531	1477
509	1534	1474
510	1537	1471
511	1540	1468
512	1543	1465
513	1546	1462
514	1549	1459
515	1552	1456
516	1556	1453
517	1559	1451
518	1563	1448
519	1566	1446
520	1570	1444
521	1574	1441
522	1577	1438
523	1580	1435
524	1583	1432
525	1586	1429
526	1589	1426
527	1592	1424
528	1596	1421
529	1598	1417
530	1601	1414
531	1604	1411
532	1608	1409
533	1611	1406
534	1614	1403
535	1617	1400
536	1620	1397
537	1623	1394
538	1627	1391
539	1630	1388
540	1633	1386
541	1636	1382
542	1639	1380
543	1643	1377
544	1646	1374
545	1650	1372
546	1653	1369
547	1657	1366
548	1660	1364
549	1664	1362
550	1669	1360
551	1672	1357
552	1676	1355
553	1680	1352
554	1683	1349
555	1686	1346
556	1690	1344
557	1693	1341
558	1696	1338
559	1699	1335
560	1702	1332
561	1706	1329
562	1710	1327
563	1713	1324
564	1717	1322
565	1721	1319
566	1724	1317
567	1728	1314
568	1731	1311
569	1735	1309
570	1738	1306
571	1742	1303
572	1745	1300
573	1748	1297
574	1752	1294
575	1755	1292
576	1759	1289
577	1762	1286
578	1766	1284
579	1770	1281
580	1773	1279
581	1777	1276
582	1780	1273
583	1784	1270
584	1788	1268
585	1791	1265
586	1794	1262
587	1798	1260
588	1803	1258
589	1807	1255
590	1810	1253
591	1814	1250
592	1818	1248
593	1822	1245
594	1826	1243
595	1829	1240
596	1833	1237
597	1837	1235
598	1841	1232
599	1845	1230
600	1848	1227
601	1852	1224
602	1855	1221
603	1859	1218
604	1862	1216
605	1866	1213
606	1870	1210
607	1873	1207
608	1876	1204
609	1880	1202
610	1884	1199
611	1888	1197
612	1892	1194
613	1896	1192
614	1901	1190
615	1905	1188
616	1912	1186
617	1916	1184
618	1920	1181
619	1923	1179
620	1927	1176
621	1931	1173
622	1935	1171
623	1939	1168
624	1942	1165
625	1946	1163
626	1951	1160
627	1955	1158
628	1959	1155
629	1963	1153
630	1968	1150
631	1972	1148
632	1975	1145
633	1980	1143
634	1984	1140
635	1989	1138
636	1993	1135
637	1997	1133
638	2001	1130
639	2004	1127
640	2009	1125
641	2014	1123
642	2018	1120
643	2021	1117
644	2026	1115
645	2030	1112
646	2033	1109
647	2036	1106
648	2040	1103
649	2044	1100
650	2048	1097
651	2052	1095
652	2057	1093
653	2060	1090
654	2064	1087
655	2068	1084
656	2071	1081
657	2075	1078
658	2079	1075
659	2082	1072
660	2086	1070
661	2090	1067
662	2093	1064
663	2097	1061
664	2101	1058
665	2104	1055
666	2109	1052
667	2112	1049
668	2115	1046
669	2119	1043
670	2122	1040
671	2126	1037
672	2129	1034
673	2132	1031
674	2136	1028
675	2140	1025
676	2143	1022
677	2146	1019
678	2150	1016
679	2153	1013
680	2157	1010
681	2160	1007
682	2163	1004
683	2166	1000
684	2169	997
685	2173	994
686	2176	991
687	2179	988
688	2183	985
